"","Top","p.value","FDR","summary.AUC","AUC.cap50_r16h","AUC.cap50_r4h","AUC.cap50_r8h","AUC.control"
"H1foo",8115,1,1,0.499601752289924,0.499601752289924,0.499863875487827,0.500071015546611,0.499734943552578
"Plxnd1",8116,1,1,0.49141181425341,0.49141181425341,0.502791700789136,0.503810591445505,0.514216960557352
"Tmcc1",8117,1,1,0.569954078944672,0.569954078944672,0.508173760225649,0.503546759345693,0.573887654045164
"Gm20404",8118,1,1,0.500406204626987,0.500406204626987,0.500062973245374,0.500152776866723,0.500599864591535
"Zfand4",8120,1,1,0.523213340615118,0.523213340615118,0.496653101190933,0.503524099779833,0.524227204243789
"March8",8121,1,1,0.500708828681551,0.500708828681551,0.510650594787914,0.507300351470891,0.532918716517859
"Alox5",8122,1,1,0.533201983924617,0.533201983924617,0.494617183736253,0.495105557134717,0.660338623004969
"Olfr211",8123,1,1,0.5,0.5,0.5,0.5,0.500133191262653
"Olfr212",8124,1,1,0.500208587763789,0.500208587763789,0.500288586053605,0.500440716875779,0.50016838536969
"Gm5580",8125,1,1,0.500010890527692,0.500010890527692,0.4993345661788,0.499672767836536,0.500402225943727
"Zfp422",8126,1,1,0.551881208052882,0.551881208052882,0.490649086352944,0.520424094565797,0.620581985879074
"Rassf4",8127,1,1,0.501832019839246,0.501832019839246,0.500378178739627,0.500213023279457,0.5033346880545
"8430408G22Rik",8128,1,1,0.499900438072481,0.499900438072481,0.499900438072481,0.499900438072481,0.499900438072481
"Tmem72",8129,1,1,0.500002692492086,0.500002692492086,0.500062999342865,0.500152823587477,0.500067258670269
"D030044L04Rik",8130,1,1,0.500100908173562,0.500100908173562,0.5,0.5,0.5
"Cxcl12",8131,1,1,0.472129713016511,0.472129713016511,0.507650766509403,0.471743287769385,0.559310636820791
"Gm4640",8132,1,1,0.500304070766729,0.500304070766729,0.499900438072481,0.500369701329168,0.500832776911053
"Gm9946",8133,1,1,0.5,0.5,0.500131061598951,0.500117315814172,0.5
"Gm45083",8134,1,1,0.5,0.5,0.5,0.5,0.5
"Gm7292",8135,1,1,0.499601993408619,0.499601993408619,0.500126024783221,0.499601752289924,0.500001352599442
"Zfp637",8136,1,1,0.470658487116827,0.470658487116827,0.505152792979566,0.509623657782809,0.466538519804284
"Zfp239",8137,1,1,0.522421848407873,0.522421848407873,0.488573813882091,0.502965366278567,0.527378840507203
"Hnrnpf",8138,1,1,0.617293153314116,0.617293153314116,0.546172776872195,0.548271766592082,0.543204147886752
"Fxyd4",8139,1,1,0.495298205554491,0.495298205554491,0.494443844202155,0.494764962835509,0.497872069341355
"Rasgef1a",8140,1,1,0.498314098089496,0.498314098089496,0.501085864398481,0.499569468248669,0.498209715292139
"Csgalnact2",8141,1,1,0.471510037972176,0.471510037972176,0.508222666923466,0.499319652375162,0.470539747646318
"Ret",8142,1,1,0.50044498455032,0.50044498455032,0.503434821255676,0.500182584707998,0.515399981159085
"Bms1",8143,1,1,0.614924142049453,0.614924142049453,0.477035330261137,0.522355110063819,0.617743754862728
"Zfp248",8144,1,1,0.499955995838291,0.499955995838291,0.495225725027441,0.500040483533644,0.505654528704494
"Zfp9",8145,1,1,0.493763766370452,0.493763766370452,0.500696959590123,0.496818410070303,0.527737120229859
"Ankrd26",8146,1,1,0.587791879202749,0.587791879202749,0.488169642041596,0.532023573050049,0.604235742063636
"Cacna1c",8147,1,1,0.497438194246024,0.497438194246024,0.498111037516187,0.498670514214229,0.500420605383197
"Dcp1b",8148,1,1,0.498867746798044,0.498867746798044,0.506159321005923,0.499100111550473,0.496728486295887
"Cacna2d4",8149,1,1,0.5,0.5,0.5,0.5,0.500266382525306
"Adipor2",8150,1,1,0.521238156551135,0.521238156551135,0.474590047565287,0.491310920826823,0.512369787108274
"Wnt5b",8151,1,1,0.503722510961859,0.503722510961859,0.490268898106523,0.5009973479431,0.483972041398242
"Fbxl14",8152,1,1,0.55743393046378,0.55743393046378,0.501005092664361,0.52951373412639,0.56007119553029
"Gm44317",8154,1,1,0.499604464875235,0.499604464875235,0.499664751632789,0.499519944249058,0.500068637791268
"4930540M05Rik",8155,1,1,0.500918802877832,0.500918802877832,0.500775930597377,0.499907235942239,0.500668290210341
"Rad52",8156,1,1,0.504654273969509,0.504654273969509,0.507042120828251,0.489766285967272,0.5042783515982
"Wnk1",8157,1,1,0.595286973441981,0.595286973441981,0.49568063039011,0.514544965081843,0.553090138075473
"Ninj2",8158,1,1,0.501119433724709,0.501119433724709,0.499565189705271,0.500124417368833,0.499969022820633
"B4galnt3",8159,1,1,0.503448057608078,0.503448057608078,0.499622917354988,0.50011311094628,0.50003779321969
"D330020A13Rik",8160,1,1,0.500004038738129,0.500004038738129,0.499832454108867,0.500522524916646,0.500766923883342
"Ccdc77",8161,1,1,0.538372352366037,0.538372352366037,0.491034076537677,0.510463112936584,0.519993992336755
"Kdm5a",8162,1,1,0.499764487315348,0.499764487315348,0.522719562104982,0.50266775507336,0.501512497912753
"Il17ra",8163,1,1,0.491631513570361,0.491631513570361,0.524218628075785,0.479164762795927,0.513832928402191
"Tmem121b",8164,1,1,0.499901784318524,0.499901784318524,0.499931937743914,0.500035507773306,0.499934067407615
"Hdhd5",8165,1,1,0.506008818514379,0.506008818514379,0.49847966457417,0.506936116469982,0.508030038104052
"Gm20692",8166,1,1,0.5,0.5,0.5,0.5,0.500133191262653
"Cecr2",8167,1,1,0.512294340823686,0.512294340823686,0.504790872976727,0.506952094967969,0.50856696703922
"Slc25a18",8168,1,1,0.50010227451283,0.50010227451283,0.500293622869336,0.500017753886653,0.499900464594039
"Atp6v1e1",8169,1,1,0.403029917605723,0.403029917605723,0.551516733972095,0.557632059482622,0.414294976371414
"Bcl2l13",8170,1,1,0.521769642433032,0.521769642433032,0.494275410996334,0.500008573258423,0.520438148863169
"Bid",8171,1,1,0.495109449803307,0.495109449803307,0.512387121827785,0.510290082622851,0.498278618298984
"Mical3",8172,1,1,0.465141751671053,0.465141751671053,0.51981112723936,0.527843817564051,0.462342119819305
"Gm43916",8173,1,1,0.500001346246043,0.500001346246043,0.499900438072481,0.500017753886653,0.499900438072481
"Gm43915",8174,1,1,0.498920210207278,0.498920210207278,0.500169111740582,0.499686784062841,0.499942262568937
"Pex26",8175,1,1,0.492861299284159,0.492861299284159,0.494908327343959,0.49972598277574,0.49387667624201
"Tuba8",8176,1,1,0.500203162593167,0.500203162593167,0.500162561270384,0.500135069700825,0.499900464594039
"Usp18",8177,1,1,0.50050454086781,0.50050454086781,0.5,0.500117315814172,0.50039957378796
"Gm44148",8178,1,1,0.499803568637048,0.499803568637048,0.500257034187191,0.499719068104096,0.499734943552578
"Slc6a13",8179,1,1,0.503449644972816,0.503449644972816,0.500178950494626,0.500717280381151,0.504199662136573
"Slc6a12",8180,1,1,0.499204850825892,0.499204850825892,0.49936630072765,0.499221398628765,0.499904018482767
