"","Top","p.value","FDR","summary.AUC","AUC.cap50","AUC.cap50_r16h","AUC.cap50_r4h","AUC.cap50_r8h"
"Rad51ap1",285,5.90480595903642e-18,3.47205817061263e-16,0.281460614139152,0.291598108440072,0.475138016253904,0.281460614139152,0.297648971083433
"Malat1",285,4.38525380338923e-25,2.86854246512886e-23,0.711036929765088,0.700027974939038,0.438346046759676,0.711036929765088,0.668004933639375
"Dusp18",287,6.62765914881316e-09,3.26393255243954e-07,0.729952214900071,0.722067283282274,0.568063288832309,0.703591730201634,0.729952214900071
"Ankrd12",288,3.78443999459797e-25,2.4830772293824e-23,0.722374630887386,0.672569569758804,0.48608945614419,0.722374630887386,0.643680683979322
"Aars",291,1.68783293515134e-17,9.7644765046753e-16,0.719498033903886,0.719498033903886,0.384825953560736,0.712220883133133,0.653316549942536
"Mcm6",292,1.21486001892434e-22,7.71239010833941e-21,0.294645397028665,0.302717351060767,0.580154690025896,0.294645397028665,0.321930000772522
"Avil",292,2.33347281231587e-22,1.47701965864265e-20,0.780730209314521,0.768203601542664,0.647617798330956,0.780730209314521,0.766231771047532
"Grina",294,1.33884040372383e-08,6.53360188855792e-07,0.720926075532538,0.714060106760939,0.600434302972894,0.720926075532538,0.718777211706231
"Myadm",295,9.91078826986914e-17,5.7182325564572e-15,0.70471876328067,0.70471876328067,0.565508408924863,0.670427001063435,0.667680393221109
"Id2",295,8.12677516242742e-24,5.23641701408985e-22,0.297672137924004,0.359079957616429,0.591156315201222,0.297672137924004,0.412135017814253
"Smim14",296,2.79007185073114e-07,1.33137774500188e-05,0.701944392429086,0.681898474628523,0.518765829062522,0.689319073198287,0.701944392429086
"Ncl",297,2.07752935311838e-16,1.17969681288814e-14,0.255151759535614,0.255151759535614,0.436382423161678,0.259154621265495,0.269591678464917
"Fau",297,1.98920746554312e-23,1.2779025034613e-21,0.779642963626042,0.705176047978134,0.511187340298166,0.779642963626042,0.636793114405482
"1810058I24Rik",298,3.28673686039214e-23,2.10517452299105e-21,0.73428175520598,0.631645108883725,0.524778252003783,0.73428175520598,0.691964704252895
"Nuf2",300,3.24178801710143e-16,1.83596105042211e-14,0.281217588089524,0.28445887641527,0.514692488120307,0.281217588089524,0.306053552262851
"Tubb5",301,2.31469752351326e-15,1.29388585463711e-13,0.252440858517674,0.252440858517674,0.483619329425673,0.278536725526847,0.268423770471516
"Snrpe",302,2.30260884903791e-06,0.000107493373189034,0.24807557063487,0.280982298027199,0.392118195351128,0.297004994585068,0.24807557063487
"Gss",303,3.49249398193977e-06,0.000162336853100056,0.706999472735105,0.658448643761801,0.577113144566415,0.670816973908477,0.706999472735105
"Ddx39b",304,9.11586562740008e-15,5.01745637256463e-13,0.271583004943406,0.271583004943406,0.442599350467473,0.280992192862345,0.295640445592588
"Procr",305,4.36508496853577e-06,0.000202459037947971,0.753198090346052,0.690008183491837,0.577504546781449,0.703127323864593,0.753198090346052
"Dkc1",305,2.80074962573976e-21,1.7470994984216e-19,0.266656728236059,0.303467354190311,0.499784474764086,0.266656728236059,0.36015598690663
"Ak2",305,4.85264459921446e-16,2.72673014150638e-14,0.272036293658979,0.276353861867665,0.495707504998368,0.272036293658979,0.300615648642074
"Derl1",306,1.05750949072592e-17,6.15098966213854e-16,0.716389019035004,0.685498776083156,0.539122964431616,0.716389019035004,0.697491047872102
"Glmp",307,6.68971887963231e-08,3.2136035716198e-06,0.701187863570252,0.644157396321396,0.573387471795977,0.701187863570252,0.69730379258214
"Fscn1",308,1.107285089334e-20,6.82804653511662e-19,0.260877728675258,0.296495393629777,0.498066455316818,0.260877728675258,0.309635684708093
"Tmem160",308,8.5423983209406e-06,0.000392822551848211,0.701618164463146,0.68546939019725,0.58370177091963,0.688553546378839,0.701618164463146
"Tipin",309,1.11477502387013e-20,6.85459236820255e-19,0.29062989866292,0.315786087300057,0.56343401212941,0.29062989866292,0.331503333719178
"Ccar1",311,1.24882656788848e-05,0.000564621776628739,0.289957753806545,0.377457434491222,0.520755445788871,0.426575863857931,0.289957753806545
"Zfp326",313,2.96436574309587e-12,1.54470012487085e-10,0.294878374258219,0.294878374258219,0.463576638333171,0.303494254446633,0.318411495124737
"Hnrnpd",314,7.19904330689647e-16,4.03465132832602e-14,0.261856047302275,0.26730963939805,0.424201295946954,0.261856047302275,0.321751151970043
"Rps12",315,8.96772829114766e-20,5.42119327398284e-18,0.777302079180198,0.706377103239088,0.511923803308089,0.777302079180198,0.619796196742558
"Hist1h4d",316,2.2212704114937e-05,0.000997995000537703,0.285246214455558,0.290095662197678,0.430289951061955,0.298022066108951,0.285246214455558
"Ehd4",317,1.32224059420353e-19,7.94858654409334e-18,0.29011895393712,0.330583286496262,0.619710290859612,0.29011895393712,0.349077736446055
"Ppp3ca",317,6.16254710061471e-14,3.34909535738205e-12,0.708875984445774,0.701241283159638,0.518869317732797,0.708875984445774,0.647793237658964
"Hacd1",318,3.82696696792151e-11,1.97033866307749e-09,0.288867979292816,0.288867979292816,0.444026069468047,0.340515979111141,0.361559995319868
"Denr",318,5.59707287577782e-06,0.000258486277595739,0.275636374167833,0.275636374167833,0.334176098471755,0.297706491843388,0.277652437431357
"Xpot",319,3.80492834974626e-13,2.02187316086146e-11,0.709477387510116,0.703992868247054,0.490080059910532,0.709477387510116,0.668163063106533
"Clic1",319,5.1969300711766e-05,0.00232039693074257,0.735019983064522,0.687776818758252,0.686502254977805,0.691834171117431,0.735019983064522
"Hist1h2ae",321,5.41066096986031e-10,2.72699847148393e-08,0.269423884932933,0.269423884932933,0.433169839154414,0.289277108349608,0.287879695101387
"Tnnt3",322,4.0001104153102e-05,0.00179346617183106,0.249396873256871,0.249396873256871,0.377690019982721,0.2505667698448,0.249802056908108
"Btg1",323,1.62470139310134e-18,9.65889466324139e-17,0.709811325761041,0.628435125193422,0.493710791906057,0.709811325761041,0.580600683219301
"Ezh2",324,2.09720943067906e-18,1.24336209800672e-16,0.292106977546362,0.30799869492719,0.515388899670825,0.292106977546362,0.33751753487036
"Supt16",325,3.43375890476259e-15,1.89968959869912e-13,0.271101929894264,0.280881410021796,0.48402984344449,0.271101929894264,0.314030746368585
"Taf15",327,2.25447562524862e-09,1.11536942370059e-07,0.702797355991655,0.702797355991655,0.537230492654455,0.700188492693857,0.637751891490935
"Hnrnpa2b1",329,1.25953881604908e-17,7.30634362808418e-16,0.242981012477036,0.298003303313052,0.481934990836549,0.242981012477036,0.304085902926758
"Cbx5",330,1.21707495768415e-16,6.96613568200019e-15,0.270936968238684,0.303137160797234,0.453768412247252,0.270936968238684,0.288191735166518
"Wwtr1",331,1.68947194111835e-16,9.64433040976338e-15,0.714231355492542,0.659434582668438,0.596584847000737,0.714231355492542,0.661924574369226
"Cks1b",334,9.7710857961208e-12,5.06707319080279e-10,0.276647085398118,0.282745345095326,0.472751648157875,0.276647085398118,0.315430160902045
"Nol7",334,0.000731016113889074,0.0317181406996104,0.289631932102082,0.29604155673481,0.383992345601624,0.311504897179138,0.289631932102082
"Nolc1",334,3.97499636294632e-16,2.24529912669206e-14,0.272839456174663,0.312591592199437,0.486653617238148,0.272839456174663,0.321734839009202
"Layn",335,0.000747741947653237,0.0323785803932501,0.729989809712124,0.665139422767845,0.540366226243974,0.689332898556088,0.729989809712124
"Hspa8",339,6.66802132074105e-08,3.21034646182703e-06,0.250011855136282,0.250011855136282,0.480025826471273,0.26500861291861,0.417050187917809
"Tmpo",340,2.83785722549024e-15,1.58221568263667e-13,0.285392252632579,0.30584045012812,0.524046170462237,0.285392252632579,0.328609189459602
"Ank1",341,3.18207451893058e-15,1.76954588428695e-13,0.286999694864578,0.320012960554806,0.544879541875817,0.286999694864578,0.340868098273776
"Acot2",341,2.97448621806454e-13,1.58450291829126e-11,0.76502488215279,0.756971271000035,0.5165996633527,0.76502488215279,0.702915201104431
"Srsf2",342,3.2321766923428e-15,1.79277511845128e-13,0.253200291030764,0.302726209261031,0.506973469805769,0.253200291030764,0.29575435506053
"Rbmxl1",346,1.26246689296428e-14,6.91337150215883e-13,0.283387296451282,0.311144416883242,0.52144306752246,0.283387296451282,0.358019801559394
"Itgb7",346,1.45352157330357e-08,7.07720311743579e-07,0.766172072637592,0.73850476125612,0.613200557817373,0.766172072637592,0.756151205021542
"Itpr2",347,1.88644631958102e-06,8.82569809645719e-05,0.72029940929065,0.72029940929065,0.561446572697162,0.711812790690367,0.693555311687555
"Rheb",348,3.19296040196142e-14,1.74405332006629e-12,0.733427760061614,0.700857304047593,0.537942333424905,0.733427760061614,0.683041545923672
"H2afy",352,2.73117839334099e-10,1.37975798598806e-08,0.278028573802623,0.292000016125107,0.387546146538882,0.278028573802623,0.295158088215992
"Chic2",353,1.889606232586e-13,1.01665539328708e-11,0.712405221237146,0.645561978015963,0.511470254130542,0.712405221237146,0.613385796898762
"Rpl22l1",354,1.96519082509614e-13,1.05206148624115e-11,0.758108048662467,0.71762025457725,0.553543613351275,0.758108048662467,0.657613015067676
"Rsrp1",355,2.3366362394027e-13,1.24781013667954e-11,0.709409936522057,0.684601817002525,0.43354898401006,0.709409936522057,0.606159967769089
"Fh1",356,1.45382512850804e-05,0.000655928104625189,0.298174234752279,0.298174234752279,0.419646584847001,0.303697305661205,0.311667335852238
"Npc2",360,6.96924766619535e-13,3.64927442881242e-11,0.729114597552912,0.686037561527362,0.575602209980394,0.729114597552912,0.700783328379027
"Hsph1",361,1.70433360528275e-12,8.90266104837139e-11,0.282475206874136,0.324287095225335,0.44644119935036,0.282475206874136,0.43090573558703
"Psip1",363,0.000890238204287567,0.0383944216322099,0.299633209068038,0.304780356946219,0.515454084093012,0.299633209068038,0.302636549482523
"Ddx21",367,9.13459654325665e-05,0.00403666636976235,0.284649488775974,0.323317042731746,0.498660560924721,0.284649488775974,0.292443886539795
"Tsc22d1",368,6.99728660748719e-11,3.57692648645444e-09,0.714986164168443,0.68262081577341,0.494240143174559,0.714986164168443,0.668842176041473
"Pop4",369,7.97229588961506e-11,4.06568198673947e-09,0.291986284965761,0.310175610902864,0.434993336404841,0.291986284965761,0.321636304975616
"Rhoa",369,9.77291359693733e-06,0.000446545379022692,0.744912407979326,0.723134935108114,0.604906572578889,0.744912407979326,0.73561371858755
"Phgdh",370,1.42140784127712e-10,7.23170641894203e-09,0.744680414285924,0.699876245107568,0.587411449986479,0.744680414285924,0.703799944848442
"Eif4a1",370,0.000453975481536266,0.0198981799147494,0.251887088393381,0.251887088393381,0.428578329096122,0.307813282258644,0.337382156045908
"Pcbp4",373,0.00070579667013585,0.0306857578545326,0.292626720533011,0.292626720533011,0.379622301297721,0.297232903513666,0.30685060602962
"Mrpl12",373,2.1601243347344e-10,1.09641593886366e-08,0.260047264569169,0.294394382352174,0.493881776693491,0.260047264569169,0.332576114025221
"Hpf1",374,2.61982209139027e-10,1.3266162642073e-08,0.282081254001848,0.297177528093225,0.447203628608462,0.282081254001848,0.316964673002012
"Smim11",377,1.02103761727768e-09,5.08651633366501e-08,0.293720215256632,0.316714182689401,0.415191437911905,0.293720215256632,0.328511405447204
"Trim59",380,1.32690231798467e-09,6.57978451275302e-08,0.295374510090067,0.314269982455459,0.529178187061282,0.295374510090067,0.328553156626675
"Xpo1",381,4.26929503153372e-09,2.10732794434948e-07,0.297204170509953,0.331525279181829,0.49645385991236,0.297204170509953,0.334738925124635
"Fam171b",386,1.55451224442863e-08,7.55184153777618e-07,0.750817162436084,0.709242439287381,0.550185903284058,0.750817162436084,0.69509982407003
"Pop1",387,1.73300619119037e-08,8.40000591004681e-07,0.290912236209729,0.337284488474474,0.511323004536836,0.290912236209729,0.359115895024034
"Hint1",397,2.91476691948388e-07,1.38780307243833e-05,0.763085002908213,0.751461709129802,0.636619398776522,0.763085002908213,0.744404873187668
"Mrps6",398,4.11011927693757e-05,0.001838957940935,0.294314147041758,0.304711533504047,0.438112323645898,0.294314147041758,0.307851259298075
"Tagln2",403,7.72555643758624e-05,0.00342807629058337,0.278799791362782,0.281548108938677,0.41759103105359,0.278799791362782,0.298138953675441
"Dhrs7",408,1.61738206121591e-05,0.000728194128439906,0.719368802591347,0.709927146341924,0.504153040658414,0.719368802591347,0.700297970917678
"Ldlr",410,8.32110836845496e-06,0.0003834658954979,0.273406086369384,0.308158964700231,0.449602039022486,0.273406086369384,0.340570808625344
"Cox7a2l",428,0.000284906037988646,0.0125131894766401,0.736373573736289,0.692393532389293,0.524455340472349,0.736373573736289,0.687479671300714
"Elof1",434,0.00106436507402653,0.0457209595970556,0.296741230498739,0.313573765044884,0.514930216380025,0.296741230498739,0.372553524637071
"Psma7",435,0.0012425393387249,0.0531624037946296,0.257120094180013,0.287846315847989,0.479222512468369,0.257120094180013,0.333416950278845
