"","Top","p.value","FDR","summary.AUC","AUC.1","AUC.2","AUC.3","AUC.5"
"Col5a3",1179,1,1,0.278118954237677,0.278118954237677,0.498470549442521,0.499797277394315,0.494907781855331
"Serpinc1",1180,1,1,0.501158220375712,0.501158220375712,0.499527973533399,0.500382908279266,0.50013739468555
"Pcyt1a",1180,1,1,0.322915224471991,0.322915224471991,0.49290365802572,0.51018247449743,0.492941869579899
"Zbtb37",1181,1,1,0.534024891234436,0.534024891234436,0.479097467230379,0.521100637893983,0.51643103486276
"Lmf2",1181,1,1,0.33880392139723,0.33880392139723,0.430807137407499,0.402453539494978,0.40495836754497
"Cmss1",1181,1,1,0.372145433968158,0.529905066815851,0.368340482603593,0.456941771875872,0.372145433968158
"Gm37362",1182,1,1,0.499224704340105,0.499224704340105,0.500082196284728,0.499700605404416,0.500082196284728
"Wfs1",1182,1,1,0.676812103804743,0.676812103804743,0.513950034293615,0.531091477893591,0.598376509249205
"Hnrnpul2",1182,1,1,0.378568312725987,0.378568312725987,0.446765736774778,0.390149942898597,0.370185682118963
"Dars2",1183,1,1,0.471253717513787,0.471253717513787,0.445644030974049,0.430735695486118,0.420404004188697
"Acot7",1183,1,1,0.370819021827555,0.370819021827555,0.491735735632661,0.442992822402733,0.369056237917527
"Gm37634",1184,1,1,0.497209414985215,0.497209414985215,0.496694422214314,0.492911891762,0.488814825784864
"Got2",1184,1,1,0.643493141897293,0.643493141897293,0.483838682414632,0.414214995055206,0.43522542521299
"Cenpl",1185,1,1,0.40957788330609,0.40957788330609,0.3800478705542,0.366286923281554,0.38454467847901
"Mphosph6",1185,1,1,0.362865438619396,0.362865438619396,0.479571827107993,0.455047226713664,0.418885937720201
"Klhl20",1186,1,1,0.468307763192363,0.468307763192363,0.45976622332861,0.480169554264024,0.484946961675326
"Hnrnpc",1186,1,1,0.675426328019853,0.675426328019853,0.537223927368593,0.516398888077643,0.404253256447941
"Ankrd45",1187,1,1,0.500821962847279,0.500821962847279,0.499295999861099,0.499963536278956,0.499777022022468
"Pin4",1187,1,1,0.645430746598864,0.645430746598864,0.552275820924103,0.522977617736807,0.484515928187003
"Tex50",1188,1,1,0.5,0.5,0.499923687423687,0.5,0.5
"Fbln5",1188,1,1,0.339647737459145,0.339647737459145,0.458646549853602,0.572546368757595,0.627918330124921
"Tnfsf4",1190,1,1,0.5,0.5,0.5,0.5,0.499850701702001
"Tnfsf18",1191,1,1,0.497427101200686,0.497427101200686,0.499923687423687,0.5,0.5
"Fasl",1192,1,1,0.500082196284728,0.500082196284728,0.500082196284728,0.500082196284728,0.500082196284728
"Rps15",1192,1,1,0.719191408500308,0.719191408500308,0.525605096129508,0.585220248559934,0.555922459524895
"Suco",1193,1,1,0.37867969362639,0.37867969362639,0.465507179679874,0.498759088602074,0.477694741013472
"Rpl24",1193,1,1,0.72258894892805,0.72258894892805,0.544220133392828,0.615612375808879,0.574079640910473
"4930558K02Rik",1194,1,1,0.500082196284728,0.500082196284728,0.500005883708415,0.49998679464382,0.499783599688729
"Pigc",1195,1,1,0.470899131482756,0.470899131482756,0.496727165239823,0.5191276918107,0.518373581696848
"Copg1",1195,1,1,0.368092445583381,0.368092445583381,0.497421129202323,0.474677270975446,0.429774503365335
"Gm38304",1196,1,1,0.500082196284728,0.500082196284728,0.500082196284728,0.500082196284728,0.500082196284728
"Txndc15",1196,1,1,0.366022875663104,0.366022875663104,0.511152261943401,0.503824409163037,0.492836945985628
"Dnm3",1197,1,1,0.434877420384509,0.434877420384509,0.502499033014404,0.498912926296579,0.494051384434306
"Chchd1",1197,1,1,0.670523735551853,0.670523735551853,0.449411624140376,0.523764230378825,0.476413445986831
"2810442N19Rik",1198,1,1,0.500164251580974,0.500164251580974,0.499935454840518,0.499973589287639,0.499716497675458
"Dnm3os",1199,1,1,0.332369489077481,0.332369489077481,0.500947314690534,0.513776715243244,0.466237010888541
"Mettl13",1200,1,1,0.479571051004275,0.479571051004275,0.485377717520575,0.453700954766072,0.450213766790414
"Yipf5",1200,1,1,0.37089360473428,0.37089360473428,0.523078551446544,0.544056722431223,0.53957352277274
"Vamp4",1201,1,1,0.52246411772651,0.52246411772651,0.474177896646251,0.547994349487687,0.575270394851906
