"","Top","p.value","FDR","summary.logFC","logFC.1","logFC.3","logFC.4","logFC.5"
"Cth",1,0,0,2.35759641177362,2.05248835427332,2.05207518279149,0.135499702423184,2.35759641177362
"Popdc3",1,0,0,1.8209594209744,1.8209594209744,-0.171571704787155,-0.339866632278158,0.661819550306265
"Hmgb2",1,0,0,2.47684055767919,0.705124386883338,-0.695667978684928,2.47684055767919,-0.818707961858904
"Gsta4",1,0,0,3.83703130799757,2.94870100992426,0.529957932009022,-0.437281120739271,3.83703130799757
"Myod1",2,0,0,3.46963979316543,3.46963979316543,-0.674535083195847,-0.260912419301744,-0.433940954315323
"Birc5",2,0,0,2.34935041020202,0.348217204786904,-0.61522652442107,2.34935041020202,-0.407030174552708
"Atf4",2,0,0,1.980040910892,1.39783145278659,1.980040910892,0.344476696529799,0.957741964926302
"Chrna1",3,0,0,3.45948898022364,3.45948898022364,-0.20418430886536,-0.135925664625776,-0.425543283791542
"Slc7a11",3,0,0,2.3673002264161,1.99549933120116,1.8672695809843,0.00423636462313581,2.3673002264161
"Smc2",3,0,0,2.03623776418778,0.448268158422098,-0.352817310876615,2.03623776418778,-0.0204693363851161
"Sqstm1",3,0,0,2.33545744751597,2.07550018756928,1.8633677107243,-0.134485530184136,2.33545744751597
"Blvrb",4,0,0,2.91216881961865,1.6420902596063,0.141691767218966,-0.273385936233578,2.91216881961865
"Cox6a2",4,0,0,1.65973532651865,1.56690694854434,0.856484475979763,0.0311845083504745,1.65973532651865
"Top2a",4,0,0,2.39458390302345,0.604474820091127,-0.413181416170885,2.39458390302345,-0.206229640534229
"Smc4",5,0,0,2.06279767117238,0.343490361215538,-0.208428278037444,2.06279767117238,-0.0890573104779744
"Asb5",5,0,0,1.49065244094136,1.49065244094136,-0.0557432768803252,-0.307213708371041,-0.243974496709396
"Hmox1",5,0,0,1.88458460251462,0.732045669745314,1.88458460251462,-0.383004684448044,1.12424662032819
"Cdca8",6,0,0,1.82991807156213,0.364605484106384,-0.407293159394436,1.82991807156213,-0.240162937072294
"Psph",6,0,0,1.62381266732688,1.88136217375405,1.62381266732688,0.124103543395829,1.92368438662152
