"","Top","p.value","FDR","summary.logFC","logFC.1","logFC.2","logFC.3","logFC.5"
"Popdc3",1,0,0,2.16082605325256,2.16082605325256,0.339866632278158,0.168294927491003,1.00168618258442
"Hmgb2",1,0,0,-3.17250853636412,-1.77171617079586,-2.47684055767919,-3.17250853636412,-3.2955485195381
"Pclaf",1,0,0,-3.20484668422567,-2.05035426574874,-1.84045405755184,-3.20484668422567,-3.25585517389709
"Gsta4",1,0,0,4.27431242873684,3.38598213066353,0.437281120739271,0.967239052748293,4.27431242873684
"Asb5",2,0,0,1.7978661493124,1.7978661493124,0.307213708371041,0.251470431490716,0.0632392116616449
"Birc5",2,0,0,-2.96457693462309,-2.00113320541512,-2.34935041020202,-2.96457693462309,-2.75638058475473
"Smc2",3,0,0,-2.3890550750644,-1.58796960576568,-2.03623776418778,-2.3890550750644,-2.0567071005729
"Myod1",3,0,0,3.73055221246718,3.73055221246718,0.260912419301744,-0.413622663894103,-0.17302853501358
"Chrna1",4,0,0,3.59541464484942,3.59541464484942,0.135925664625776,-0.0682586442395836,-0.289617619165766
"Cdk1",4,0,0,-2.66681509825787,-1.57302445412622,-1.9462579054133,-2.66681509825787,-2.39695582225509
"Top2a",4,0,0,-2.80776531919433,-1.79010908293232,-2.39458390302345,-2.80776531919433,-2.60081354355768
"Rapsn",5,0,0,1.56409589845557,1.56409589845557,0.158984418773885,0.322520672012406,0.250672763977702
"Ube2c",5,0,0,-2.93328455715043,-1.7940980088134,-2.1986846684054,-2.93328455715043,-2.92723276925126
"Smc4",5,0,0,-2.27122594920982,-1.71930730995684,-2.06279767117238,-2.27122594920982,-2.15185498165035
"Blvrb",5,0,0,3.18555475585223,1.91547619583988,0.273385936233578,0.415077703452545,3.18555475585223
"Slpi",6,0,0,1.77472704027181,1.76105998151419,0.356289865971451,0.398771254726733,1.77472704027181
"Slc7a11",6,0,0,2.36306386179297,1.99126296657803,-0.00423636462313581,1.86303321636117,2.36306386179297
"Cdca8",6,0,0,-2.23721123095657,-1.46531258745575,-1.82991807156213,-2.23721123095657,-2.07008100863443
"Des",7,0,0,3.57119771112522,3.57119771112522,0.558813002314235,0.114746814163649,0.0321348457234585
"Cth",7,0,0,2.22209670935044,1.91698865185013,-0.135499702423184,1.91657548036831,2.22209670935044
"Peg3",8,0,0,2.83263693226427,2.83263693226427,0.162057810534362,-0.384946488349105,-0.495060091974303
"Fabp5",9,0,0,-2.42506421915102,-1.07453156837918,-0.556027958772115,-1.32640541774229,-2.42506421915102
"Mki67",9,0,0,-2.42925337079784,-1.71306178592834,-1.70855039818634,-2.42925337079784,-2.20579565692522
"Ankrd1",9,7.62521155165546e-319,8.41551945280877e-317,3.82657249627496,3.82657249627496,0.724560007257301,0.196655998741365,0.726808664385979
"Cox6a2",10,0,0,1.62855081816818,1.53572244019387,-0.0311845083504745,0.825299967629289,1.62855081816818
"Fth1",10,0,0,1.63564206079963,1.55737069016718,0.282667254137239,0.611033928625507,1.63564206079963
"Cenpf",11,0,0,-2.40875551705983,-1.28462933844182,-1.66476833380998,-2.40875551705983,-2.04511477788222
"Tpx2",11,0,0,-2.09713788155376,-1.36924318075258,-1.69420972080514,-2.09713788155376,-1.7291385931522
"Igfbp7",11,1.30349089277689e-311,1.43124630119671e-309,-4.14998472082637,-4.14998472082637,0.00192464583983293,0.0530794868599514,-0.045599587258584
"Spc24",11,0,0,-2.18616745768871,-0.774356163334646,-1.18784025240952,-1.68502602754914,-2.18616745768871
"Prc1",12,0,0,-2.04459299156773,-1.54923529392451,-1.86305889719998,-2.04459299156773,-1.79533422708508
"Crlf1",12,7.12699516860588e-301,7.51863054037127e-299,-2.82113076120012,-2.82113076120012,0.120867905662204,0.135725402604681,0.7138223455508
"Sqstm1",12,0,0,2.46994297770011,2.20998571775341,0.134485530184136,1.99785324090843,2.46994297770011
"Anln",13,0,0,-1.93234793805959,-1.18862513641076,-1.54950205274551,-1.93234793805959,-1.45123450676774
"Gm3776",13,0,0,1.27939996241079,1.26517892027137,0.213027392840447,0.553083814220069,1.27939996241079
"Hmmr",13,0,0,-2.1019678227342,-1.40272833459157,-1.2605824804561,-2.1019678227342,-1.75365450719627
"Col4a1",14,2.81568908043717e-285,2.87186941706592e-283,-3.1822412263382,-3.1822412263382,0.0172208140415089,-0.554611223946505,-0.435184722800868
"Serpinb6a",14,0,0,2.11913076837916,1.1696859186224,0.408059150195143,0.899317949329816,2.11913076837916
"Dek",14,0,0,-2.01966111571741,-1.05882150328023,-1.36555493985312,-2.01966111571741,-1.99525786454735
"Tubb4b",15,0,0,-1.9463535204638,-1.18333379169622,-0.90162997337626,-1.9463535204638,-1.53130584629713
"Ccna2",15,0,0,-1.79408995046676,-1.31830553520633,-1.35252709089535,-1.79408995046676,-1.62204445854838
"Hmgb1",15,0,0,-1.56967527415538,-0.338784063976382,-0.702489781510779,-1.25756224248865,-1.56967527415538
"Rbm24",15,2.79132750694026e-281,2.80711024658218e-279,1.32502174613127,1.32502174613127,0.389214117008292,-0.0739739841292715,0.155245750876772
"Sparc",16,4.08919173918392e-281,4.07423589902692e-279,-2.05097910319633,-2.05097910319633,0.205163206162364,0.053536330446577,0.206597341473915
"Cks2",16,0,0,-1.89462924647322,-0.903511262094752,-1.53661504654462,-1.89462924647322,-1.52702292628906
"Cenpa",17,0,0,-2.13802421753479,-1.16704259575973,-1.04629285121871,-2.13802421753479,-1.98880902673807
"Chchd10",17,0,0,2.19927908604167,2.87963127564853,0.283408839535408,0.984349097117668,2.19927908604167
"Hist1h1b",17,0,0,-2.85609124285944,-1.46331410178619,-1.84079976030667,-2.85609124285944,-3.08408099778157
"Cenpe",18,0,0,-2.04453315672345,-1.32034068974944,-1.44916882164418,-2.04453315672345,-1.79079352096936
"Cdc20",18,0,0,-2.08978133102433,-1.2607686668063,-1.2363742032107,-2.08978133102433,-1.96009503455706
"Gsta1",18,0,0,1.42932455598637,1.37660773843882,0.205273028072007,0.572384779754198,1.42932455598637
"Cbr3",18,0,0,2.04063894636022,1.29095993158712,0.172406830599362,0.290779987810924,2.04063894636022
"Gstm1",19,0,0,1.89222979633734,2.17913698359376,0.498285288023274,0.664822567438356,1.89222979633734
"Rrm2",19,0,0,-2.0635711325974,-0.228860875955646,-0.929737676433788,-1.90388391914717,-2.0635711325974
"Creg1",20,0,0,2.02266161570735,1.61383520793944,0.209839351514561,0.812635595212285,2.02266161570735
"Hmox1",20,0,0,2.26758928696267,1.11505035419336,0.383004684448044,2.26758928696267,1.50725130477624
"Ccnb1",20,0,0,-1.75795329637335,-1.03035534893394,-1.33287716623212,-1.75795329637335,-1.68464882286938
"Cst6",20,7.8236141775864e-268,7.48320003181469e-266,1.36949192878763,2.62368098170655,0.19906316066671,-0.0147807015057819,1.36949192878763
"Mt2",21,0,0,2.35621248497002,2.12422997235726,0.245811174145602,1.54141190649398,2.35621248497002
"Eno3",21,0,0,-1.31019869423277,2.39135525709365,0.248393461953153,-0.764905137645743,-1.31019869423277
"Tuba1b",21,0,0,-1.73427738778541,-1.34428976898268,-1.24147527360291,-1.73427738778541,-1.7372848590129
"Cxadr",22,4.369142924687e-238,3.96743986844672e-236,1.06713535085189,1.06713535085189,-0.00440490940719496,0.404559770971355,0.756905408099785
"Crip1",23,1.32373737694868e-233,1.18700633705476e-231,-3.57262651713176,-3.57262651713176,-0.0985398539207466,-0.46481562078656,-1.28625615428111
"Atad2",23,0,0,-1.65088441935646,-0.811482452983616,-1.35152106518281,-1.65088441935646,-1.34678057453899
