"","gene","importance","pvalue","qvalue"
"1","mmu_M00002",11.0397574457531,0,0
"2","mmu_M00003",10.7488046316315,0,0
"3","mmu_M00001",8.58679555489657,0,0
"4","mmu_M00020",6.81683235478454,0,0
"5","mmu_M00049",6.1058366180848,0,0
"6","mmu_M00052",5.71713904834009,0,0
"7","mmu_M00050",5.67093264068318,0,0
"8","mmu_M00009",5.39371983735087,0,0
"9","mmu_M00011",5.15586429671341,0,0
"10","mmu_M00873",4.38745978477055,0,0
"11","mmu_M00069",4.34070917429351,0,0
"12","mmu_M00134",3.18139743032373,0,0
"13","mmu_M00010",3.14640264708278,0,0
"14","mmu_M00141",2.87517859762614,0,0
"15","mmu_M00048",2.6865175571508,0,0
"16","mmu_M00128",2.5612053874871,0,0
"17","mmu_M00135",2.55691648558945,0,0
"18","mmu_M00006",2.17592068382735,0,0
"19","mmu_M00118",2.16346816747494,0,0
"20","mmu_M00415",2.14392528638336,0,0
"21","mmu_M00004",2.1094966465601,0,0
"22","mmu_M00133",2.00792801996752,0,0
"23","mmu_M00065",1.91860780803397,0,0
"24","mmu_M00307",1.89146375222366,0,0
"25","mmu_M00085",1.8811554689063,0,0
"26","mmu_M00014",1.86389511684855,0,0
"27","mmu_M00005",1.76329178112076,0,0
"28","mmu_M00868",1.76126612808138,0,0
"29","mmu_M00632",1.72465208677473,0,0
"30","mmu_M00549",1.67402391092064,0,0
"31","mmu_M00130",1.62925170884151,0,0
"32","mmu_M00047",1.6045841463657,0,0
"33","mmu_M00554",1.4999900553386,0,0
"34","mmu_M00109",1.42782228534958,0,0
"35","mmu_M00129",1.3334815154158,0,0
"36","mmu_M00892",1.33181764352412,0,0
"37","mmu_M00066",1.31349193075497,0,0
"38","mmu_M00015",1.31019078872573,0,0
"39","mmu_M00055",1.23531915936893,0,0
"40","mmu_M00035",1.14511789054127,0,0
"41","mmu_M00072",1.09776703069595,0,0
"42","mmu_M00855",1.08226700615409,0,0
"43","mmu_M00032",0.953949506259141,0,0
"44","mmu_M00862",0.875947316401404,0.00784313725490196,0.0181818181818182
"45","mmu_M00092",0.873455584960812,0.0107843137254902,0.0244444444444444
"46","mmu_M00095",0.867501205520077,0.0156862745098039,0.0347826086956522
