"","Top","p.value","FDR","summary.logFC","logFC.2","logFC.3","logFC.4","logFC.5"
"Popdc3",1,0,0,2.03511447634427,0.861239932119994,-0.0533731499435337,0.176888761608549,2.03511447634427
"Pclaf",1,0,0,2.99885560111389,-0.122115693656123,2.99885560111389,1.21035965527728,1.08499656143164
"Gsta4",1,0,0,3.41393047820573,3.41393047820573,-0.668683068423864,-0.338777894346982,2.58966794359044
"Atf4",1,0,0,-2.05122081516429,-1.00039083466805,-1.6495145138352,-2.05122081516429,-0.565802785347198
"Cth",2,0,0,-1.98472613496559,0.37769671469437,-1.81717315216723,-1.98472613496559,0.0793412387046751
"Blvrb",2,0,0,2.8486032853851,2.8486032853851,-0.218098701865474,0.0161122315232078,1.62304479649825
"Hmgb2",2,0,0,2.85690841931891,-0.213907097205086,2.85690841931891,0.536646734597745,1.32518199594861
"Gal",2,0,0,2.31607661724552,0.665989721679134,2.12882827788175,2.31607661724552,2.56508958550435
"Cdk1",3,0,0,2.43301444504335,0.191347274134976,2.43301444504335,0.528886549425461,1.00859849502397
"Sqstm1",3,0,0,-1.84549459127722,0.57055403470914,-1.84549459127722,-1.79411840530996,0.327384215404112
"Sox11",3,0,0,1.92855234306211,-0.115673917018798,1.17623567465789,0.713951596816445,1.92855234306211
"Cbr3",3,0,0,1.81972996447466,1.81972996447466,-0.136107848173321,-0.00542181176064283,1.08996638394087
"Slc7a11",4,0,0,-1.75717343623038,0.593731620481546,-1.72660776974148,-1.75717343623038,0.241155807602767
"Myod1",4,0,0,4.16399945831306,0.221340270175133,0.560054043152176,0.536463044712402,4.16399945831306
"Cryab",4,0,0,2.20709190126034,2.20709190126034,-0.0704274514870966,-0.164487682996065,-1.96331235651037
"Top2a",4,0,0,2.62431901311767,0.163599158016141,2.62431901311767,0.15114346285276,0.955827530909567
"Ttn",5,0,0,1.5440809800936,-0.692091678801561,0.807805947152279,0.888317940440436,1.5440809800936
"Sct",5,0,0,-2.52886910289333,-2.52886910289333,0.413853352062169,0.417602127841274,0.910911588829521
"Eif4ebp1",5,0,0,-1.25861193339158,0.15659793742229,-1.13386961417195,-1.25861193339158,0.0713642333010003
"Birc5",5,0,0,2.38816485406945,0.0611675064582142,2.38816485406945,0.561605250387133,0.814400039614585
"Ube2c",6,0,0,2.45869981410872,-0.137867549066193,2.45869981410872,0.526830249245893,0.974466604316561
"Psph",6,0,0,-1.54662070042604,0.383008658799381,-1.3818987835461,-1.54662070042604,0.348070804114385
"Iqsec3",6,0,0,1.27095977288561,0.0949137623710263,0.646314933706418,0.701615804235305,1.27095977288561
"Taldo1",6,0,0,1.51851062270866,1.51851062270866,-0.361740741024321,-0.109215789024161,0.927946489099271
"Chrna1",7,0,0,3.67862266898562,-0.229265953443495,0.0658302953983751,0.203033443252696,3.67862266898562
"Smc2",7,0,0,2.04178884567684,0.253678540187998,2.04178884567684,0.285286353146593,0.715410750148519
"Nupr1",7,0,0,-1.44562607519924,-0.179742830778175,-1.21548235539162,-1.44562607519924,-0.845863445161354
"Cyb5a",7,0,0,1.63172557780205,1.63172557780205,-0.14395887335599,0.0959903909793489,0.234317594366226
"Hes6",8,0,0,2.78602832552884,0.176239834432912,1.09008634560328,1.23447664471943,2.78602832552884
"Trib3",8,0,0,-1.36068670684694,-0.0225087295678002,-1.03911120488874,-1.36068670684694,-0.138999203641042
"Dek",8,0,0,1.82899261034798,-0.0359198790097639,1.82899261034798,0.573300732241528,0.913932530631589
"Fth1",8,0,0,1.08738491792017,1.08738491792017,-0.479657120084079,-0.25128100725313,1.02824679074679
"Smc4",9,0,0,1.96541317140988,0.0491977469832121,1.96541317140988,0.0702814314709896,0.463872043382798
"Pax7",9,0,0,1.21549149569416,0.18280653135862,0.304730029020637,0.366011133214995,1.21549149569416
"Hmox1",9,0,0,-2.04958940502159,-0.616661411475809,-2.04958940502159,-1.79277595205684,-1.02999468806641
"Nqo1",9,0,0,1.36600219143121,1.36600219143121,-0.00100693182370537,0.0798724612393715,0.522732314036283
"Capg",10,0,0,1.50757787502103,1.50757787502103,-0.586591356109471,-0.229050529481446,-1.26333416157627
"Mthfd2",10,0,0,-1.43064757384945,-0.594132894180063,-0.959889953443581,-1.43064757384945,-0.160912251451327
"Peg3",10,0,0,3.20233337189874,-0.141851450229424,0.395709936426746,0.454839642528303,3.20233337189874
"Mki67",10,0,0,2.03401450057933,0.111116435219194,2.03401450057933,0.571587983058274,0.574701574105303
"Myf5",11,0,0,1.36366545794136,0.249896576455991,0.486039570880039,0.306513256451693,1.36366545794136
"Gdf15",11,0,0,-1.69033215845911,0.125605922736734,-1.6281896099808,-1.69033215845911,0.146285728667904
"Serpinb6a",11,0,0,1.27087171770949,1.27087171770949,-0.769611017327799,-0.381305247364494,0.337826264921495
"Rrm2",11,0,0,1.82389780150328,-0.18932268416641,1.82389780150328,0.913350596229714,1.65985443630492
"Creg1",12,0,0,1.28892367019946,1.28892367019946,-0.663369463543338,-0.491085253845662,0.896026034069351
"Tubb4b",12,0,0,1.73238618688351,0.342788923784736,1.73238618688351,0.988953419704495,0.689330395135212
"Sars",12,0,0,-1.37866023362126,-0.205252958316694,-1.36607025948739,-1.37866023362126,-0.22794381490676
"Asb5",12,0,0,1.55398154229832,-0.187246171705036,-0.196519977843161,0.0315190778675776,1.55398154229832
"Des",13,0,0,3.50976897049225,-0.0545457497418633,0.0286954343084913,0.429538637867146,3.50976897049225
"Slpi",13,0,0,1.44667747308976,1.44667747308976,-0.1917621158887,0.0163998485919297,1.4550543085481
"Slc3a2",13,0,0,-1.37450021123787,0.155824614153865,-1.31608915330941,-1.37450021123787,-0.0556895860339228
"Cebpb",14,0,0,-1.41452801811987,-0.059429812525954,-1.32011738854764,-1.41452801811987,-0.471197664071519
"Jsrp1",14,0,0,1.29370000689742,0.0230742925001628,0.275073437947882,0.510513514058047,1.29370000689742
"Dpysl3",14,0,0,-1.35125723056013,-1.35125723056013,-0.0661924928568038,-0.124220151312488,-0.107188356023898
"Gstm1",15,2.47032822920623e-323,4.19461733319218e-321,1.28696941940717,1.28696941940717,-0.486335826844658,-0.11175599705961,1.59783413730036
"Rbm24",15,0,0,1.39106165414656,0.201419906448639,0.0977322637858779,0.45060645054911,1.39106165414656
"Cenpf",16,0,0,2.0008698162353,0.232197032016236,2.0008698162353,0.571555263010968,0.978073643930462
"Igfbp7",16,3.95845395448007e-320,7.09932807822204e-318,-4.24650454456017,-0.08005582553035,-0.0833530997276548,-0.0634126238738363,-4.24650454456017
"Phf10",16,0,0,-1.34081105679337,0.0368078956771105,-1.0066468660395,-1.34081105679337,0.0308167715171057
"Cst6",16,2.57902267129131e-321,4.70785272609207e-319,1.42269007673334,1.42269007673334,0.13150916135179,0.266417661426391,2.70946520516234
"Fabp5",17,2.00963428795541e-272,3.06732904333949e-270,-1.16186212287028,-1.16186212287028,1.19652580341412,0.689972143246157,0.204609933709207
"Gadd45a",17,0,0,-1.39047351104839,0.253105823938967,-1.21384956823265,-1.39047351104839,0.327539300700362
"Eno3",17,1.46213787230259e-319,2.60053132511736e-317,3.15479552876098,-0.564381499606958,0.796934508220371,0.975126682387783,3.15479552876098
"Hist1h1b",17,0,0,2.7977821231322,-0.283726638189076,2.7977821231322,0.786670150278956,1.35916398837116
"Cyb5r1",18,0,0,-1.25683227580555,0.249400340131067,-0.971325551966082,-1.25683227580555,-0.0791698209556921
"Cdca8",18,0,0,1.80250867414463,0.0595237343918247,1.80250867414463,0.363645393761238,0.656223788443079
"Chchd10",18,1.46636681951635e-242,2.0899126041597e-240,1.29744702473811,1.29744702473811,-0.771844695601127,-0.605968437816481,2.01099209469003
"Crlf1",18,6.58855248797684e-314,1.14348579105636e-311,-2.95578579105223,0.609827434944354,-0.083167084410749,-0.00110529493595712,-2.95578579105223
"Ank1",19,8.05070733637502e-314,1.38607418068931e-311,1.29057995932778,0.0459386272803828,0.764886035597338,0.812761803706704,1.29057995932778
"Tpm1",19,0,0,1.17051760721125,-0.621816044783917,0.850635020178578,1.17051760721125,-0.334884489940143
"Tk1",19,0,0,1.52325535123632,0.253323589431198,1.52325535123632,0.736381759914754,0.780172264015014
"Dynap",19,3.2982839945651e-212,4.20014022763527e-210,-1.57002192595828,-1.57002192595828,0.757477668984823,0.763099409437847,1.05853953336399
"Atf5",20,0,0,-1.23224226858523,0.401609242800118,-1.18827403430217,-1.23224226858523,-0.503527451657892
"Esd",20,6.55040412691491e-203,8.10179581697336e-201,0.871990110944973,0.871990110944973,-0.363071453165642,-0.147207131476955,0.999110963843558
"Sparc",20,1.09173172906578e-313,1.85001248358373e-311,-2.12748437662363,0.16650686902258,-0.0115156109943566,0.137017320686983,-2.12748437662363
"Atad2",20,0,0,1.64985712976904,0.311699708104929,1.64985712976904,0.217468543641886,0.864113535495731
"Mcm3",21,0,0,1.60636783924415,-0.0607457901626218,1.60636783924415,0.372934754878484,0.90987981193949
"Stbd1",21,2.42941959373058e-319,4.28552936455214e-317,-1.22814767652173,-0.0511435403030877,-0.948686832931225,-1.22814767652173,0.325117508311483
"Ctsb",21,1.68340640707723e-199,2.0584425731085e-197,1.11131599462154,1.11131599462154,-0.709197800252503,-0.58356510255527,0.633212683606692
"Ankrd1",21,8.61444346532887e-312,1.44837060794773e-309,3.66903087994818,0.519540200301792,-0.00866332013083682,0.459179507865587,3.66903087994818
"Rapsn",22,1.76549141526952e-293,2.83545826477735e-291,1.27767874854461,-0.0521320294859147,-0.27179465351166,-0.140958707358964,1.27767874854461
"Ptgr1",22,9.25397471002937e-233,1.28486961119065e-230,2.41510548830355,1.49828403306587,0.0868271772988694,0.134315469106575,2.41510548830355
"Atp6v1g1",22,0,0,-1.20663727287178,-0.202768276508759,-1.20663727287178,-1.15244921936449,0.238457359633929
"Tuba1b",22,0,0,1.51917772771792,-0.0806999382306364,1.51917772771792,0.401148093966395,0.323722702023567
"Sat1",23,0,0,-1.30198833383364,0.124688829784781,-1.30198833383364,-1.20318726373375,-0.628133691005392
"Ccnd2",23,6.48262833560878e-192,7.54122402219637e-190,1.22703782426644,1.22703782426644,-0.981816392534307,-0.875891956671459,-0.120395042235439
"Asns",24,1.91406477414132e-287,3.02886676502183e-285,-1.15845050321852,0.0600861653927018,-1.15845050321852,-1.12292687952655,0.116909658028935
"Selenow",24,2.19668041289211e-161,2.26195019932299e-159,1.005795119951,1.005795119951,-0.278878598949599,-0.2039684271966,0.480559154116098
"Rrm1",24,0,0,1.54397499444543,-0.0404475516900913,1.54397499444543,0.352341394074971,0.484194783760387
"S100a16",25,5.52316823546861e-154,5.50296775905181e-152,1.07930949321692,1.07930949321692,-0.104863388614467,0.238531045238418,-0.350359701026378
"Met",25,2.46837155520094e-253,3.58931244861352e-251,1.4783989396668,0.333590084710376,0.521886284374393,0.584924026616799,1.4783989396668
"Prc1",25,0,0,1.81169953024626,0.187996247029104,1.81169953024626,-0.0661831109739905,0.393138445365296
"Pck2",25,1.32382196273435e-279,2.04963830647515e-277,-1.11253301984338,0.269995810218685,-0.864144275011239,-1.11253301984338,-0.0782366097755348
"Col4a1",26,5.15066296625626e-244,7.38982784645309e-242,-2.69054112484741,0.0972739040554051,0.51158426174667,0.522145451762813,-2.69054112484741
"Hmmr",26,0,0,1.66806026746624,0.222971645086614,1.66806026746624,0.793338773091245,0.553604799570024
"Ctsl",26,1.92653438488229e-149,1.89319390397502e-147,1.02271228635884,1.02271228635884,-0.576042924581019,-0.248509912616882,1.40190254945745
"Klf4",27,1.96753650136659e-264,2.94051062818836e-262,-1.10315056717268,0.085034418132987,-1.03497235764097,-1.10315056717268,-0.61365769335712
"Nasp",27,0,0,1.48888801794702,-0.1628542590955,1.48888801794702,0.581947871998883,1.24770825799195
"Vat1",27,2.15279091852528e-145,2.10591878898098e-143,0.995723371048903,0.995723371048903,-0.607430411036516,-0.477754985164504,-0.339263499260758
"Six1",27,5.23135432452791e-238,7.35842983125258e-236,1.4793267370797,0.0238379832132758,0.42367617453645,0.302633061233644,1.4793267370797
"Ccna2",28,0,0,1.49941877511228,0.0880434099819798,1.49941877511228,0.3841903581531,0.384530808979811
"Txnrd1",28,6.18991071756142e-144,6.00058867354243e-142,0.973024069920531,0.973024069920531,0.183368277632638,0.153636740682502,1.13381670982305
"Ddit3",28,9.54906010940896e-260,1.40757070283961e-257,-1.06811087222029,-0.0529246059967441,-0.979711855726922,-1.06811087222029,-0.341038264876038
"Gclm",29,5.89857456853814e-139,5.61695678272173e-137,1.04993655046972,1.04993655046972,-0.769540793107045,-0.686835389269387,1.24581671403373
"Col1a2",29,3.60318052729664e-227,4.90785114733857e-225,-3.75275604968588,-0.184662400452362,0.0999488535561334,0.122191345153135,-3.75275604968588
"Ghitm",29,1.77905551768108e-252,2.56960092590695e-250,-1.00967317081801,0.585911293003687,-0.959203097468977,-1.00967317081801,0.630369212972636
"Prdx6",30,1.02945592239065e-135,9.54953487317639e-134,0.916782409454616,0.916782409454616,-0.0372272865457166,0.0780166394775286,1.30769866025146
"Cdon",30,5.39756755790667e-223,7.21497213749751e-221,1.18458051730658,0.0656242161347218,0.352236392215347,0.418246115394787,1.18458051730658
"Tipin",30,0,0,1.4626811719763,0.12099004779004,1.4626811719763,0.344060301030078,0.769850305126533
"Trp53i11",31,3.31315990483717e-221,4.40138977234571e-219,1.21013248387324,-0.31654439577917,1.00188790973691,1.03998279036713,1.21013248387324
"Mt2",31,0,0,-1.37129466680371,0.895798378126921,-1.37129466680371,-1.195476865364,0.692709404027732
"Anln",31,0,0,1.57241667574021,0.382943549991234,1.57241667574021,0.315178794860717,0.638535783133985
"Calm1",31,9.37093037800652e-135,8.6554417452825e-133,0.81319465697436,0.81319465697436,-0.0638695209828235,0.235039001810871,0.0674897946870967
"Gars",32,8.62980969691599e-232,1.19052650312393e-229,-1.01322020552647,-0.123292423086316,-0.85691836696981,-1.01322020552647,-0.235806367262319
"Tagln",32,2.13829243262309e-216,2.8059872830782e-214,-4.89737425810515,-0.210871357769757,0.00698848635183383,-0.0181855391295086,-4.89737425810515
"Gsta1",32,1.80620335821057e-131,1.63324800302731e-129,0.921265475982644,0.921265475982644,-0.420276796722961,-0.301327343158719,0.888802783233961
"Hells",32,0,0,1.51905889145118,0.205049454577404,1.51905889145118,0.441304921951732,0.934409737758771
"Tpx2",33,0,0,1.63689798152587,0.24338619932142,1.63689798152587,0.344191191288121,0.584309250510084
"Pgd",33,9.28533741851151e-130,8.36107726292004e-128,0.984877229512499,0.984877229512499,-0.091918849143465,0.0833240791132912,1.00651262008939
"Aebp1",33,1.06414907073897e-213,1.37961157538393e-211,-2.85437605910408,0.00623201669996307,-0.321580081836436,-0.304311033474524,-2.85437605910408
"Ifrd1",33,1.44276693384435e-230,1.97769345116337e-228,-1.0956833331646,-0.705373663777584,-0.819795579935988,-1.0956833331646,-0.415942404678213
"Vgll2",34,2.7754632555261e-208,3.49302600714492e-206,1.0561669015851,0.33231738752564,0.153155774952124,-0.105933119234058,1.0561669015851
"Jund",34,0,0,-1.33621268742815,-0.0966310862961393,-1.33621268742815,-1.1307001237636,-0.979726258745782
"Neat1",34,0,0,-1.79973434862373,0.38612318098447,-1.79973434862373,-1.28867597185077,-0.139384296312663
"Psap",35,1.37727641102566e-103,1.06620020293825e-101,0.96350090536644,0.96350090536644,-0.487484132022475,-0.411670570737224,-0.0186130759090393
"Gmnn",35,0,0,1.39286833606009,0.125640610327964,1.39286833606009,0.269748292068149,0.644061984416916
