"","Top","p.value","FDR","summary.AUC","AUC.d5_MuSCs_and_progenitors"
"Idh1",29,1,1,0.514350646930233,0.514350646930233
"Pikfyve",30,1,1,0.498301639123803,0.498301639123803
"Rpe",31,1,1,0.525833539804317,0.525833539804317
"Acadl",32,1,1,0.430184669109237,0.430184669109237
"Cps1",33,1,1,0.5,0.5
"Atic",34,1,1,0.502440011957045,0.502440011957045
"Plcd4",35,1,1,0.499785306720868,0.499785306720868
"Cyp27a1",36,1,1,0.500649195932558,0.500649195932558
"Gmppa",37,1,1,0.521484310763314,0.521484310763314
"Chpf",38,1,1,0.535772833680862,0.535772833680862
"Sgpp2",39,1,1,0.5,0.5
"Mogat1",40,1,1,0.49923569192629,0.49923569192629
"Acsl3",41,1,1,0.453208193645664,0.453208193645664
"B3gnt7",42,1,1,0.504278334579468,0.504278334579468
"Pde6d",43,1,1,0.504907248849061,0.504907248849061
"Alpi",44,1,1,0.5,0.5
"Neu2",45,1,1,0.500183083119736,0.500183083119736
"Inpp5d",46,1,1,0.500183083119736,0.500183083119736
"Dgkd",47,1,1,0.505425436201928,0.505425436201928
"Ugt1a7c",48,1,1,0.500915415598682,0.500915415598682
"Ugt1a6b",49,1,1,0.5,0.5
"Ugt1a6a",50,1,1,0.500049699210148,0.500049699210148
"Ugt1a5",51,1,1,0.500183083119736,0.500183083119736
"Ugt1a2",52,1,1,0.5,0.5
"Scly",53,1,1,0.503698754084654,0.503698754084654
"Ndufa10",54,1,1,0.464271018563386,0.464271018563386
"Agxt",55,1,1,0.5,0.5
"Dtymk",56,1,1,0.508565256890101,0.508565256890101
"Pign",57,1,1,0.507461642076521,0.507461642076521
"Kdsr",58,1,1,0.538083481517375,0.538083481517375
"Mgat5",59,1,1,0.524224345158091,0.524224345158091
"Acmsd",60,1,1,0.500050247363201,0.500050247363201
"Lct",61,1,1,0.500232965047569,0.500232965047569
"Pfkfb2",62,1,1,0.498262902974717,0.498262902974717
"Pik3c2b",63,1,1,0.489871776037818,0.489871776037818
"Etnk2",64,1,1,0.500050247363201,0.500050247363201
"Chit1",65,1,1,0.500183083119736,0.500183083119736
"Cyb5r1",66,1,1,0.48525413471848,0.48525413471848
"B3galt2",67,1,1,0.498983358804179,0.498983358804179
"Pla2g4a",68,1,1,0.535137889727685,0.535137889727685
"Ptgs2",69,1,1,0.548557407338381,0.548557407338381
"Colgalt2",70,1,1,0.500366166239473,0.500366166239473
"Nmnat2",71,1,1,0.506216055622187,0.506216055622187
"Npl",72,1,1,0.493147173247792,0.493147173247792
"Glul",73,1,1,0.515980488674793,0.515980488674793
"Soat1",74,1,1,0.547202555708795,0.547202555708795
"Prdx6",75,1,1,0.508817772729897,0.508817772729897
"Pigc",76,1,1,0.517891350217909,0.517891350217909
"Fmo4",77,1,1,0.499500998003992,0.499500998003992
"Fmo1",78,1,1,0.495274920682253,0.495274920682253
"Fmo2",79,1,1,0.500732332478945,0.500732332478945
"Nme7",80,1,1,0.51292142920311,0.51292142920311
"Adcy10",81,1,1,0.500549249359209,0.500549249359209
"Gm4847",82,1,1,0.5,0.5
"Uck2",83,1,1,0.529596793231552,0.529596793231552
"Aldh9a1",84,1,1,0.51227259870592,0.51227259870592
"Mgst3",85,1,1,0.498974771073013,0.498974771073013
"Hsd17b7",86,1,1,0.497917749268947,0.497917749268947
"Uap1",87,1,1,0.507664824141538,0.507664824141538
"Sdhc",88,1,1,0.48438860104763,0.48438860104763
"Ndufs2",89,1,1,0.454449212157888,0.454449212157888
"B4galt3",90,1,1,0.490079526044944,0.490079526044944
"Ppox",91,1,1,0.499909920181607,0.499909920181607
"Pigm",92,1,1,0.50359734576983,0.50359734576983
"Fh1",93,1,1,0.470984979875474,0.470984979875474
"Kmo",94,1,1,0.5,0.5
"Adss",95,1,1,0.547978192278936,0.547978192278936
"Smyd3",96,1,1,0.498339461684467,0.498339461684467
"Itpkb",97,1,1,0.505523372880749,0.505523372880749
"Pycr2",98,1,1,0.494207301252493,0.494207301252493
"Ephx1",99,1,1,0.516188421399603,0.516188421399603
"9130409I23Rik",100,1,1,0.5,0.5
"Lbr",101,1,1,0.503433813442321,0.503433813442321
"Degs1",102,1,1,0.54299127851949,0.54299127851949
"Bpnt1",103,1,1,0.497525454400609,0.497525454400609
"Eprs",104,1,1,0.511354625059657,0.511354625059657
"Smyd2",105,1,1,0.50344130486738,0.50344130486738
"Lpgat1",106,1,1,0.522077229649087,0.522077229649087
"Hsd11b1",107,1,1,0.528428130922337,0.528428130922337
"Olah",108,1,1,0.5,0.5
"Suv39h2",109,1,1,0.504765277208308,0.504765277208308
"Sephs1",110,1,1,0.516355790798484,0.516355790798484
"Nudt5",111,1,1,0.483302709849433,0.483302709849433
"Dhtkd1",112,1,1,0.502750997455839,0.502750997455839
"Atp5c1",113,1,1,0.460039094275747,0.460039094275747
"Pfkfb3",114,1,1,0.507469498936949,0.507469498936949
"Hacd1",115,1,1,0.392674007532354,0.392674007532354
"Pip4k2a",116,1,1,0.523892712560964,0.523892712560964
"Gad2",117,1,1,0.500564414927012,0.500564414927012
"Pdss1",118,1,1,0.498252853502077,0.498252853502077
"Hnmt",119,1,1,0.500965845679567,0.500965845679567
"Ehmt1",120,1,1,0.497291758482303,0.497291758482303
"Pnpla7",121,1,1,0.50442231611475,0.50442231611475
"Man1b1",122,1,1,0.521147927506393,0.521147927506393
"Uap1l1",123,1,1,0.51088869496452,0.51088869496452
"Entpd2",124,1,1,0.499287035595598,0.499287035595598
"Fut7",125,1,1,0.500183083119736,0.500183083119736
"Ptgds",126,1,1,0.500183083119736,0.500183083119736
"Inpp5e",127,1,1,0.507775551058264,0.507775551058264
"Agpat2",128,1,1,0.524300903867841,0.524300903867841
"Dbh",129,1,1,0.5,0.5
"Sardh",130,1,1,0.505374275250305,0.505374275250305
"Cel",131,1,1,0.5,0.5
"Ak8",132,1,1,0.500183083119736,0.500183083119736
"Kyat1",133,1,1,0.498664333727273,0.498664333727273
"Dolk",134,1,1,0.52044958051674,0.52044958051674
"Dolpp1",135,1,1,0.516765078411467,0.516765078411467
"Ptges",136,1,1,0.520626633952892,0.520626633952892
"Ass1",137,1,1,0.52305586556656,0.52305586556656
"Pomt1",138,1,1,0.509087281314339,0.509087281314339
"Uck1",139,1,1,0.51008674704783,0.51008674704783
"Ptges2",140,1,1,0.503737672951424,0.503737672951424
"Dpm2",141,1,1,0.512606606632944,0.512606606632944
"Pip5kl1",142,1,1,0.500366166239473,0.500366166239473
"St6galnac4",143,1,1,0.465422139974902,0.465422139974902
"St6galnac6",144,1,1,0.509753287273859,0.509753287273859
"Ak1",145,1,1,0.509143558361125,0.509143558361125
"Fpgs",146,1,1,0.516207241321093,0.516207241321093
"Gm34653",147,1,1,0.500416413602674,0.500416413602674
"Ggta1",148,1,1,0.525121306270652,0.525121306270652
"Ndufa8",149,1,1,0.491939226636438,0.491939226636438
"Ptgs1",150,1,1,0.550269289323221,0.550269289323221
"Kynu",151,1,1,0.5,0.5
"Galnt13",152,1,1,0.5,0.5
"Gpd2",153,1,1,0.541159168298336,0.541159168298336
"Galnt5",154,1,1,0.500183083119736,0.500183083119736
"Upp2",155,1,1,0.509710531335717,0.509710531335717
"Galnt3",156,1,1,0.500017906333068,0.500017906333068
"B3galt1",157,1,1,0.509556500327796,0.509556500327796
"Cers6",158,1,1,0.530529932445618,0.530529932445618
"Dhrs9",159,1,1,0.501432872080811,0.501432872080811
"Phospho2",160,1,1,0.503005523190163,0.503005523190163
"Gad1",161,1,1,0.500366166239473,0.500366166239473
"Atp5g3",162,1,1,0.435782773522892,0.435782773522892
"Agps",163,1,1,0.506276535175712,0.506276535175712
"Pde11a",164,1,1,0.500183083119736,0.500183083119736
"Pde1a",165,1,1,0.523210810162904,0.523210810162904
"Prdx6b",166,1,1,0.500549249359209,0.500549249359209
"Ndufs3",167,1,1,0.483825647862093,0.483825647862093
"Acp2",168,1,1,0.506249127523057,0.506249127523057
"Dgkz",169,1,1,0.508179539858401,0.508179539858401
"Large2",170,1,1,0.499651740093595,0.499651740093595
"Chst1",171,1,1,0.511690460163525,0.511690460163525
"Ext2",172,1,1,0.529033109175278,0.529033109175278
"Hsd17b12",173,1,1,0.514879066473424,0.514879066473424
"Pdhx",174,1,1,0.488298942210782,0.488298942210782
"Apip",175,1,1,0.505317632768151,0.505317632768151
"Cat",176,1,1,0.514017918027,0.514017918027
"Bbox1",177,1,1,0.500366166239473,0.500366166239473
"Lpcat4",178,1,1,0.500818209790598,0.500818209790598
"Plcb2",179,1,1,0.499500998003992,0.499500998003992
"Ivd",180,1,1,0.498022446502089,0.498022446502089
"Chst14",181,1,1,0.52525469018024,0.52525469018024
"Chac1",182,1,1,0.48738060312915,0.48738060312915
"Itpka",183,1,1,0.499203533613842,0.499203533613842
"Pla2g4b",184,1,1,0.499867164243465,0.499867164243465
"Pla2g4d",185,1,1,0.5,0.5
"Pla2g4f",186,1,1,0.500183083119736,0.500183083119736
"Ganc",187,1,1,0.503901753431986,0.503901753431986
"Ckmt1",188,1,1,0.499867164243465,0.499867164243465
"Sord",189,1,1,0.503448248139386,0.503448248139386
"Sqor",190,1,1,0.51033396407478,0.51033396407478
"Dut",191,1,1,0.50891954648009,0.50891954648009
"Hdc",192,1,1,0.500183083119736,0.500183083119736
"Blvra",193,1,1,0.509780146773462,0.509780146773462
"Gpat2",194,1,1,0.499917411606666,0.499917411606666
"Idh3b",195,1,1,0.488125908563686,0.488125908563686
"Itpa",196,1,1,0.467827070136549,0.467827070136549
"Pank2",197,1,1,0.515204303951599,0.515204303951599
"Smox",198,1,1,0.522403197997999,0.522403197997999
"Cds2",199,1,1,0.509788734504627,0.509788734504627
"Gpcpd1",200,1,1,0.512819838170601,0.512819838170601
"Crls1",201,1,1,0.50136252577233,0.50136252577233
"Hao1",202,1,1,0.501016275760453,0.501016275760453
"Plcb1",203,1,1,0.501859152438441,0.501859152438441
"Plcb4",204,1,1,0.486116196753326,0.486116196753326
"Acss1",205,1,1,0.500915415598682,0.500915415598682
"Entpd6",206,1,1,0.513286316418792,0.513286316418792
"Pygb",207,1,1,0.50419391900929,0.50419391900929
"Nanp",208,1,1,0.499734328486929,0.499734328486929
"Cox4i2",209,1,1,0.501915429485226,0.501915429485226
"Pofut1",210,1,1,0.513508501122983,0.513508501122983
"Dnmt3b",211,1,1,0.499999086411578,0.499999086411578
"Ahcy",212,1,1,0.515929693158538,0.515929693158538
"Pigu",213,1,1,0.516316506496345,0.516316506496345
"Ggt7",214,1,1,0.502892420943539,0.502892420943539
"Acss2",215,1,1,0.503374064759533,0.503374064759533
"Gss",216,1,1,0.539147081158079,0.539147081158079
"Nfs1",217,1,1,0.502892420943539,0.502892420943539
"Rpn2",218,1,1,0.539765763237348,0.539765763237348
"Plcg1",219,1,1,0.503961684832459,0.503961684832459
"Lpin3",220,1,1,0.494515180550653,0.494515180550653
"Ada",221,1,1,0.502282692030805,0.502282692030805
"Pigt",222,1,1,0.515455175332236,0.515455175332236
"Acot8",223,1,1,0.506359489004415,0.506359489004415
"Ptgis",224,1,1,0.486831536487625,0.486831536487625
"B4galt5",225,1,1,0.503781707913357,0.503781707913357
"Tmem189",226,1,1,0.485556167050739,0.485556167050739
"Dpm1",227,1,1,0.50536696654293,0.50536696654293
"Cyp24a1",228,1,1,0.500183083119736,0.500183083119736
"Pck1",229,1,1,0.5,0.5
"Atp5e",230,1,1,0.465182231655327,0.465182231655327
"Uckl1",231,1,1,0.508215535242222,0.508215535242222
"Dgkk",232,1,1,0.500384803443278,0.500384803443278
"Suv39h1",233,1,1,0.518595544173462,0.518595544173462
"Ebp",234,1,1,0.543639012710573,0.543639012710573
"Maoa",235,1,1,0.538889266505437,0.538889266505437
"Maob",236,1,1,0.496754385772578,0.496754385772578
"Chst7",237,1,1,0.505207271286793,0.505207271286793
"Rgn",238,1,1,0.500183083119736,0.500183083119736
"Ndufb11",239,1,1,0.481386184058101,0.481386184058101
"Ndufa1",240,1,1,0.484845943411602,0.484845943411602
"C1galt1c1",241,1,1,0.515882369278287,0.515882369278287
"Ocrl",242,1,1,0.513134295305398,0.513134295305398
"Hs6st2",243,1,1,0.518611806047371,0.518611806047371
"Hprt",244,1,1,0.542569017950916,0.542569017950916
"Ids",245,1,1,0.502927502738938,0.502927502738938
"Mtm1",246,1,1,0.503178374119575,0.503178374119575
"Mtmr1",247,1,1,0.49266096148969,0.49266096148969
"Nsdhl",248,1,1,0.493252966787041,0.493252966787041
"Idh3g",249,1,1,0.458622484068845,0.458622484068845
"Renbp",250,1,1,0.503660200653252,0.503660200653252
"Tktl1",251,1,1,0.500183083119736,0.500183083119736
"Taz",252,1,1,0.497834795440244,0.497834795440244
"Atp6ap1",253,1,1,0.537098633198634,0.537098633198634
"G6pdx",254,1,1,0.532900328964919,0.532900328964919
"Gk",255,1,1,0.511691556469631,0.511691556469631
"Pcyt1b",256,1,1,0.500276451856448,0.500276451856448
"Heph",257,1,1,0.502297857598607,0.502297857598607
"Awat2",258,1,1,0.499052243371185,0.499052243371185
"Ogt",259,1,1,0.523910070740979,0.523910070740979
"Uprt",260,1,1,0.504308300279704,0.504308300279704
"Cox7b",261,1,1,0.463597703896491,0.463597703896491
"Pgk1",262,1,1,0.475008240567565,0.475008240567565
"Gla",263,1,1,0.517990748638205,0.517990748638205
"Prps1",264,1,1,0.490166682380388,0.490166682380388
"Gucy2f",265,1,1,0.5,0.5
"Acsl4",266,1,1,0.504913278532645,0.504913278532645
"Alg13",267,1,1,0.525023552309515,0.525023552309515
"Alas2",268,1,1,0.5,0.5
"Pfkfb1",269,1,1,0.499209563297426,0.499209563297426
"Hsd17b10",270,1,1,0.479839296142245,0.479839296142245
"Sat1",271,1,1,0.536929984775963,0.536929984775963
"Sms",272,1,1,0.449350292457926,0.449350292457926
"Pdha1",273,1,1,0.492139667936189,0.492139667936189
"Ctps2",274,1,1,0.503657642605671,0.503657642605671
"Car5b",275,1,1,0.503956751454981,0.503956751454981
"Piga",276,1,1,0.507426194845753,0.507426194845753
"Prps2",277,1,1,0.510138273434822,0.510138273434822
"Hccs",278,1,1,0.492479157393744,0.492479157393744
"Impa1",279,1,1,0.493629547934523,0.493629547934523
"Car13",280,1,1,0.513240088844647,0.513240088844647
"Car3",281,1,1,0.499594001305335,0.499594001305335
"Car2",282,1,1,0.491814430458015,0.491814430458015
"Cyp7b1",283,1,1,0.500566059386171,0.500566059386171
"Pde7a",284,1,1,0.507050710004378,0.507050710004378
"Cp",285,1,1,0.501881443995934,0.501881443995934
"Gyg",286,1,1,0.50292129033767,0.50292129033767
"Pld1",287,1,1,0.50282719073022,0.50282719073022
"Mecom",288,1,1,0.514974993257717,0.514974993257717
"Pik3ca",289,1,1,0.528546349264123,0.528546349264123
"Ndufb5",290,1,1,0.474073822329709,0.474073822329709
"Mccc1",291,1,1,0.499886166882639,0.499886166882639
"Ndufc1",292,1,1,0.473406720064083,0.473406720064083
"Setd7",293,1,1,0.511865320987465,0.511865320987465
"Mgst2",294,1,1,0.49933399404048,0.49933399404048
"Alg5",295,1,1,0.526383337316579,0.526383337316579
"Plch1",296,1,1,0.499867164243465,0.499867164243465
"Slc33a1",297,1,1,0.507527785878262,0.507527785878262
"Gmps",298,1,1,0.479210199154967,0.479210199154967
"B3galnt1",299,1,1,0.52409753908514,0.52409753908514
"Tdo2",300,1,1,0.5,0.5
"Gucy1b1",301,1,1,0.503921304224213,0.503921304224213
"Gucy1a1",302,1,1,0.502563163676309,0.502563163676309
"Glt28d2",303,1,1,0.495472621216739,0.495472621216739
"Ash1l",304,1,1,0.518087771728604,0.518087771728604
"Fdps",305,1,1,0.486251590557442,0.486251590557442
"Gba",306,1,1,0.511774875733703,0.511774875733703
"Dpm3",307,1,1,0.541257104977157,0.541257104977157
"Flad1",308,1,1,0.492726008985325,0.492726008985325
"Pmvk",309,1,1,0.516127759128393,0.516127759128393
"Npr1",310,1,1,0.499517625313269,0.499517625313269
"Them4",311,1,1,0.518715041539038,0.518715041539038
"Them5",312,1,1,0.5,0.5
"Selenbp2",313,1,1,0.5,0.5
"Selenbp1",314,1,1,0.500599679440095,0.500599679440095
"Pi4kb",315,1,1,0.507526141419102,0.507526141419102
"Pip5k1a",316,1,1,0.526782392739238,0.526782392739238
"Prune1",317,1,1,0.5060358959854,0.5060358959854
"Cers2",318,1,1,0.553403445763179,0.553403445763179
"Setdb1",319,1,1,0.494536923955092,0.494536923955092
"Car14",320,1,1,0.499500998003992,0.499500998003992
"Fmo5",321,1,1,0.498754961698719,0.498754961698719
"Hmgcs2",322,1,1,0.500732332478945,0.500732332478945
"Phgdh",323,1,1,0.479706825821078,0.479706825821078
"Gm4450",324,1,1,0.5,0.5
"Hsd3b2",325,1,1,0.500366166239473,0.500366166239473
"Hsd3b3",326,1,1,0.5,0.5
"Hsd3b6",327,1,1,0.500549249359209,0.500549249359209
"Hsd3b1",328,1,1,0.500366166239473,0.500366166239473
"Hao2",329,1,1,0.500183083119736,0.500183083119736
"Man1a2",330,1,1,0.51676855004747,0.51676855004747
"Ampd1",331,1,1,0.499601858165763,0.499601858165763
"Cept1",332,1,1,0.522301789683175,0.522301789683175
"Ahcyl1",333,1,1,0.516895173402737,0.516895173402737
"Gstm5",334,1,1,0.490481322232869,0.490481322232869
"Gstm7",335,1,1,0.500416596320358,0.500416596320358
"Gstm6",336,1,1,0.500183083119736,0.500183083119736
"Gstm3",337,1,1,0.5,0.5
"Gstm2",338,1,1,0.519832908331999,0.519832908331999
"Gstm1",339,1,1,0.552460987947211,0.552460987947211
"Gstm4",340,1,1,0.501709506654944,0.501709506654944
"Ampd2",341,1,1,0.509956103903508,0.509956103903508
"Amy1",342,1,1,0.500549249359209,0.500549249359209
"Extl2",343,1,1,0.515964044083199,0.515964044083199
"Dbt",344,1,1,0.518898855529512,0.518898855529512
"Agl",345,1,1,0.506375020007586,0.506375020007586
"Dpyd",346,1,1,0.498259065903345,0.498259065903345
"Alg14",347,1,1,0.517193551381309,0.517193551381309
"Gclm",348,1,1,0.542930068095227,0.542930068095227
"Pde5a",349,1,1,0.489199374959345,0.489199374959345
"Ndst3",350,1,1,0.511153818324537,0.511153818324537
"Ndst4",351,1,1,0.499270225568636,0.499270225568636
"Ugt8a",352,1,1,0.498347501262579,0.498347501262579
"Elovl6",353,1,1,0.502485325942768,0.502485325942768
"Pla2g12a",354,1,1,0.50654458201868,0.50654458201868
"Hadh",355,1,1,0.504659300951374,0.504659300951374
"Cyp2u1",356,1,1,0.50646345536682,0.50646345536682
"Sgms2",357,1,1,0.527235167161101,0.527235167161101
"Papss1",358,1,1,0.518257881892751,0.518257881892751
"Ppa2",359,1,1,0.48907530965166,0.48907530965166
"Bdh2",360,1,1,0.504992760725345,0.504992760725345
"Manba",361,1,1,0.501030710457518,0.501030710457518
"Adh7",362,1,1,0.506064582661846,0.506064582661846
"Adh1",363,1,1,0.5,0.5
"Adh5",364,1,1,0.496625935240467,0.496625935240467
"Kyat3",365,1,1,0.512694128403756,0.512694128403756
"Hs2st1",366,1,1,0.527732341980265,0.527732341980265
"Uox",367,1,1,0.500366166239473,0.500366166239473
"Ak5",368,1,1,0.505075166400995,0.505075166400995
"Pigk",369,1,1,0.532633195710373,0.532633195710373
"St6galnac5",370,1,1,0.5,0.5
"St6galnac3",371,1,1,0.499601675448079,0.499601675448079
"Acadm",372,1,1,0.490378817611938,0.490378817611938
"Fpgt",373,1,1,0.510746540606082,0.510746540606082
"Cth",374,1,1,0.500929484860378,0.500929484860378
"Car8",375,1,1,0.532799468803148,0.532799468803148
"Atp6v0d2",376,1,1,0.5,0.5
"Ggh",377,1,1,0.535462030899753,0.535462030899753
"Coq3",378,1,1,0.494777928580773,0.494777928580773
"Fut9",379,1,1,0.5,0.5
"Aco1",380,1,1,0.517768015780961,0.517768015780961
"Ndufb6",381,1,1,0.456645844159356,0.456645844159356
"B4galt1",382,1,1,0.54542398176916,0.54542398176916
"Nudt2",383,1,1,0.488414054351933,0.488414054351933
"Galt",384,1,1,0.507488136140754,0.507488136140754
"Pigo",385,1,1,0.49846133437994,0.49846133437994
"Car9",386,1,1,0.49918507912772,0.49918507912772
"Gba2",387,1,1,0.51087992451567,0.51087992451567
"Npr2",388,1,1,0.504086663728566,0.504086663728566
"Gne",389,1,1,0.518470565277354,0.518470565277354
"Grhpr",390,1,1,0.52468990981786,0.52468990981786
"Aldh1b1",391,1,1,0.499917228888981,0.499917228888981
"Nans",392,1,1,0.528288351893796,0.528288351893796
"Galnt12",393,1,1,0.507536739044796,0.507536739044796
"Alg2",394,1,1,0.516503426687453,0.516503426687453
"Baat",395,1,1,0.499418226892973,0.499418226892973
"Aldob",396,1,1,0.5,0.5
"Fktn",397,1,1,0.500498636560639,0.500498636560639
"Ugcg",398,1,1,0.484849963200658,0.484849963200658
"Alad",399,1,1,0.496314767023989,0.496314767023989
"Atp6v1g1",400,1,1,0.444473922897522,0.444473922897522
"Aldoart1",401,1,1,0.500366166239473,0.500366166239473
"Acer2",402,1,1,0.500395401068972,0.500395401068972
"Hacd4",403,1,1,0.52320021253721,0.52320021253721
"Mtap",404,1,1,0.535188502526255,0.535188502526255
"Cyp2j8",405,1,1,0.5,0.5
"Cyp2j6",406,1,1,0.512456412696394,0.512456412696394
"Cyp2j9",407,1,1,0.498850888483012,0.498850888483012
"Alg6",408,1,1,0.51389202554247,0.51389202554247
"Pgm2",409,1,1,0.500050978233938,0.500050978233938
"Ak4",410,1,1,0.505227187514389,0.505227187514389
"Pde4b",411,1,1,0.52470708528019,0.52470708528019
"Plpp3",412,1,1,0.565226193530186,0.565226193530186
"Dhcr24",413,1,1,0.50961734531669,0.50961734531669
"Cyb5rl",414,1,1,0.507745037204975,0.507745037204975
"Cpt2",415,1,1,0.497500604795535,0.497500604795535
"Scp2",416,1,1,0.538577367418221,0.538577367418221
"Gpx7",417,1,1,0.540360692017649,0.540360692017649
"Txndc12",418,1,1,0.525445995595773,0.525445995595773
"Cmpk1",419,1,1,0.50812052204635,0.50812052204635
"Cyp4a29",420,1,1,0.499500998003992,0.499500998003992
"Uqcrh",421,1,1,0.448598591904437,0.448598591904437
"Pomgnt1",422,1,1,0.513011691739187,0.513011691739187
"Akr1a1",423,1,1,0.528605915229227,0.528605915229227
"Urod",424,1,1,0.504969921014799,0.504969921014799
"B4galt2",425,1,1,0.498530949817684,0.498530949817684
"Atp6v0b",426,1,1,0.479042829756086,0.479042829756086
"St3gal3",427,1,1,0.502851492182241,0.502851492182241
"Elovl1",428,1,1,0.516291839608955,0.516291839608955
"Ppcs",429,1,1,0.498936948512349,0.498936948512349
"Rimkla",430,1,1,0.500050064645517,0.500050064645517
"Ctps",431,1,1,0.505626791090101,0.505626791090101
"Zmpste24",432,1,1,0.539289966387255,0.539289966387255
"Ppt1",433,1,1,0.494003753752108,0.494003753752108
"Oxct2a",434,1,1,0.5,0.5
"Ndufs5",435,1,1,0.464852060799675,0.464852060799675
"Inpp5b",436,1,1,0.521135137268488,0.521135137268488
"A3galt2",437,1,1,0.501281581838155,0.501281581838155
"Azin2",438,1,1,0.502515474360689,0.502515474360689
"Ak2",439,1,1,0.520452869435059,0.520452869435059
"Mecr",440,1,1,0.519688378643665,0.519688378643665
"Pigv",441,1,1,0.507158148002786,0.507158148002786
"Dhdds",442,1,1,0.509744334107325,0.509744334107325
"Extl1",443,1,1,0.495658993254794,0.495658993254794
"Pafah2",444,1,1,0.498620481483024,0.498620481483024
"Man1c1",445,1,1,0.50521677260638,0.50521677260638
"Fuca1",446,1,1,0.530731470051475,0.530731470051475
"Hmgcl",447,1,1,0.509342720637085,0.509342720637085
"Gale",448,1,1,0.490452270121054,0.490452270121054
"Lypla2",449,1,1,0.498138289513978,0.498138289513978
"Alpl",450,1,1,0.499867346961149,0.499867346961149
"Ddost",451,1,1,0.539284119421355,0.539284119421355
"Cda",452,1,1,0.492106778753003,0.492106778753003
"Pla2g2f",453,1,1,0.5,0.5
"Pla2g2d",454,1,1,0.501382441999925,0.501382441999925
"Pla2g5",455,1,1,0.501864816686656,0.501864816686656
"Pla2g2e",456,1,1,0.498645879241152,0.498645879241152
"Akr7a5",457,1,1,0.513011326303819,0.513011326303819
"Aldh4a1",458,1,1,0.505645611011591,0.505645611011591
"Sdhb",459,1,1,0.45786548470251,0.45786548470251
"Agmat",460,1,1,0.500366166239473,0.500366166239473
"Prdm2",461,1,1,0.51882723019724,0.51882723019724
"Dhrs3",462,1,1,0.501277379331414,0.501277379331414
"Plod1",463,1,1,0.529577973310062,0.529577973310062
"Mthfr",464,1,1,0.509730082127945,0.509730082127945
"Srm",465,1,1,0.55997653174062,0.55997653174062
"Pgd",466,1,1,0.532384699659634,0.532384699659634
"Nmnat1",467,1,1,0.495670687186593,0.495670687186593
"Pik3cd",468,1,1,0.49877633966779,0.49877633966779
"H6pd",469,1,1,0.5236164434222,0.5236164434222
"Car6",470,1,1,0.500732332478945,0.500732332478945
"Eno1",471,1,1,0.490258589375624,0.490258589375624
"Acot7",472,1,1,0.523473192757656,0.523473192757656
"Icmt",473,1,1,0.521495639259745,0.521495639259745
"Prdm16",474,1,1,0.507529064902053,0.507529064902053
"Plch2",475,1,1,0.500549249359209,0.500549249359209
"Nadk",476,1,1,0.531217681809578,0.531217681809578
"B3galt6",477,1,1,0.511708914649646,0.511708914649646
"Cyp51",478,1,1,0.488762131540654,0.488762131540654
"Kmt2e",479,1,1,0.561434984297242,0.561434984297242
"Nos3",480,1,1,0.501164459802475,0.501164459802475
"Chpf2",481,1,1,0.512841398857357,0.512841398857357
"Galnt11",482,1,1,0.49470082171797,0.49470082171797
"Kmt2c",483,1,1,0.520662446619028,0.520662446619028
"Tyms",484,1,1,0.498084753232459,0.498084753232459
"Hadha",485,1,1,0.506261004172541,0.506261004172541
"Hadhb",486,1,1,0.486291057577266,0.486291057577266
"Selenoi",487,1,1,0.511856002385562,0.511856002385562
"Khk",488,1,1,0.504829228397836,0.504829228397836
"Cad",489,1,1,0.532251315750045,0.532251315750045
"Rbks",490,1,1,0.50087978565023,0.50087978565023
"Plb1",491,1,1,0.499500998003992,0.499500998003992
"Pisd",492,1,1,0.515683755155379,0.515683755155379
"Nsd2",493,1,1,0.520744121423941,0.520744121423941
"Nat8l",494,1,1,0.499833361471857,0.499833361471857
"Acox3",495,1,1,0.496341261088223,0.496341261088223
"Psapl1",496,1,1,0.500183083119736,0.500183083119736
"Man2b2",497,1,1,0.503022333217125,0.503022333217125
"Hs3st1",498,1,1,0.500099946573349,0.500099946573349
"Bst1",499,1,1,0.5,0.5
"Cd38",500,1,1,0.50206160363272,0.50206160363272
"Qdpr",501,1,1,0.484856541037296,0.484856541037296
"Lap3",502,1,1,0.496255931929623,0.496255931929623
"Sepsecs",503,1,1,0.49674232640541,0.49674232640541
"Pi4k2b",504,1,1,0.491846223335095,0.491846223335095
"G6pd2",505,1,1,0.500183083119736,0.500183083119736
"Pgm1",506,1,1,0.51052472133726,0.51052472133726
"Lias",507,1,1,0.50886893368152,0.50886893368152
"Gnpda2",508,1,1,0.498082560620246,0.498082560620246
"Cox7b2",509,1,1,0.500183083119736,0.500183083119736
"Srd5a3",510,1,1,0.52002494461827,0.52002494461827
"Ppat",511,1,1,0.494487590180313,0.494487590180313
"Paics",512,1,1,0.520744852294678,0.520744852294678
"Dck",513,1,1,0.503863200000585,0.503863200000585
"Mthfd2l",514,1,1,0.525605325416541,0.525605325416541
"Enoph1",515,1,1,0.491301176482626,0.491301176482626
"Coq2",516,1,1,0.47001547984222,0.47001547984222
"Hpse",517,1,1,0.499797914241089,0.499797914241089
"Gpat3",518,1,1,0.496903666120706,0.496903666120706
"Cds1",519,1,1,0.50015019393655,0.50015019393655
"Nudt9",520,1,1,0.518149164870552,0.518149164870552
