"","Top","p.value","FDR","summary.AUC","AUC.d5_MuSCs_and_progenitors"
"Sgpp1",1242,1,1,0.525918320809863,0.525918320809863
"Mthfd1",1243,1,1,0.514607913429823,0.514607913429823
"Fntb",1244,1,1,0.501070177477341,0.501070177477341
"Gpx2",1245,1,1,0.500366166239473,0.500366166239473
"Fut8",1246,1,1,0.512827877748713,0.512827877748713
"Gphn",1247,1,1,0.510656460787689,0.510656460787689
"Atp6v1d",1248,1,1,0.496912436569556,0.496912436569556
"Pigh",1249,1,1,0.505999169730842,0.505999169730842
"Arg2",1250,1,1,0.500466660965875,0.500466660965875
"Rdh11",1251,1,1,0.510293766184219,0.510293766184219
"Rdh12",1252,1,1,0.501931325923766,0.501931325923766
"Galnt16",1253,1,1,0.500415682731936,0.500415682731936
"Acot2",1254,1,1,0.506551525290686,0.506551525290686
"Acot1",1255,1,1,0.519742828513606,0.519742828513606
"Acot4",1256,1,1,0.50396131939709,0.50396131939709
"Acot3",1257,1,1,0.499367979529772,0.499367979529772
"Acot5",1258,1,1,0.5,0.5
"Coq6",1259,1,1,0.503396721752394,0.503396721752394
"Entpd5",1260,1,1,0.504462696722995,0.504462696722995
"Aldh6a1",1261,1,1,0.502096685428118,0.502096685428118
"Dlst",1262,1,1,0.512641688428343,0.512641688428343
"Acyp1",1263,1,1,0.518856282309055,0.518856282309055
"Pomt2",1264,1,1,0.524077257422175,0.524077257422175
"Gstz1",1265,1,1,0.49028892051123,0.49028892051123
"Sptlc2",1266,1,1,0.492313980607076,0.492313980607076
"Galc",1267,1,1,0.505719246238391,0.505719246238391
"Dglucy",1268,1,1,0.497293951094515,0.497293951094515
"Itpk1",1269,1,1,0.503057415012524,0.503057415012524
"Cox8c",1270,1,1,0.5,0.5
"Ak7",1271,1,1,0.499684446559097,0.499684446559097
"Cyp46a1",1272,1,1,0.500016992744646,0.500016992744646
"Degs2",1273,1,1,0.499335821217324,0.499335821217324
"Ckb",1274,1,1,0.436896985962166,0.436896985962166
"Adssl1",1275,1,1,0.475635693095683,0.475635693095683
"Pld4",1276,1,1,0.500050247363201,0.500050247363201
"Oxct1",1277,1,1,0.578955052180516,0.578955052180516
"Nadk2",1278,1,1,0.506123052320844,0.506123052320844
"Amacr",1279,1,1,0.490448067614314,0.490448067614314
"Cox6c",1280,1,1,0.4613616048752,0.4613616048752
"Rrm2b",1281,1,1,0.497997779614699,0.497997779614699
"Atp6v1c1",1282,1,1,0.512791699647209,0.512791699647209
"Dpys",1283,1,1,0.500100494726402,0.500100494726402
"Ext1",1284,1,1,0.557075523065915,0.557075523065915
"Enpp2",1285,1,1,0.501464664957891,0.501464664957891
"Ndufb9",1286,1,1,0.455754730012695,0.455754730012695
"Sqle",1287,1,1,0.485170632736724,0.485170632736724
"Adcy8",1288,1,1,0.501098498718418,0.501098498718418
"St3gal1",1289,1,1,0.466417403201652,0.466417403201652
"Naprt",1290,1,1,0.501304969701754,0.501304969701754
"Pycrl",1291,1,1,0.502948332554956,0.502948332554956
"Oplah",1292,1,1,0.500718263217249,0.500718263217249
"Gpaa1",1293,1,1,0.524251752810746,0.524251752810746
"Cyc1",1294,1,1,0.42558383781686,0.42558383781686
"Dgat1",1295,1,1,0.482641819985076,0.482641819985076
"Gpt",1296,1,1,0.497472283554458,0.497472283554458
"Tst",1297,1,1,0.506025481077391,0.506025481077391
"Mpst",1298,1,1,0.504507279837981,0.504507279837981
"Mfng",1299,1,1,0.499500998003992,0.499500998003992
"Pdxp",1300,1,1,0.470574230521016,0.470574230521016
"Gcat",1301,1,1,0.52672977004614,0.52672977004614
"Pla2g6",1302,1,1,0.500004750659794,0.500004750659794
"Mgat3",1303,1,1,0.501288707827845,0.501288707827845
"Adsl",1304,1,1,0.488807445526377,0.488807445526377
"Aco2",1305,1,1,0.450540880889265,0.450540880889265
"Pmm1",1306,1,1,0.551762275522189,0.551762275522189
"Naga",1307,1,1,0.505348694774494,0.505348694774494
"Ndufa6",1308,1,1,0.455254814428265,0.455254814428265
"Cyp2d22",1309,1,1,0.501767062725519,0.501767062725519
"Cyp2d9",1310,1,1,0.5,0.5
"Cyp2d40",1311,1,1,0.5,0.5
"Cyp2d26",1312,1,1,0.5,0.5
