"","Top","p.value","FDR","summary.AUC","AUC.1","AUC.2","AUC.4","AUC.5"
"Chrna1",1,0,0,0.997837999177222,0.997837999177222,0.570822788481632,0.520315624950695,0.415125982866218
"Cth",1,0,0,0.0588667583873651,0.528752058171764,0.0588667583873651,0.0925063900906756,0.614730799586534
"Pclaf",1,0,0,0.993533029685421,0.745398548127755,0.823439111504366,0.993533029685421,0.475064278600366
"Gsta4",1,0,0,0.979090831762724,0.880790658690239,0.353440117356832,0.242763143305121,0.979090831762724
"Blvrb",2,0,0,0.973103032803636,0.804476382448324,0.451207360766605,0.364207957949127,0.973103032803636
"Myod1",2,0,0,0.997734251938224,0.997734251938224,0.697466020591378,0.61621317246512,0.581513936587335
"Hmgb2",2,0,0,0.991865077143276,0.794256461211133,0.714230660316808,0.991865077143276,0.43866392352053
"Atf4",2,0,0,0.0635604259316337,0.331943382153446,0.0635604259316337,0.116999894890383,0.20397027502507
"Peg3",3,3.62149772555682e-317,5.94948453054848e-315,0.988485201945474,0.988485201945474,0.65930907720404,0.60177670696245,0.461900703784371
"Sqstm1",3,0,0,0.0641698129760848,0.559113507661423,0.0693552310967881,0.0641698129760848,0.636647396617694
"Birc5",3,0,0,0.984445031418867,0.712334924887981,0.676804066579396,0.984445031418867,0.575657432391743
"Cbr3",3,0,0,0.912725388157059,0.756816308149591,0.463486274161718,0.413600208876741,0.912725388157059
"Ube2c",4,0,0,0.98031076688522,0.71263733008935,0.651014055958246,0.98031076688522,0.498554903003394
"Slc7a11",4,0,0,0.0999625295203429,0.543456511088354,0.0999625295203429,0.11659277156368,0.657927574401458
"Cryab",4,0,0,0.903369731808297,0.166273605360558,0.457630925647526,0.448790130599091,0.903369731808297
"Eno3",4,1.69268930756328e-315,2.73897492889214e-313,0.987754880293032,0.987754880293032,0.769256934790707,0.701331557855943,0.302945190233265
"Des",5,2.76268362067589e-315,4.43699359342835e-313,0.986619224396114,0.986619224396114,0.645587155747431,0.456658154701093,0.469949423171882
"Psph",5,0,0,0.0918360337006588,0.571814362479762,0.0918360337006588,0.123653277156933,0.585996816678839
"Sct",5,0,0,0.116609576661129,0.735081097940339,0.618653082591262,0.653096234142947,0.116609576661129
"Cdk1",5,0,0,0.979429787701472,0.736054587411631,0.694039744626465,0.979429787701472,0.582678639928683
"Smc2",6,0,0,0.974627335281766,0.686213857423802,0.614430555293463,0.974627335281766,0.613086980031858
"Igfbp7",6,1.20447871903756e-308,1.9201175194375e-306,0.0133761937068954,0.0133761937068954,0.477796039795181,0.485704339352184,0.463382007256222
"Taldo1",6,0,0,0.905424242750544,0.759495245136398,0.419119604186862,0.323605565358154,0.905424242750544
"Eif4ebp1",6,0,0,0.086323633118138,0.491170029942697,0.086323633118138,0.115211337610677,0.539087724443826
"Mki67",7,0,0,0.968873250317752,0.654257253224755,0.686364499150704,0.968873250317752,0.561488907116518
"Hmox1",7,0,0,0.0836588484998417,0.279266621567709,0.108831547726797,0.0836588484998417,0.298864768900421
"Sparc",7,1.32611621196116e-307,2.08316401442445e-305,0.0157201612958652,0.0157201612958652,0.552894545775198,0.477833790235521,0.555151520538073
"Cyb5a",7,0,0,0.882303659349426,0.541845974296212,0.502578800124593,0.407778795416192,0.882303659349426
"Hes6",8,2.07013505607482e-321,3.50870599707078e-319,0.811376963101348,0.981619065666111,0.811376963101348,0.758784282916068,0.559432743951168
"Sars",8,0,0,0.101954926976392,0.406057366004877,0.101954926976392,0.103207151293201,0.413561099694629
"Capg",8,0,0,0.860837321600498,0.136749333906725,0.392660937559335,0.283342685297574,0.860837321600498
"Top2a",8,0,0,0.963651080864677,0.689502186710339,0.586951242539394,0.963651080864677,0.547181025368518
"Cdca8",9,0,0,0.963240899290402,0.6763315238113,0.616147974118781,0.963240899290402,0.549921949550336
"Slc3a2",9,0,0,0.105253942510668,0.462229132159255,0.105253942510668,0.120074453115543,0.53169829904771
"Fth1",9,0,0,0.883397744396414,0.810047314631994,0.367478515410685,0.260756507566591,0.883397744396414
"Ankrd1",9,1.33994035202992e-290,2.00255946639147e-288,0.972590764924793,0.972590764924793,0.631751122163257,0.435707747337811,0.620049049376346
"Smc4",10,0,0,0.961978093976529,0.619118521565844,0.557702252643581,0.961978093976529,0.532817794146561
"Crlf1",10,1.81926392819352e-289,2.70016406887264e-287,0.0231974899059173,0.0231974899059173,0.495136016064751,0.470921962524203,0.677945396761153
"Gdf15",10,0,0,0.127548455646624,0.54631496025368,0.127548455646624,0.145266696910383,0.529991324689244
"Serpinb6a",10,0,0,0.872841577043534,0.539656973009027,0.31381957709233,0.180151844658087,0.872841577043534
"Tubb4b",11,0,0,0.960357661896647,0.718269790604035,0.821363470583562,0.960357661896647,0.661219059202515
"Mthfd2",11,0,0,0.121017986179692,0.439489668313204,0.121017986179692,0.210690830523745,0.31327132824893
"Nqo1",11,0,0,0.857391268479474,0.629920180081643,0.506418512321489,0.474087609477029,0.857391268479474
"Aebp1",11,2.6377802531693e-265,3.61577508461512e-263,0.0341138594856559,0.0341138594856559,0.387736352032288,0.386578223401566,0.497161395248856
"Cenpf",12,0,0,0.952703746491288,0.730082575602119,0.672851407110136,0.952703746491288,0.592864509900206
"Nupr1",12,0,0,0.118014916669754,0.257209696734057,0.118014916669754,0.175371646870709,0.427131064420806
"Tagln",12,1.22124182133837e-264,1.66343957196345e-262,0.0326172155615622,0.0326172155615622,0.499823058495068,0.513218232186735,0.425612471982712
"Dpysl3",12,8.01374477554502e-321,1.33686752779954e-318,0.155266412714278,0.469665387335571,0.482811134571295,0.499665694332139,0.155266412714278
"Cebpb",13,0,0,0.127563860856649,0.378373053471065,0.127563860856649,0.152373938799855,0.469447033402083
"Col4a1",13,4.04877692002572e-263,5.44585800599237e-261,0.037167366551432,0.037167366551432,0.674057294334913,0.672306780937852,0.538228369023916
"Hmmr",13,0,0,0.955670387785478,0.656220432445983,0.714819683909552,0.955670387785478,0.598703152994321
"Cst6",13,5.94254987724412e-303,9.26736347160697e-301,0.837029413388442,0.961305552637324,0.558493859116355,0.498153618316212,0.837029413388442
"Trib3",14,0,0,0.121627962605352,0.451073194822587,0.121627962605352,0.188958891914411,0.48364150997467
"Gstm1",14,3.43974473511294e-266,4.77591912544314e-264,0.829260688843717,0.882185846323829,0.451191853631751,0.311191871849201,0.829260688843717
"Dek",14,0,0,0.955492272310253,0.778594882741074,0.729780880253118,0.955492272310253,0.506525626065791
"Creg1",15,5.63490911363981e-264,7.626973524191e-262,0.829216620065429,0.724412641715619,0.334663729018337,0.280857631737621,0.829216620065429
"Tpx2",15,0,0,0.94729637270195,0.667827195718675,0.609702975902174,0.94729637270195,0.603127037326398
"Col1a2",15,6.4411552644108e-249,8.3506085810472e-247,0.041758918253394,0.041758918253394,0.554168052844355,0.555218839884053,0.441064888555558
"Phf10",15,0,0,0.140625891842263,0.5080129196404,0.140625891842263,0.222861714858846,0.50385492136586
"Fabp5",16,1.45597193304249e-318,2.4103076523525e-316,0.815638203101703,0.556134129143385,0.710413240536309,0.815638203101703,0.172764395435329
"Ccna2",16,0,0,0.945298301938618,0.620584564963608,0.631830303195501,0.945298301938618,0.552237967528574
"Popdc3",16,5.93839629596703e-244,7.60715635032739e-242,0.957055843178685,0.957055843178685,0.554293740720472,0.445270605193946,0.736235087190947
"Tpm1",16,0,0,0.860663602864519,0.404180915548111,0.860663602864519,0.779656650074654,0.288218640848231
"Cdc20",17,0,0,0.942022134623556,0.686279804012629,0.708992568573278,0.942022134623556,0.534133106169749
"Chchd10",17,9.45923980973093e-198,1.00778366309512e-195,0.798125826360809,0.890209075232458,0.31814335942842,0.254636907126165,0.798125826360809
"Crip1",17,8.73461503256171e-242,1.09289331462657e-239,0.0533525903918275,0.0533525903918275,0.603689731265576,0.641433552137616,0.290890598958792
"Gal",17,0,0,0.835321668356872,0.875025650441188,0.835321668356872,0.813124872514205,0.595153323170452
"Tm4sf1",18,1.62301664071636e-240,2.0190139378531e-238,0.0541616224889977,0.0541616224889977,0.646311331664795,0.567088416258422,0.640507901358179
"Atf5",18,0,0,0.156309575063153,0.356535241497063,0.156309575063153,0.162602365427462,0.604286670052015
