"","Top","p.value","FDR","summary.AUC","AUC.2","AUC.3","AUC.4","AUC.5"
"Chrna1",1,0,0,0.00404397261552525,0.00519580000712072,0.00216200082277784,0.00404397261552525,0.000718834172357297
"Myod1",2,0,0,0.00226574806177571,0.0135764392839864,0.00226574806177571,0.0116792038324053,0.00430224941061741
"Eno3",2,9.43792210208068e-317,3.38522543338331e-313,0.00374910305782372,0.083833750107335,0.0122451197069681,0.070887457636486,0.00374910305782372
"Des",3,2.56153274742853e-319,1.83754062972463e-315,0.0136582591475441,0.0251195345534968,0.0133807756038858,0.0136582591475441,0.0124603898555008
"Peg3",3,3.62149772555682e-317,1.5587649470037e-313,0.0115147980545265,0.0319135790833904,0.0115147980545265,0.0341293636992445,0.0110250262872561
"Sparc",3,5.70955600106582e-318,3.07188257363903e-314,0.98613794486436,0.98613794486436,0.984279838704135,0.980952315157756,0.986624869972194
"Igfbp7",4,2.24400389115428e-315,6.89902967535077e-312,0.985653890135022,0.985653890135022,0.986623806293105,0.986079643265305,0.984370286412011
"Col4a1",5,2.13612049462586e-311,5.74643114560501e-308,0.983354826515204,0.983354826515204,0.962832633448568,0.981672625309857,0.965433474675884
"Crlf1",7,1.6384292901376e-294,3.20551243209547e-291,0.975685608940326,0.975685608940326,0.976802510094083,0.968775140008612,0.990191639602616
"Ankrd1",7,2.18705242635446e-296,4.70675552675717e-293,0.0264191266101942,0.0473984872569778,0.027409235075207,0.0264191266101942,0.0556570226282954
"Hes6",8,5.66669668640797e-301,1.35503310431325e-297,0.0183809343338888,0.130291354347958,0.0183809343338888,0.12499813190262,0.0282568156081511
"Tm4sf1",8,1.49300227287325e-291,2.67757515954207e-288,0.968284598001579,0.968284598001579,0.945838377511002,0.955141694833816,0.963049055374559
"Lgals3",8,3.18401096651375e-286,5.27100769310311e-283,0.034533577675771,0.0419859228821493,0.0883059188618044,0.034533577675771,0.150456064046153
"Ppp1r14b",8,1.85499052267226e-282,2.85151793131643e-279,0.017264824450298,0.233300373630562,0.0577899939878966,0.186457266814216,0.017264824450298
"Cryab",10,1.54403662588516e-266,1.84606734587079e-263,0.973841811410897,0.809024832609738,0.833726394639442,0.798058109248591,0.973841811410897
"Crip1",10,4.72603605940236e-276,6.78060146895953e-273,0.965677200104106,0.963300326507874,0.946647409608173,0.965677200104106,0.896780329705957
"Aebp1",11,2.6377802531693e-265,2.83838344142282e-262,0.965886140514344,0.949438794957663,0.965886140514344,0.941742713503792,0.96405521834684
"Capg",12,7.82985697860535e-265,8.02411200174133e-262,0.974555267771491,0.794052383675025,0.863250666093275,0.701524846823064,0.974555267771491
"Tagln",12,2.05199169269122e-271,2.7600570761506e-268,0.96737460652555,0.96737460652555,0.967382784438438,0.968492176126195,0.958128357611166
"Akr1b3",13,5.03760372398883e-266,5.70601419705046e-263,0.0345751692778203,0.0443144381823627,0.0787233722238204,0.0345751692778203,0.177474446431105
"Sct",13,2.04379254394145e-264,1.99929360628022e-261,0.029842501819493,0.378604231198571,0.264918902059661,0.427949669367912,0.029842501819493
"Col4a2",13,7.08707367803482e-269,8.97181838970503e-266,0.962101315874901,0.962101315874901,0.939943276115258,0.960193594103749,0.950458317605368
"Cst6",14,5.51014132987153e-262,5.15581528522478e-259,0.0386944473626765,0.0585606741267118,0.0386944473626765,0.0505990741568395,0.190322038733561
"Col1a2",15,3.86601695425074e-260,3.46668961968474e-257,0.964145786079748,0.964145786079748,0.958241081746606,0.964057947393814,0.948866997495988
"Popdc3",16,2.72462752257049e-251,2.25525803512466e-248,0.0410179199179785,0.0516062815591117,0.0429441568213155,0.0410179199179785,0.146054197074778
"Purb",16,5.26559242234681e-257,4.53283258085284e-254,0.0296048537568112,0.325880749229806,0.105879293851127,0.272572044409116,0.0296048537568112
"Col1a1",18,7.76027365973896e-237,5.56696164770809e-234,0.955164725211895,0.955164725211895,0.955500452789606,0.955542807063749,0.951147189683616
"Akap12",19,2.14534312426197e-233,1.44281029303879e-230,0.948496695961352,0.942615691436446,0.948496695961352,0.931475791290803,0.934323089711631
