"","Top","p.value","FDR","summary.logFC","logFC.cap50","logFC.cap50_r16h","logFC.cap50_r4h","logFC.cap50_r8h"
"Gucy1b1",333,1,1,0.00935900683431334,0.00935900683431334,0.00798431077183408,0.00998898362195273,0.00705506325448675
"Gucy1a1",334,1,1,0.00349695466860264,0.00349695466860264,0.00424260098332023,0.0032545628733643,0.00278900315099009
"Glt28d2",335,1,1,-0.000975510379904947,-0.000975510379904947,-0.0098283723474051,0.00278309995908844,-0.00391511388370104
"Ash1l",336,1,1,0.0708095748823614,0.0708095748823614,0.0256239162897187,0.157373432349641,0.10619305213189
"Gba",337,1,1,-0.12133138668035,-0.12133138668035,-0.01628248820438,-0.122714600014598,-0.121096424709579
"Dpm3",338,1,1,-0.0829733785780584,-0.0829733785780584,0.108963971464973,0.0345209654146981,0.0868836891002858
"Flad1",339,1,1,-0.0726339010467187,-0.0726339010467187,-0.00274519237501,-0.0588695619293532,-0.0751058012383102
"Npr1",341,1,1,0.00225626152289964,0.00225626152289964,0.000866089265031518,0.00238536723939812,0.00313550912965192
"Them4",342,1,1,-0.206216549725738,-0.206216549725738,0.0429613402698404,-0.271347258667325,-0.122665942163944
"Them5",343,1,1,0,0,-0.000446796647530363,0,0
"Selenbp2",344,1,1,0,0,-0.00016443247891611,-0.000256926140248468,0
"Selenbp1",345,1,1,-0.00375524420635964,-0.00375524420635964,-0.00574224862321425,-0.003423686852513,-0.00467776152745497
"Pi4kb",346,1,1,-0.0377352140944976,-0.0377352140944976,0.0105998201846662,-0.049527457378153,-0.028926660865825
"Pip5k1a",347,1,1,-0.059855682273065,-0.059855682273065,-0.0308258906041301,-0.047301308335047,-0.0228660132633043
"Prune1",348,1,1,-0.0572441174904919,-0.0572441174904919,0.00704541205330192,-0.0544516348908225,-0.0710905263046865
"Setdb1",350,1,1,0.103319109004395,0.103319109004395,-0.0411225931349939,0.104229350501212,0.0229571458779475
"Car14",351,1,1,-0.00057154741054048,-0.00057154741054048,-0.000441261017170282,-6.75819480000988e-06,-0.000340541345915457
"Fmo5",352,1,1,-0.00599343335342464,-0.00599343335342464,-0.00100182839292929,-0.00267240553628756,-0.00615207919791205
"Hmgcs2",353,1,1,0.0009558102619168,0.0009558102619168,0.00144168700764092,0.000729071715657453,0.00144168700764092
"Gm4450",355,1,1,0,0,-9.90931420565343e-05,0,0
"Hsd3b2",356,1,1,0.000199733251320753,0.000199733251320753,0.000320182061603346,0.000234901835350442,0.000341699432952768
"Hsd3b3",357,1,1,-0.000212311912209783,-0.000212311912209783,0,-0.000334429264503244,0
"Hsd3b6",358,1,1,0.000785504684089275,0.000785504684089275,0.000919906557426382,0.001295998146518,0.000621895781194238
"Hsd3b1",359,1,1,0.00066500204919569,0.00066500204919569,0.000551396307953937,0.00066500204919569,0.00066500204919569
"Hao2",360,1,1,0.000235792329057876,0.000235792329057876,0.000235792329057876,0.000235792329057876,0.000235792329057876
"Man1a2",361,1,1,-0.301821323611287,-0.301821323611287,-0.0709816748260743,-0.208751389700606,-0.278655140521219
"Ampd1",362,1,1,0.000886069188222474,0.000886069188222474,0.000168892851159877,0.00126521853147446,0.000748816732579472
"Cept1",363,1,1,-0.120590209021097,-0.120590209021097,0.00973027669607957,-0.163248542264333,-0.120871021718595
"Ahcyl1",364,1,1,-0.126416753755399,-0.126416753755399,-0.0759216746150029,0.0401610274059363,0.0741076570433916
"Gstm5",365,1,1,-0.15136807928609,-0.15136807928609,-0.0409066841830656,-0.187210618206683,-0.153333334344888
"Gstm7",366,1,1,-0.00678688940758949,-0.00678688940758949,-0.00305019958986464,-0.00547306320443989,-0.00715875101158623
"Gstm6",367,1,1,-0.000992452679562329,-0.000992452679562329,-0.000918293091032732,-0.000902731610502696,-0.000761612900815282
"Gstm3",368,1,1,-0.000559139575374593,-0.000559139575374593,0,-0.00027318518433197,-0.000422937294313127
"Gstm2",369,1,1,-0.29341374583822,-0.29341374583822,-0.165175441433858,-0.315876975441807,-0.282399909142197
"Gstm4",370,1,1,-0.0499718123587793,-0.0499718123587793,-0.0219343478070941,-0.0364550448719806,-0.0451275563115072
"Ampd2",371,1,1,0.0879546946636067,0.0879546946636067,0.0392615742266978,0.126524067050317,0.106477259844318
"Amy1",372,1,1,0.000143164046604254,0.000143164046604254,0.000319486834370111,0.000594292478177979,0.000638698215893465
"Extl2",373,1,1,-0.05084500459528,-0.05084500459528,-0.0613052302571658,-0.0543065265018804,-0.0518360370723372
"Dbt",374,1,1,-0.120819562600447,-0.120819562600447,0.0287854267905251,-0.0762473327387963,-0.103438887653823
"Agl",375,1,1,-0.154312587308474,-0.154312587308474,-0.0971211982695739,-0.113071494854974,-0.146640708373778
"Dpyd",376,1,1,0.00275425092646337,0.00275425092646337,0.0017433327187532,0.00216492092703934,0.00275973246639062
"Alg14",377,1,1,-0.0344404103391427,-0.0344404103391427,-0.0805537821297368,-0.0346951382771815,-0.0560872813061292
"Pde5a",378,1,1,-0.240286760715635,-0.240286760715635,-0.186276364183835,-0.247547179750698,-0.184047498280144
"Ndst3",379,1,1,0.0645318421291797,0.0645318421291797,0.0529381110088378,0.076119924408546,0.0989800820563711
