"","Top","p.value","FDR","summary.AUC","AUC.1","AUC.2","AUC.3","AUC.4"
"Chrna1",1,9.88131291682493e-324,1.24010477106153e-321,0.999281165827643,0.999281165827643,0.652552964437109,0.584874017133782,0.601748373144331
"Pclaf",1,0,0,0.991013140753664,0.757853013648886,0.831290530659745,0.524935721399634,0.991013140753664
"Gsta4",1,0,0,0.0154627417802993,0.339019814419399,0.0154627417802993,0.0209091682372756,0.0147610684819978
"Cth",2,0,0,0.0259908466835908,0.421736705409106,0.0259908466835908,0.385269200413466,0.0533538317630301
"Blvrb",2,0,0,0.029236466811116,0.240442476108431,0.029236466811116,0.0268969671963637,0.0284196415594037
"Eno3",2,0,0,0.891683697427949,0.996250896942176,0.891683697427949,0.697054809766735,0.842420150199536
"Myod1",3,5.3795747933043e-316,8.15308656121763e-314,0.995697750589383,0.995697750589383,0.624562359109985,0.418486063412665,0.54022115292058
"Hmgb2",3,0,0,0.983609461963099,0.820779557349753,0.756910264431166,0.56133607647947,0.983609461963099
"Cbr3",3,0,0,0.0742457024400246,0.281235227023043,0.0837880186566362,0.0872746118429415,0.0742457024400246
"Ube2c",4,0,0,0.978857441699174,0.712981064468695,0.651608433950178,0.501445096996606,0.978857441699174
"Peg3",4,1.89348725656079e-301,2.64608696418484e-299,0.988974973712744,0.988974973712744,0.690016742737704,0.538099296215629,0.633662817144756
"Cryab",4,0,0,0.0852273162291078,0.0261581885891029,0.0852273162291078,0.0966302681917028,0.0901175374965019
"Sqstm1",4,0,0,0.0287777254595708,0.429146817846345,0.0287777254595708,0.363352603382306,0.0295038274900013
"Des",5,1.88075229679321e-300,2.59459424226203e-298,0.987539610144499,0.987539610144499,0.670717750200432,0.530050576828118,0.485549382639389
"Slc7a11",5,0,0,0.030939337859314,0.387066465143841,0.030939337859314,0.342072425598542,0.0500255326351157
"Sct",5,0,0,0.931256838281323,0.970157498180507,0.931256838281323,0.883390423338871,0.929511396714907
"Birc5",5,0,0,0.977531771968804,0.65752583782466,0.611403600878071,0.424342567608257,0.977531771968804
"Taldo1",6,0,0,0.0489865313447641,0.308854643894109,0.079107567145041,0.0945757572494565,0.0489865313447641
"Tpm1",6,0,0,0.949258722101362,0.576932670308896,0.949258722101362,0.711781359151769,0.902525735487398
"Sparc",6,3.58199282887974e-296,4.8180042293953e-294,0.0133751300278058,0.0133751300278058,0.49818374245442,0.444848479461927,0.424341694643428
"Serpinb6a",6,0,0,0.0231273200079305,0.227644820629491,0.0538036247949655,0.127158422956466,0.0231273200079305
"Crlf1",7,1.63913719662674e-293,2.11232764123381e-291,0.00980836039738444,0.00980836039738444,0.317746609251536,0.322054603238847,0.304585855651543
"Cyb5a",7,0,0,0.0849727961958705,0.153865852790342,0.120385607060734,0.117696340650574,0.0849727961958705
"Capg",8,0,0,0.0553262971611921,0.0254447322285089,0.0917520984705219,0.139162678399502,0.0553262971611921
"Ppp1r14b",8,0,0,0.876845378916893,0.982735175549702,0.876845378916893,0.606992527222797,0.814324949574089
"Igfbp7",9,2.23357469313626e-282,2.7785410965889e-280,0.0156297135879889,0.0156297135879889,0.514535916540246,0.536617992743778,0.521934823475809
"Psph",9,0,0,0.0583119001863403,0.495822208518761,0.0583119001863403,0.414003183321161,0.0862128580907283
"Fth1",9,0,0,0.0315480090852297,0.469083984518048,0.0608785001700797,0.116602255603586,0.0315480090852297
"Fabp5",10,0,0,0.964740567270701,0.746097117134374,0.93309624708923,0.827235604564671,0.964740567270701
"Mt2",10,0,0,0.0573011678253749,0.458391358215017,0.068549793990224,0.281405300069638,0.0573011678253749
"Hes6",11,1.84056105055023e-265,2.2005952427162e-263,0.971743184391849,0.971743184391849,0.768759586354391,0.440567256048832,0.713372842200265
"Gclm",11,0,0,0.06784691619717,0.544978993242908,0.06784691619717,0.229692796461098,0.0655854930454187
"Cdk1",11,0,0,0.962662908299429,0.675962256980528,0.620077531207719,0.417321360071317,0.962662908299429
"Nqo1",11,0,0,0.141888630587316,0.283038842653935,0.146235609302943,0.142608731520526,0.141888630587316
"Spc24",12,0,0,0.960496401746577,0.860545402303855,0.792074024064917,0.665657243810416,0.960496401746577
"Dpysl3",12,0,3.45845952088873e-323,0.840483567443438,0.81315766156355,0.840332306292294,0.844733587285722,0.840483567443438
"Lgals3",13,0,0,0.0432976108787139,0.849543935953847,0.0727773603258823,0.277575731782431,0.0432976108787139
"Cst6",13,5.94254987724412e-303,8.35879842537059e-301,0.162970586611558,0.809677961266439,0.213594252617095,0.162970586611558,0.181032224330621
"Gstm1",14,0,0,0.0768219632399758,0.601595571141535,0.138906320695661,0.170739311156283,0.0768219632399758
"Col4a1",14,2.75492777985472e-263,3.25762641484924e-261,0.0345665253241156,0.0345665253241156,0.633313262829536,0.461771630976084,0.63370078598694
"Ctsb",14,0,0,0.0529118027728987,0.356444948877497,0.0692010143898767,0.192020144131967,0.0529118027728987
"Creg1",15,0,0,0.0728090714068013,0.369626477681825,0.0880846286191165,0.170783379934571,0.0728090714068013
"Tm4sf1",15,3.15299911952964e-260,3.687809459315e-258,0.0369509446254405,0.0369509446254405,0.49802717520693,0.359492098641821,0.428426179956015
"Purb",15,0,0,0.932626978293595,0.970395146243189,0.932626978293595,0.727037275121753,0.889860537276543
"Top2a",15,0,0,0.94862901554867,0.653175444194447,0.539922278295673,0.452818974631482,0.94862901554867
"Mki67",16,0,0,0.951685691420961,0.60656876659119,0.629112015104102,0.438511092883482,0.951685691420961
"Ghitm",16,0,0,0.0695144906849893,0.504999316249647,0.0695144906849893,0.323172930386884,0.0773505327197909
"Chchd10",17,0,0,0.0869398129301898,0.70960610345783,0.103581185825886,0.201874173639191,0.0869398129301898
"Aebp1",17,4.06401432739515e-242,4.39505790652642e-240,0.0359447816531598,0.0359447816531598,0.391776780997444,0.502838604751144,0.390276550124001
"Dek",17,0,0,0.95043927275162,0.771311883888435,0.721904051871953,0.493474373934209,0.95043927275162
"Tagln",18,1.95037626440385e-235,2.05755135226653e-233,0.0418716423888342,0.0418716423888342,0.574566228287488,0.574387528017288,0.587392665617414
"Dynap",18,0,0,0.898718536614177,0.932239571782775,0.898718536614177,0.773674092383998,0.895557090780679
"Ptgr1",19,8.36634374082283e-178,7.00591765160503e-176,0.235188660234505,0.700482005585754,0.255757828316801,0.235188660234505,0.250184383275312
"Hmgb1",19,0,0,0.953400989703154,0.902621145453419,0.847238172895085,0.624103604871643,0.953400989703154
"Ccnd2",19,0,0,0.0576790154824029,0.232121464793003,0.0812845833374349,0.208810832931815,0.0576790154824029
"Ankrd1",19,4.82303483687054e-229,4.99021791943688e-227,0.944342977371705,0.944342977371705,0.506404240727919,0.379950950623654,0.327712390266487
"Col4a2",20,1.78473388622185e-223,1.79482513856921e-221,0.049541682394632,0.049541682394632,0.563759282835873,0.436348475274396,0.566591556917405
"Smc2",21,0,0,0.946769769458197,0.596695872452646,0.504439983724845,0.386913019968142,0.946769769458197
"Col1a2",21,1.66307488063652e-220,1.63429381306756e-218,0.0511330025040116,0.0511330025040116,0.61116374833156,0.558935111444442,0.611946406549746
"Esd",21,0,0,0.0551424170282624,0.492995016048927,0.096754343413794,0.167024116589066,0.0551424170282624
"Eif4ebp1",22,0,0,0.0740523431811876,0.456387739203787,0.0740523431811876,0.460912275556174,0.10108400430847
