"","Top","p.value","FDR","summary.logFC","logFC.cap50","logFC.cap50_r16h","logFC.cap50_r4h","logFC.cap50_r8h"
"Gm45076",11313,1,1,0.000101342971884279,0.000101342971884279,-0.00130986925372489,0.000274721912302418,-0.00041845674998464
"A630009H07Rik",11314,1,1,0.000349614224596841,0.000349614224596841,-5.01931140679248e-05,0.000182065173670115,-0.000276642873394058
"Efnb2",11315,1,1,0.102123274145201,0.102123274145201,-0.140814918604048,0.198784546356367,0.131088765233544
"4921522P10Rik",11316,1,1,0.000167933671587872,0.000167933671587872,0.000402837594671723,0.000402837594671723,0.000402837594671723
"Arglu1",11317,1,1,0.282494041046292,0.282494041046292,-0.11576167326625,0.433624434520728,0.261779547072729
"Gm44622",11318,1,1,0,0,-0.000240328306398256,0,0
"Gm44761",11319,1,1,0.000163932589072396,0.000163932589072396,0.000163932589072396,-0.000118040638868692,0.000163932589072396
"Gm10067",11320,1,1,-0.000143937373872763,-0.000143937373872763,0,0,0
"Lig4",11321,1,1,0.0181538979306518,0.0181538979306518,0.0302043822826989,0.0252322079390936,0.0232261685205884
"Abhd13",11322,1,1,0.0682008745841268,0.0682008745841268,0.0373484155918003,0.0704425057043827,0.052721856111406
"Tnfsf13b",11323,1,1,0.00590856942242185,0.00590856942242185,0.00287418516257278,0.00479415051470669,0.00393446317516887
"Myo16",11324,1,1,-0.000935714159003868,-0.000935714159003868,-0.00104655802036661,5.34176030579842e-05,-0.00109035983087379
"Gm44786",11325,1,1,0,0,0,-0.000274568342609891,0
"Gm44785",11326,1,1,2.76756003781367e-05,2.76756003781367e-05,0.000236353724832277,0.000236353724832277,0.000236353724832277
"Gm32540",11327,1,1,0.000202032586075345,0.000202032586075345,3.05648883084968e-05,0.000202032586075345,0.000202032586075345
"B930025P03Rik",11328,1,1,0,0,-0.000137706811148132,0,0
"Gm2814",11329,1,1,0.000852533934587424,0.000852533934587424,0.000667800087952951,0.0010432093205939,0.000875959407863129
"3930402G23Rik",11330,1,1,0.00105695577338592,0.00105695577338592,-0.00733274868034157,0.00160841215859882,-0.00120390809866454
"Gm44955",11331,1,1,0,0,-0.000218514669981959,0,0
"Gm44956",11332,1,1,0,0,-0.000164371714900292,0,-0.000236516910952466
"Irs2",11333,1,1,-0.0454273469023803,-0.0454273469023803,-0.0745539091167903,-0.0362081084696985,-0.049564254334338
"B830042I05Rik",11334,1,1,0.00013335712952918,0.00013335712952918,0.00013335712952918,0.00013335712952918,-0.000140874202194182
"Gm44717",11335,1,1,0.000260841927389621,0.000260841927389621,0.000260841927389621,0.000260841927389621,0.000260841927389621
"Gm15418",11336,1,1,0,0,0,-0.000510844274264822,0
"Col4a2",11338,1,1,0.325271325194552,0.325271325194552,-0.00164225186281641,0.358374578220972,0.373946991759757
"Rab20",11339,1,1,-0.0430316433937641,-0.0430316433937641,-0.0240034646956413,-0.0524123695650513,-0.072905674389416
"Naxd",11340,1,1,-0.298862568706537,-0.298862568706537,0.0474874310220679,-0.271836029189398,-0.303326139410893
"Cars2",11341,1,1,-0.00345879468567861,-0.00345879468567861,-0.0232704920881041,0.00800970615120788,-0.0441633906406503
"Ing1",11342,1,1,0.129838169770372,0.129838169770372,-0.0393074691981292,0.164281598485611,0.0164809026069888
"Ankrd10",11343,1,1,0.197167361277592,0.197167361277592,-0.377911439586513,0.221495740677701,0.0865272018364087
"1700016D06Rik",11344,1,1,-0.00612831274518559,-0.00612831274518559,-0.0108556490800385,-0.00331009128672813,-0.00604042029653948
"Arhgef7",11345,1,1,0.0362268165380115,0.0362268165380115,-0.117089248292731,0.0200241062373239,0.0168845910631987
"Tex29",11346,1,1,-0.000592710631342114,-0.000592710631342114,-0.000131633277341015,-0.000295257130532011,-0.000612290023981318
"Gm39132",11347,1,1,0,0,-0.000163154136325206,0,0
"Gm33326",11348,1,1,0,0,0,-0.000375957642899669,0
"Spaca7",11349,1,1,-0.000209910567193716,-0.000209910567193716,0,0,-0.000230172897858513
"Tubgcp3",11350,1,1,0.0475961003426609,0.0475961003426609,-0.00710398734267903,0.0246159128034263,0.0466005917256149
"Atp11a",11351,1,1,-0.10495857773128,-0.10495857773128,-0.0392329519801759,-0.0967303488681978,-0.0961729017024203
"Gm15350",11352,1,1,-0.000201316122950067,-0.000201316122950067,-0.000423303939038889,0,0
"Mcf2l",11353,1,1,0.00349397729965646,0.00349397729965646,0.00614322323859683,0.00359372219708566,0.00419759274756999
"F7",11354,1,1,0.0001611258474316,0.0001611258474316,0.0001611258474316,0.0001611258474316,0.0001611258474316
"F10",11355,1,1,-0.000271157097684101,-0.000271157097684101,-0.000229721134021322,-0.000348437857954716,0
"Proz",11356,1,1,0.000229556055334116,0.000229556055334116,0.000229556055334116,0.000229556055334116,0.000229556055334116
"Gm17023",11357,1,1,0,0,-0.000230568278853335,0,0
