"","Top","p.value","FDR","summary.AUC","AUC.cap50","AUC.cap50_r16h","AUC.cap50_r4h","AUC.cap50_r8h"
"Emp2",33,0,0,0.883310593645502,0.865685125034292,0.698813267193769,0.883310593645502,0.864794711700606
"Pck2",34,0,0,0.870277094052021,0.870277094052021,0.569553713845494,0.839753419855867,0.803037217051382
"Crip1",34,2.21392171084929e-258,5.35346170103253e-256,0.189406674563726,0.189406674563726,0.274024048078955,0.189839444304406,0.18566962016677
"Vat1",35,0,0,0.873349597912511,0.855954392044212,0.745383679541016,0.873349597912511,0.868112711684105
"Nnmt",36,0,0,0.88304056716245,0.88304056716245,0.626817919614302,0.879265698938171,0.86125461169278
"Tpt1",37,0,0,0.898528646769789,0.848762567770536,0.585729261811283,0.898528646769789,0.841355018279266
"Slc48a1",37,1.84310815066071e-275,4.89697907535395e-273,0.832182477905001,0.811208439923474,0.739683792383987,0.789427267096835,0.832182477905001
"Cyb5r1",38,0,0,0.8655471333697,0.8655471333697,0.557650043787804,0.87352740737534,0.815234124114006
"Gbe1",38,5.69792152858962e-224,1.20220558055663e-221,0.825129341153888,0.798686259944788,0.756063710313439,0.789568558064059,0.825129341153888
"Purb",39,0,0,0.125363701173968,0.140438543503948,0.33497548796924,0.125363701173968,0.156424856502196
"Gpx4",40,0,0,0.884518587050224,0.884518587050224,0.733909258983489,0.891260348943652,0.883089072266292
"Psap",41,0,0,0.867436161321557,0.841509611306416,0.733596561918212,0.865283234798565,0.867436161321557
"Aldh1l2",41,0,0,0.874690758637488,0.874690758637488,0.650848902778174,0.85773832507885,0.834879679100935
"Trib3",42,0,0,0.878855544925715,0.878855544925715,0.479013949197546,0.861297028036848,0.737126261316882
"Rnh1",43,0,0,0.876712965322791,0.805763829347992,0.62278678054542,0.876712965322791,0.864986779626524
"Cox6a2",44,0,0,0.884124874526511,0.884124874526511,0.75977320121907,0.876808101938972,0.879067333652176
"Asns",45,0,0,0.877205860275907,0.830982701154876,0.494232186643026,0.877205860275907,0.85053359007392
"Nrn1",45,9.88773709797999e-136,1.37286445216532e-133,0.191130787985183,0.191130787985183,0.259595980231245,0.19626027562736,0.199321443330774
"Htatip2",46,0,0,0.848617504694508,0.836599569247469,0.682855529278692,0.827959412101098,0.848617504694508
"Idi1",47,1.55265533844241e-255,3.63203212376308e-253,0.158292272657738,0.158292272657738,0.279046527968552,0.157301080682135,0.168110967884843
"Rrm2",47,0,0,0.132656158463737,0.144883715699935,0.479255790123902,0.132656158463737,0.200962927202693
"Phf10",50,0,0,0.855967493693704,0.855967493693704,0.495273658988435,0.824692612720307,0.78840442867511
"Srsf3",50,0,0,0.123081853798936,0.198884604066031,0.495686108379787,0.123081853798936,0.373458987716403
"Maoa",51,1.30975740712325e-295,3.66068690372717e-293,0.837740072407046,0.800592364295024,0.702045957571258,0.829414146971932,0.837740072407046
"Ddit3",51,0,0,0.865019327850373,0.865019327850373,0.460775482270644,0.753197602766747,0.62517016105705
"Hmgb1",52,0,0,0.129313564002678,0.15838700766176,0.426191315875915,0.129313564002678,0.153266204770285
"Gpnmb",53,5.56446374285162e-319,1.64044532397509e-316,0.866647127293142,0.844865516607057,0.70406438984424,0.866647127293142,0.856845018371769
"Plk2",53,3.15915742869026e-262,7.81473873825788e-260,0.816540818670657,0.742975579798381,0.692117980309735,0.816540818670657,0.780235385399638
"Ptma",54,0,0,0.129473311568682,0.129473311568682,0.396946331582,0.133491649972663,0.172430777419462
"Sat1",54,0,0,0.850747162834087,0.829869299642044,0.500286246973964,0.850747162834087,0.755214272303193
"Sars",55,0,0,0.866268431191962,0.856487899698439,0.397008263503121,0.866268431191962,0.824356475570435
"Uqcrq",55,0,0,0.871539679326785,0.871539679326785,0.656853987431906,0.871582849853123,0.804099247053729
"Lamp1",56,0,0,0.865965949121287,0.841420843652871,0.646869965007389,0.865965949121287,0.829983759541207
