"","Top","p.value","FDR","summary.AUC","AUC.1","AUC.3","AUC.4","AUC.5"
"Chrna1",1,1.00040388232519e-318,1.73626634218556e-316,0.999530243917248,0.588719064737098,0.602713146564793,0.656154389528756,0.999530243917248
"Pclaf",1,0,0,0.980236579259683,0.543043168354619,0.980236579259683,0.821426751658206,0.759087097750091
"Gsta4",1,0,0,0.0259211084834152,0.0161443135802261,0.0259211084834152,0.0193781807739837,0.349951532687172
"Cth",2,0,0,0.0233696756420203,0.368116004254256,0.0627316415014251,0.0233696756420203,0.424017019040431
"Blvrb",2,0,0,0.0218162251051638,0.0218162251051638,0.0386811637516568,0.0343569216363628,0.248087477742198
"Eno3",2,0,0,0.891132765382123,0.703519976203104,0.848511200914785,0.891132765382123,0.998057905353701
"Myod1",3,1.90561790937368e-314,3.20396898649832e-312,0.997533715139911,0.424837981866092,0.583791873489436,0.595295044380243,0.997533715139911
"Hmgb2",3,0,0,0.965751708724239,0.583666040875658,0.965751708724239,0.744442104823415,0.823791483780199
"Sqstm1",3,0,0,0.0264589863847419,0.340572388304724,0.039332861214342,0.0264589863847419,0.433056748628417
"Cbr3",3,0,0,0.0874390143541499,0.0803879343003628,0.0874390143541499,0.0876123695013661,0.285922600946526
"Cryab",4,0,0,0.0774414355698961,0.0899328467317153,0.0969907828512522,0.0774414355698961,0.0238725068906283
"Sparc",4,5.08257448051212e-301,8.10237669593306e-299,0.00794842994170319,0.439549739160205,0.434751661079203,0.488318867653429,0.00794842994170319
"Slc7a11",5,0,0,0.0328716197897337,0.322857058670012,0.0584619965868829,0.0328716197897337,0.390401064396624
"Peg3",5,6.44174369306678e-300,1.00458526100359e-297,0.990777863732527,0.548351700159114,0.643913888094805,0.675480034323506,0.990777863732527
"Taldo1",5,0,0,0.0622445576374993,0.0815925960224387,0.0622445576374993,0.0856072462939453,0.315155037826487
"Serpinb6a",5,0,0,0.0351180297478279,0.117704273058154,0.0351180297478279,0.0611830796591026,0.231189343890763
"Des",6,6.93417655184527e-299,1.07360009764212e-296,0.989426693451051,0.519867629767447,0.521822011140276,0.658675589062305,0.989426693451051
"Sct",6,0,0,0.915236817484862,0.891682900751791,0.915236817484862,0.928206393185598,0.968617414944053
"Tpm1",6,0,0,0.95030481417349,0.724985309345613,0.90068684650502,0.95030481417349,0.575036664527685
"Fabp5",7,0,0,0.960449487599297,0.837581640470438,0.960449487599297,0.933428105567358,0.747963430732045
"Psph",7,0,0,0.0572637953890289,0.39310350246528,0.0975368599322575,0.0572637953890289,0.497911613626538
"Crlf1",7,6.24402200526782e-290,9.53032606917472e-288,0.00898294013397072,0.31406503175258,0.312359880281019,0.308092582109621,0.00898294013397072
"Cyb5a",7,0,0,0.0997334043677504,0.108471161698223,0.0997334043677504,0.124558296897487,0.156835199621473
"Igfbp7",8,1.79288514804924e-285,2.66101250145989e-283,0.0113458524855985,0.532891743768048,0.513607248975632,0.503532095158061,0.0113458524855985
"Fth1",8,0,0,0.0420689856805011,0.102192569643804,0.0420689856805011,0.0648295302418406,0.47640908505647
"Ube2c",9,0,0,0.936166458761056,0.530157598309522,0.936166458761056,0.626945888363365,0.708748349965403
"Capg",9,0,0,0.0616928497795334,0.124698596039276,0.0616928497795334,0.0934053315368419,0.0240734944513825
"Ppp1r14b",9,0,0,0.886344474829042,0.616681623913635,0.809852885123487,0.886344474829042,0.985364284719816
"Cdk1",10,0,0,0.93687413914083,0.437921812605059,0.93687413914083,0.593217394093057,0.674993169563365
"Col4a1",10,3.83097517567238e-268,5.53331656078143e-266,0.0286689912832113,0.468688252247095,0.630198701456206,0.624516468552575,0.0286689912832113
"Purb",10,0,0,0.938114937329218,0.739657891561363,0.886780559959112,0.938114937329218,0.971144414796453
"Mt2",11,0,0,0.0709800367299912,0.266319731499176,0.0709800367299912,0.0705997055875284,0.465637931377403
"Nqo1",11,0,0,0.131721262021221,0.131721262021221,0.152513210669023,0.143500207506569,0.283495571469397
"Lgals3",11,0,0,0.0595446433985637,0.260557402995378,0.0595446433985637,0.0723507466544181,0.862218054754455
"Hes6",12,7.56898838983819e-263,1.07165920485335e-260,0.972805440900759,0.450448352598155,0.720344928402505,0.767337268749384,0.972805440900759
"Dpysl3",12,0,0,0.84707430075572,0.84707430075572,0.828300869738472,0.832716264147528,0.806976833043192
"Cst6",13,0,0,0.155496633917873,0.155496633917873,0.196894279996881,0.217281109053511,0.816537089009226
"Creg1",14,0,0,0.0855060335940816,0.156859511321766,0.0855060335940816,0.0913690084983804,0.373936048270513
"Tm4sf1",14,2.82282120312372e-262,3.9448009813265e-260,0.033347186121809,0.350234320848382,0.426571614820205,0.505274010999642,0.033347186121809
"Ghitm",14,0,0,0.0650906013555127,0.3105235036439,0.0887041416530229,0.0650906013555127,0.508975089057379
"Gstm1",15,0,0,0.0976771745627485,0.160401881301758,0.0976771745627485,0.13615811979427,0.608461576307754
"Ccnd2",15,0,0,0.0793369976697246,0.202789821214596,0.0793369976697246,0.0724066056925793,0.23563357664692
"Ctsb",16,0,0,0.064311897398581,0.178341569640998,0.064311897398581,0.0670241205550922,0.358131831090891
"Chchd10",17,0,0,0.105807366788811,0.187189075877861,0.105807366788811,0.10471501974108,0.718382667753954
"Aebp1",17,5.36107803165062e-241,6.78680943053839e-239,0.0339443913479043,0.494141782353816,0.395326628377383,0.373203913023205,0.0339443913479043
"Rrm2",17,0,0,0.937764040125783,0.574552026243935,0.937764040125783,0.836073371242227,0.912513621617887
"Gclm",18,0,0,0.0709601340991191,0.210415996677415,0.0709601340991191,0.0763792435198769,0.550483730999086
"Esd",18,0,0,0.0698640817069051,0.152191952271509,0.0698640817069051,0.110166840766823,0.502609959561721
"Spc24",18,0,0,0.934584448660308,0.680344605990195,0.934584448660308,0.787117434159653,0.859477243916201
"Tagln",18,1.69322659730268e-236,2.10635431217069e-234,0.0386063606282118,0.574692057505423,0.582716893197155,0.566672482898906,0.0386063606282118
"Top2a",19,0,0,0.927664137148401,0.46391759202355,0.927664137148401,0.493783954541398,0.649651726242381
"Dynap",19,0,0,0.8896059972106,0.77921189620288,0.8896059972106,0.892186755278758,0.93167652936355
"Ankrd1",19,2.26635214420427e-233,2.78709511402394e-231,0.950025542169179,0.382617714656138,0.372759253965366,0.493418681794215,0.950025542169179
"Col4a2",20,4.02117809343182e-227,4.70324857330132e-225,0.0443816125692595,0.440803089106466,0.568046835070211,0.558605493617722,0.0443816125692595
"Eif4ebp1",20,0,0,0.0703042434513058,0.446347344878195,0.110960935401994,0.0703042434513058,0.459404699968491
"Col1a2",21,2.06111723119798e-226,2.39769210446544e-224,0.0449162708851722,0.55855571364028,0.604848683697601,0.606619765470105,0.0449162708851722
"Ptgr1",22,1.13925895549373e-182,1.07065467166726e-180,0.234200825595133,0.234200825595133,0.25950984086558,0.257969908488232,0.708277547072438
