"","Top","p.value","FDR","summary.AUC","AUC.1","AUC.2","AUC.3","AUC.5"
"Chrna1",1,0,0,0.995898816982486,0.429250268051419,0.343845610471244,0.450149250295431,0.995898816982486
"Gsta4",1,0,0,0.980621819226016,0.605849967436103,0.980621819226016,0.399781726238893,0.913602846858052
"Top2a",1,0,0,0.927168452042951,0.468188568994861,0.506216045458602,0.927168452042951,0.654338132702951
"Atf4",1,0,0,0.948453090587294,0.948453090587294,0.81989215777082,0.613430441944577,0.872801199028463
"Cth",2,0,0,0.97663032435798,0.931595531537264,0.97663032435798,0.530635880436062,0.924295255504459
"Myod1",2,0,3.16202013338398e-322,0.993122246379455,0.33423683647952,0.404704955619757,0.494662811993227,0.993122246379455
"Hmgb2",2,0,0,0.924865150375748,0.328596670030774,0.255557895176585,0.924865150375748,0.652093972526695
"Cdk1",3,0,0,0.896290087836421,0.350906933541477,0.406782605906943,0.896290087836421,0.598121464377492
"Sqstm1",3,0,0,0.973541013615258,0.918790677942227,0.973541013615258,0.469687303365613,0.944687579397926
"Sparc",3,5.37272610472821e-316,1.19202514343394e-313,0.00956036035144958,0.452118277378117,0.511681132346571,0.447023767502059,0.00956036035144958
"Smc4",4,0,0,0.894369388726039,0.485535862545552,0.498887038994145,0.894369388726039,0.582398743109574
"Igfbp7",4,5.78576636480411e-312,1.25773210037311e-309,0.0111027278577536,0.529450159007936,0.496467904841939,0.510159686305806,0.0111027278577536
"Blvrb",4,0,0,0.965643078363637,0.507613240331505,0.965643078363637,0.422957317229137,0.815929101785746
"Eif4ebp1",4,0,0,0.906682956901309,0.906682956901309,0.929695756548694,0.536369291527904,0.884924702174707
"Slc7a11",5,0,0,0.967128380210266,0.879130154500364,0.967128380210266,0.497028550673481,0.916373544719076
"Psph",5,0,0,0.942736204610971,0.895008940571302,0.942736204610971,0.537253807353295,0.90799638733639
"Col4a1",5,1.54181766902842e-307,3.25308412305493e-305,0.0128963869036617,0.341200737783567,0.375483531447425,0.514820017188723,0.0128963869036617
"Pclaf",5,0,0,0.880638335967914,0.204365965175688,0.178573248341794,0.880638335967914,0.458639359858757
"Des",6,3.6375662090559e-299,7.31626751262554e-297,0.979797612946738,0.357811407804398,0.341324410937695,0.372118458949135,0.979797612946738
"Prc1",6,0,0,0.881150480619203,0.519753657845413,0.561083414264763,0.881150480619203,0.596121641177936
"Tpm1",6,0,0,0.0496951858265102,0.149953929956963,0.0496951858265102,0.402264870035861,0.141576973411315
"Tm4sf1",7,1.42529750017382e-288,2.78852977284002e-286,0.0289139816387176,0.336799408049663,0.494725989000358,0.417332166955703,0.0289139816387176
"Smc2",7,0,0,0.876416765143725,0.415081393171359,0.499998338470536,0.876416765143725,0.591260865345444
"Mthfd2",7,0,0,0.891129975523218,0.891129975523218,0.758685974940127,0.645916079641083,0.839913225600457
"Ube2c",8,0,0,0.841028573694092,0.401189734003503,0.373054111636635,0.841028573694092,0.584593757707974
"Sct",8,0,0,0.0717936068144018,0.40279292178533,0.0717936068144018,0.531275584851415,0.625717324527105
"Crlf1",8,2.22131747680617e-288,4.30675436201297e-286,0.0225245928798876,0.50359182273308,0.691907417890379,0.489959394199829,0.0225245928798876
"Hmox1",8,0,0,0.870351259220223,0.870351259220223,0.76517229585816,0.435866713219458,0.659794064574198
"Peg3",9,1.07974779382043e-284,2.05639400626636e-282,0.974801918593905,0.365386085189807,0.324519965676494,0.477838556454212,0.974801918593905
"Nupr1",9,0,0,0.887553382419473,0.887553382419473,0.842929316532229,0.563827483540263,0.666826673128743
"Birc5",9,0,0,0.838217616394768,0.3536073340857,0.382071258409713,0.838217616394768,0.547811692691156
"Serpinb6a",9,0,0,0.938816920340897,0.647879054536656,0.938816920340897,0.350088514249758,0.675917986848767
"Trib3",10,0,0,0.893038783353137,0.893038783353137,0.887064866532239,0.595221240862096,0.852936340094817
"Lgals3",10,0,0,0.927649253345582,0.79093081373285,0.927649253345582,0.425436240580733,0.964110437222552
"Purb",10,0,0,0.0618850626707815,0.208383819803158,0.0618850626707815,0.418100786793331,0.668580459347334
"Atad2",10,0,0,0.851568841858633,0.430844026389186,0.524403384329804,0.851568841858633,0.665508551639639
"Sars",11,0,0,0.886660750477687,0.886660750477687,0.858833344691514,0.495524985036603,0.83719368241324
"Fbxo5",11,0,0,0.863379566394,0.475696461389824,0.51989246370323,0.863379566394,0.661170449845856
"Mt2",11,0,0,0.929400294412472,0.80286031993822,0.929400294412472,0.435660947323726,0.881831158049088
"Crip1",11,1.08124728334796e-270,1.97199345635009e-268,0.0340102853348977,0.409646801860699,0.211932962191607,0.53655935225116,0.0340102853348977
