"","Top","p.value","FDR","summary.logFC","logFC.1","logFC.2","logFC.3","logFC.4"
"Sct",1,0,0,-3.43978069172285,-0.910911588829521,-3.43978069172285,-0.497058236767352,-0.493309460988246
"Popdc3",1,0,0,-2.0884876262878,-2.03511447634427,-1.17387454422427,-2.0884876262878,-1.85822571473572
"Myod1",2,0,0,-3.94265918813792,-4.16399945831306,-3.94265918813792,-3.60394541516088,-3.62753641360065
"Asb5",2,0,0,-1.75050152014148,-1.55398154229832,-1.74122771400336,-1.75050152014148,-1.52246246443074
"Dynap",2,0,0,-2.62856145932226,-1.05853953336399,-2.62856145932226,-0.301061864379163,-0.295440123926139
"Gal",2,0,0,-2.56508958550435,-2.56508958550435,-1.89909986382522,-0.436261307622602,-0.249012968258832
"Chrna1",3,0,0,-3.90788862242912,-3.67862266898562,-3.90788862242912,-3.61279237358725,-3.47558922573293
"Ttn",3,0,0,-2.23617265889517,-1.5440809800936,-2.23617265889517,-0.736275032941326,-0.655763039653168
"Rapsn",3,0,0,-1.54947340205627,-1.27767874854461,-1.32981077803052,-1.54947340205627,-1.41863745590357
"Sox11",3,0,0,-2.04422626008091,-1.92855234306211,-2.04422626008091,-0.752316668404226,-1.21460074624567
"Cox6a2",5,0,0,-1.58701516242898,-0.779724949447014,0.0729173613779459,-1.50020637361871,-1.58701516242898
"Slpi",6,0,0,-1.6468164244368,-1.4550543085481,-0.0083768354583449,-1.6468164244368,-1.43865445995617
"Iqsec3",6,0,0,-1.27095977288561,-1.27095977288561,-1.17604601051458,-0.624644839179189,-0.569343968650303
"Des",7,0,0,-3.56431472023411,-3.50976897049225,-3.56431472023411,-3.48107353618375,-3.0802303326251
"Peg3",7,0,0,-3.34418482212816,-3.20233337189874,-3.34418482212816,-2.80662343547199,-2.74749372937043
"Sparc",7,0,0,2.29399124564621,2.12748437662363,2.29399124564621,2.11596876562927,2.26450169731061
"Hes6",8,0,0,-2.78602832552884,-2.78602832552884,-2.60978849109593,-1.69594197992556,-1.55155168080942
"Pax7",9,0,0,-1.21549149569416,-1.21549149569416,-1.03268496433554,-0.910761466673523,-0.849480362479164
"Igfbp7",10,1.98317950240676e-320,1.58079416000476e-317,4.24650454456017,4.24650454456017,4.16644871902982,4.16315144483252,4.18309192068634
"Cdh15",10,0,0,-1.37931669484639,-0.953081142075442,-1.37931669484639,-0.343602346824574,-0.209902931375986
"Myf5",11,0,0,-1.36366545794136,-1.36366545794136,-1.11376888148537,-0.877625887061325,-1.05715220148967
"Crlf1",11,0,0,3.56561322599658,2.95578579105223,3.56561322599658,2.87261870664148,2.95468049611627
"Ankrd1",11,1.44331837332094e-315,1.10934481180941e-312,-3.67769420007902,-3.66903087994818,-3.14949067964639,-3.67769420007902,-3.20985137208259
"Vgll2",12,3.36908550527191e-304,2.4168696386319e-301,-1.16210002081916,-1.0561669015851,-0.723849514059458,-0.903011126632974,-1.16210002081916
"Col4a1",13,1.59541180891094e-292,1.07296429811161e-289,3.21268657661023,2.69054112484741,2.78781502890282,3.20212538659408,3.21268657661023
"Eno3",13,0,0,-3.71917702836793,-3.15479552876098,-3.71917702836793,-2.3578610205406,-2.17966884637319
"Jsrp1",14,0,0,-1.29370000689742,-1.29370000689742,-1.27062571439726,-1.01862656894954,-0.783186492839374
"Cxadr",14,1.05709023644702e-278,6.49989685102196e-276,-1.07699804628943,-0.680146044655267,-0.324276223222183,-1.06515822813722,-1.07699804628943
"Trp53i11",15,0,0,-1.52667687965241,-1.21013248387324,-1.52667687965241,-0.20824457413633,-0.170149693506111
"Gsta1",15,1.0003034598218e-289,6.52349416934109e-287,-1.30907957995692,-0.888802783233961,0.0324626927486827,-1.30907957995692,-1.19013012639268
"Rbm24",15,0,0,-1.39106165414656,-1.39106165414656,-1.18964174769792,-1.29332939036068,-0.940455203597452
"H19",16,0,0,-2.1616745969452,-1.26859681155168,-2.1616745969452,-0.0643727084986216,-0.1754558653226
"Chchd10",17,1.20797699508705e-261,7.0261818679105e-259,-2.78283679029116,-2.01099209469003,-0.713545069951919,-2.78283679029116,-2.61696053250651
"Gm3776",17,7.90971505543642e-283,5.00661699141337e-280,-1.1908977834368,-0.782715180489551,0.0029113577501125,-1.1908977834368,-1.0707117329877
"Tm4sf1",18,1.1172099484089e-239,5.86426226822129e-237,3.21372767093726,2.57393774496936,3.21372767093726,2.89859512766782,3.23879631111708
"Capg",18,4.50738897424732e-296,3.12914574563788e-293,2.7709120365973,1.26333416157627,2.7709120365973,0.676742805466799,1.03428363209482
"Col1a2",19,4.71110858600847e-234,2.35785506696497e-231,3.87494739483901,3.75275604968588,3.56809364923352,3.85270490324201,3.87494739483901
"Ank1",19,8.05070733637502e-314,5.97445767538411e-311,-1.29057995932778,-1.29057995932778,-1.24464133204739,-0.525693923730437,-0.477818155621071
"Gstm1",20,1.55898043416096e-254,8.82916261146796e-252,-2.08416996414502,-1.59783413730036,-0.310864717893194,-2.08416996414502,-1.70959013435997
"Cst6",20,4.09911210143509e-262,2.45047198708303e-259,-2.70946520516234,-2.70946520516234,-1.286775128429,-2.57795604381055,-2.44304754373595
"Crip1",21,8.22631377224472e-231,3.93418885983289e-228,3.54665556817798,3.17928402602597,2.35057680304128,3.54665556817798,3.49794809982407
"Col4a2",22,8.13099621513018e-226,3.72313126693233e-223,2.62443546828198,2.27085389156008,2.4416365003205,2.61245345500878,2.62443546828198
"Tagln",23,1.01291071193549e-216,4.44874519011492e-214,4.90436274445698,4.89737425810515,4.68650290033539,4.90436274445698,4.87918871897564
"G0s2",24,4.77062204947921e-245,2.56671392817119e-242,-2.16746952559859,-1.71490534541384,-2.16746952559859,-1.57404097772481,-1.60263012488873
"Gadd45a",24,5.32862985346336e-215,2.24857731522322e-212,-1.71801281174876,-0.327539300700362,-0.0744334767613955,-1.54138886893301,-1.71801281174876
"Met",25,2.46837155520094e-253,1.36209805742259e-250,-1.4783989396668,-1.4783989396668,-1.14480885495642,-0.956512655292406,-0.893474913050001
"Ptgr1",26,9.25397471002937e-233,4.52624522123943e-230,-2.41510548830355,-2.41510548830355,-0.916821455237683,-2.32827831100468,-2.28079001919697
"Cryab",26,2.8427918866069e-226,1.32999400416665e-223,4.17040425777071,1.96331235651037,4.17040425777071,1.89288490502327,1.7988246735143
"Six1",27,5.23135432452791e-238,2.68057086709905e-235,-1.4793267370797,-1.4793267370797,-1.45548875386643,-1.05565056254325,-1.17669367584606
"Stbd1",28,4.10815398806074e-198,1.63725151809361e-195,-1.55326518483321,-0.325117508311483,-0.37626104861457,-1.27380434124271,-1.55326518483321
"Col1a1",29,6.47864149007818e-191,2.40391109496505e-188,3.27105702293348,3.27105702293348,3.2308301132076,3.25647754782609,3.2681378671727
"Lgals3",30,3.89057498270736e-196,1.52234662186988e-193,-3.72576314943232,-2.69377320095381,-1.98193088512094,-3.72576314943232,-3.54131153193337
"Cdon",30,5.39756755790667e-223,2.42002190445225e-220,-1.18458051730658,-1.18458051730658,-1.11895630117186,-0.832344125091238,-0.766334401911797
"Aebp1",30,1.07895905997328e-215,4.64405558593706e-213,2.86060807580405,2.85437605910408,2.86060807580405,2.53279597726765,2.55006502562956
"Slc38a1",30,6.70145833808708e-205,2.72117141309384e-202,-1.42058975322777,-1.22220744593372,-1.42058975322777,-1.13396796208324,-1.35691872920528
"Gdf15",31,1.3275294676695e-188,4.68356748749433e-186,-1.83661788712702,-0.146285728667904,-0.0206798059311704,-1.77447533864871,-1.83661788712702
"Gsta4",33,4.20394137992379e-184,1.39189265288213e-181,-3.25835101201431,-2.58966794359044,0.824262534615286,-3.25835101201431,-2.92844583793742
"Ttll7",34,8.20151457001669e-206,3.39432298194872e-203,-1.41528929716046,-1.28888794415072,-1.41528929716046,-1.07093562171165,-1.0283767263373
"Cth",34,1.3680512177911e-185,4.67330639017185e-183,-2.06406737367027,-0.0793412387046751,0.298355475989695,-1.89651439087191,-2.06406737367027
"Akr1b3",34,1.35633047732611e-183,4.35665495560215e-181,-2.07933601383,-1.68486787991053,-1.11751556777101,-2.07933601383,-1.95542189891433
"Slc7a11",35,1.77958777818796e-185,5.98414196474724e-183,-1.99832924383315,-0.241155807602767,0.352575812878779,-1.96776357734424,-1.99832924383315
"Tuba4a",36,7.52924638102678e-195,2.84275283098385e-192,-1.88920969680025,-1.88920969680025,-1.46446381922441,-1.03169981897897,-1.19361055823766
"Gpnmb",36,2.73086526661887e-180,8.51752918882667e-178,-1.25845090512193,-0.595000486356674,0.0218947234608662,-1.25845090512193,-1.17065348503864
"Purb",36,7.20132729217844e-195,2.76749579741023e-192,-2.04398951559857,-1.38342554034843,-2.04398951559857,-0.740657436988318,-0.507483742156014
"Ppp1r14b",37,1.13546724372116e-188,4.07273175868718e-186,-1.56504919939302,-1.23627317462659,-1.56504919939302,-0.838820328055943,-0.675663928887525
"Errfi1",38,5.74527394573755e-189,2.09566170485112e-186,-2.09674897764742,-2.09674897764742,-1.80870889832623,-1.45037964649681,-1.01356900059441
"Csrp2",38,1.17935041100961e-175,3.57476059089266e-173,2.54577390006379,2.44408081002261,2.16799518850276,2.54577390006379,2.3216411262166
"Bgn",39,2.80432618312744e-172,8.26738408042289e-170,3.77383255180956,3.75400361066633,3.47949178975202,3.7257650151201,3.77383255180956
"Oaf",39,2.80868896885241e-182,8.88908754392233e-180,2.9458399530384,2.33501598880727,2.9458399530384,2.20589598537539,2.38008045560389
