"","Top","p.value","FDR","summary.AUC","AUC.cap50","AUC.cap50_r16h","AUC.cap50_r4h","AUC.cap50_r8h"
"Serpinb9e",16356,1,1,0.502489048187973,0.502489048187973,0.500100908173562,0.501048492791612,0.501642421398405
"Serpinb9f",16357,1,1,0.500199123855038,0.500199123855038,0.5,0.500131061598951,0.5
"Serpinb9g",16358,1,1,0.504181600955794,0.504181600955794,0.500807265388497,0.507077326343381,0.503284842796809
"Serpinb6d",16359,1,1,0.499733617474694,0.499733617474694,0.499733617474694,0.499864679073645,0.499733617474694
"Serpinb6c",16360,1,1,0.500529794636153,0.500529794636153,0.499834579408604,0.500257759132941,0.4998508707871
"1110046J04Rik",16361,1,1,0.643198217666455,0.643198217666455,0.552168127962531,0.643371055147118,0.647900928201222
"Nqo2",16362,1,1,0.569104438075027,0.569104438075027,0.566343710334943,0.564520186768015,0.571071757777157
"Ripk1",16363,1,1,0.580236278435619,0.580236278435619,0.531199737434459,0.592082259482415,0.58299650090115
"Bphl",16364,1,1,0.567141789763824,0.567141789763824,0.53506575159386,0.55873940666871,0.564939865801209
"Gm47076",16365,1,1,0.500199123855038,0.500199123855038,0.5,0.5,0.500117315814172
"Gm36500",16367,1,1,0.500597371565114,0.500597371565114,0.500706357214934,0.500917431192661,0.500821210699202
"Slc22a23",16369,1,1,0.574823228513772,0.574823228513772,0.529550316191488,0.579333743439065,0.58325972708729
"Gm40909",16370,1,1,0.500164141920462,0.500164141920462,0.500274500337884,0.500122542944145,0.49981915114102
"Gm47127",16371,1,1,0.500427474466635,0.500427474466635,0.50034670048551,0.499851796353876,0.499638427285571
"Pxdc1",16372,1,1,0.512262215670337,0.512262215670337,0.496140894045343,0.562245077509285,0.514708884275981
"Gm15908",16373,1,1,0.500099561927519,0.500099561927519,0.500403632694248,0.5,0.5
"Gm47150",16374,1,1,0.5,0.5,0.5,0.500131061598951,0.500117315814172
"Gm36839",16375,1,1,0.4954520037249,0.4954520037249,0.500115342827052,0.495566912986131,0.494680099712817
"Prpf4b",16376,1,1,0.406911162541716,0.406911162541716,0.492868044687752,0.409226610881115,0.463174959692611
"Fam217a",16377,1,1,0.500099561927519,0.500099561927519,0.500100908173562,0.500262123197903,0.5
"4933417A18Rik",16378,1,1,0.5,0.5,0.500100908173562,0.5,0.5
"Eci3",16379,1,1,0.499697229897561,0.499697229897561,0.500113058012254,0.499325525031928,0.499856995960136
"Gm16984",16380,1,1,0.500265056447422,0.500265056447422,0.500270441431595,0.50012893193525,0.500336071994034
"Eci2",16381,1,1,0.553077858594268,0.553077858594268,0.525181508375594,0.549095730827266,0.555389377249907
"Gm40910",16382,1,1,0.500099561927519,0.500099561927519,0.500100908173562,0.500262123197903,0.500117315814172
"Gm48707",16383,1,1,0.5,0.5,0.500100908173562,0.5,0.5
"Cdyl",16384,1,1,0.550842276933013,0.550842276933013,0.49705817998642,0.545411796661106,0.510937715240456
"Gm48708",16385,1,1,0.499664953161868,0.499664953161868,0.499572228909412,0.499460845958282,0.499419483600412
"Rpp40",16386,1,1,0.477584271188656,0.477584271188656,0.496397545947626,0.467414609213693,0.477207824871053
"Ppp1r3g",16387,1,1,0.500330962518249,0.500330962518249,0.500944542437612,0.499864679073645,0.500202880731381
"Lyrm4",16388,1,1,0.49522596048882,0.49522596048882,0.507283667014855,0.493545513008056,0.488340389366
"Gm48770",16389,1,1,0.499799550067078,0.499799550067078,0.499802269439339,0.49960042621204,0.49960042621204
"Fars2",16390,1,1,0.525025715302323,0.525025715302323,0.510416390024875,0.542988832881449,0.527742127465101
"Gm48767",16391,1,1,0.499866808737347,0.499866808737347,0.499866808737347,0.499866808737347,0.499866808737347
"Gm30177",16392,1,1,0.498101719509279,0.498101719509279,0.498607580101575,0.498133192659154,0.498354078502718
"Gm49144",16393,1,1,0.501088550813289,0.501088550813289,0.500424868031785,0.501540619669295,0.500348416092755
"F13a1",16394,1,1,0.500429304454115,0.500429304454115,0.500343044781832,0.500382466653307,0.499451453253554
"Gm30489",16395,1,1,0.500065932592385,0.500065932592385,0.499866808737347,0.499997870336298,0.499866808737347
"Ly86",16396,1,1,0.500265056447422,0.500265056447422,0.500270468311769,0.500522116732104,0.500336103244917
"Gm4035",16397,1,1,0.5,0.5,0.500100908173562,0.500131061598951,0.5
"Gm29459",16398,1,1,0.5,0.5,0.500100908173562,0.5,0.5
"Gm47732",16399,1,1,0.499866808737347,0.499866808737347,0.499967716910909,0.499997870336298,0.499984124551519
"Gm29590",16400,1,1,0.499699988139559,0.499699988139559,0.500508572893925,0.49960042621204,0.499717742026212
"Gm30918",16401,1,1,0.5,0.5,0.500100908173562,0.5,0.5
"Gm40915",16402,1,1,0.500065932592385,0.500065932592385,0.499866808737347,0.499866808737347,0.499866808737347
