"","Top","p.value","FDR","summary.logFC","logFC.1","logFC.2","logFC.4","logFC.5"
"Popdc3",1,0,0,2.0884876262878,0.0533731499435337,0.914613082063528,0.230261911552083,2.0884876262878
"Pclaf",1,0,0,-2.99885560111389,-2.99885560111389,-3.12097129477001,-1.78849594583661,-1.91385903968224
"Gsta4",1,0,0,4.08261354662959,0.668683068423864,4.08261354662959,0.329905174076883,3.25835101201431
"Top2a",1,0,0,-2.62431901311767,-2.62431901311767,-2.46071985510153,-2.47317555026491,-1.6684914822081
"Asb5",2,0,0,1.75050152014148,0.196519977843161,0.00927380613812501,0.228039055710738,1.75050152014148
"Hmgb2",2,0,0,-2.85690841931891,-2.85690841931891,-3.07081551652399,-2.32026168472116,-1.5317264233703
"Rapsn",3,0,0,1.54947340205627,0.27179465351166,0.219662624025745,0.130835946152696,1.54947340205627
"Cdk1",3,0,0,-2.43301444504335,-2.43301444504335,-2.24166717090837,-1.90412789561789,-1.42441595001938
"Smc4",4,0,0,-1.96541317140988,-1.96541317140988,-1.91621542442666,-1.89513173993889,-1.50154112802708
"Blvrb",4,0,0,3.06670198725058,0.218098701865474,3.06670198725058,0.234210933388682,1.84114349836372
"Myod1",4,0,0,3.60394541516088,-0.560054043152176,-0.338713772977043,-0.023590998439774,3.60394541516088
"Chrna1",5,0,0,3.61279237358725,-0.0658302953983751,-0.29509624884187,0.137203147854321,3.61279237358725
"Slc7a11",5,0,0,2.32033939022302,1.72660776974148,2.32033939022302,-0.0305656664889051,1.96776357734424
"Smc2",5,0,0,-2.04178884567684,-2.04178884567684,-1.78811030548885,-1.75650249253025,-1.32637809552833
"Birc5",5,0,0,-2.38816485406945,-2.38816485406945,-2.32699734761124,-1.82655960368232,-1.57376481445487
"Slpi",6,0,0,1.63843958897846,0.1917621158887,1.63843958897846,0.208161964480629,1.6468164244368
"Ube2c",6,0,0,-2.45869981410872,-2.45869981410872,-2.59656736317492,-1.93186956486283,-1.48423320979216
"Cth",6,0,0,2.1948698668616,1.81717315216723,2.1948698668616,-0.16755298279836,1.89651439087191
"Prc1",6,0,0,-1.87788264122025,-1.81169953024626,-1.62370328321716,-1.87788264122025,-1.41856108488096
"Des",7,0,0,3.48107353618375,-0.0286954343084913,-0.0832411840503546,0.400843203558654,3.48107353618375
"Fabp5",7,0,0,-2.3583879262844,-1.19652580341412,-2.3583879262844,-0.506553660167961,-0.991915869704911
"Peg3",8,0,0,2.80662343547199,-0.395709936426746,-0.53756138665617,0.0591297061015568,2.80662343547199
"Hist1h1b",8,0,0,-2.7977821231322,-2.7977821231322,-3.08150876132128,-2.01111197285324,-1.43861813476104
"Dek",8,0,0,-1.82899261034798,-1.82899261034798,-1.86491248935774,-1.25569187810645,-0.915060079716389
"Fth1",8,0,0,1.56704203800425,0.479657120084079,1.56704203800425,0.228376112830949,1.50790391083087
"Cox6a2",9,0,0,1.57312373499665,0.720481424171692,1.57312373499665,-0.0868087888102744,1.50020637361871
"Igfbp7",10,1.52389360770451e-317,1.9997383546193e-315,-4.16315144483252,0.0833530997276548,0.00329727419730486,0.0199404758538185,-4.16315144483252
"Mki67",10,0,0,-2.03401450057933,-2.03401450057933,-1.92289806536013,-1.46242651752106,-1.45931292647403
"Sqstm1",10,0,0,2.41604862598636,1.84549459127722,2.41604862598636,0.0513761859672655,2.17287880668134
"Rrm2",11,0,0,-2.01322048566969,-1.82389780150328,-2.01322048566969,-0.910547205273566,-0.164043365198361
"Atad2",11,0,0,-1.64985712976904,-1.64985712976904,-1.33815742166411,-1.43238858612715,-0.785743594273308
"Ankrd1",11,1.44331837332094e-315,1.88252452911915e-313,3.67769420007902,0.00866332013083682,0.528203520432629,0.467842827996424,3.67769420007902
"Tubb4b",12,0,0,-1.73238618688351,-1.73238618688351,-1.38959726309877,-0.743432767179017,-1.0430557917483
"Fbxo5",12,0,0,-1.32660056768385,-1.32660056768385,-1.1773581246094,-1.24279817469008,-0.691309762062499
"Sparc",12,9.08621110140365e-313,1.17092424619054e-310,-2.11596876562927,0.0115156109943566,0.178022480016937,0.14853293168134,-2.11596876562927
"Serpinb6a",12,0,0,2.04048273503729,0.769611017327799,2.04048273503729,0.388305769963305,1.10743728224929
"Crlf1",13,2.62458385359735e-302,3.34222894161355e-300,-2.87261870664148,0.083167084410749,0.692994519355103,0.0820617894747919,-2.87261870664148
"Cdca8",14,0,0,-1.80250867414463,-1.80250867414463,-1.74298493975281,-1.43886328038339,-1.14628488570155
"Col4a1",14,5.68204715971838e-292,6.86985038900544e-290,-3.20212538659408,-0.51158426174667,-0.414310357691265,0.010561190016143,-3.20212538659408
"Hmox1",15,0,0,2.04958940502159,2.04958940502159,1.43292799354578,0.256813452964754,1.01959471695517
"Spc24",15,0,0,-2.01023209867084,-1.44256029668433,-2.01023209867084,-1.02626403218217,-0.604683461859334
"Gsta1",15,0,0,1.3415422727056,0.420276796722961,1.3415422727056,0.118949453564242,1.30907957995692
"Mcm3",16,0,0,-1.60636783924415,-1.60636783924415,-1.66711362940677,-1.23343308436567,-0.69648802730466
"Creg1",16,0,0,1.9522931337428,0.663369463543338,1.9522931337428,0.172284209697676,1.55939549761269
"Cenpf",16,0,0,-2.0008698162353,-2.0008698162353,-1.76867278421907,-1.42931455322433,-1.02279617230484
"Rbm24",16,6.5208925321078e-286,7.54495312814454e-284,1.29332939036068,-0.0977322637858779,0.103687642662761,0.352874186763232,1.29332939036068
"Gm3776",17,0,0,1.19380914118692,0.408182602947252,1.19380914118692,0.120186050449108,1.1908977834368
"Cbr3",17,0,0,1.95583781264798,0.136107848173321,1.95583781264798,0.130686036412679,1.22607423211419
"Capg",18,0,0,2.0941692311305,0.586591356109471,2.0941692311305,0.357540826628025,-0.676742805466799
"Cxadr",18,1.34844632332807e-264,1.47309204692098e-262,1.06515822813722,0.38501218348195,0.740882004915034,-0.0118398181522161,1.06515822813722
"Incenp",18,0,0,-1.37805449387456,-1.37805449387456,-1.09543936297362,-1.16933131914965,-0.643871963102448
"Chchd10",19,0,0,2.06929172033924,0.771844695601127,2.06929172033924,0.165876257784646,2.78283679029116
"Anln",19,0,0,-1.57241667574021,-1.57241667574021,-1.18947312574897,-1.25723788087949,-0.933880892606222
"Tk1",19,0,0,-1.52325535123632,-1.52325535123632,-1.26993176180512,-0.786873591321561,-0.743083087221301
"Gstm1",20,0,0,1.77330524625183,0.486335826844658,1.77330524625183,0.374579829785048,2.08416996414502
"Rrm1",20,0,0,-1.54397499444543,-1.54397499444543,-1.58442254613552,-1.19163360037046,-1.05978021068504
"Mt2",20,0,0,2.26709304493063,1.37129466680371,2.26709304493063,0.175817801439706,2.06400407083144
"Taldo1",21,0,0,1.88025136373298,0.361740741024321,1.88025136373298,0.25252495200016,1.28968723012359
"Gmnn",21,0,0,-1.39286833606009,-1.39286833606009,-1.26722772573213,-1.12312004399194,-0.748806351643176
"Cst6",21,8.21219093857688e-249,8.70613601916784e-247,2.57795604381055,-0.13150916135179,1.29118091538155,0.1349085000746,2.57795604381055
"Tpx2",22,0,0,-1.63689798152587,-1.63689798152587,-1.39351178220445,-1.29270679023775,-1.05258873101579
"Hmgb1",22,0,0,-1.4208787726261,-1.05234953948302,-1.4208787726261,-0.479925539818702,-0.173762174515217
"Eno3",22,0,0,-1.36131600782733,-0.796934508220371,-1.36131600782733,0.178192174167412,2.3578610205406
"Tuba1b",22,0,0,-1.59987766594856,-1.51917772771792,-1.59987766594856,-1.11802963375152,-1.19545502569435
"Ptma",23,0,0,-1.17429259388422,-0.768084082872055,-1.17429259388422,-0.337507616767873,-0.272314244737959
"Col1a2",23,5.17797438949551e-233,5.2316989125036e-231,-3.85270490324201,-0.0999488535561334,-0.284611254008496,0.0222424915970021,-3.85270490324201
"Atf4",23,0,0,1.6495145138352,1.6495145138352,0.649123679167156,-0.401706301329082,1.08371172848801
"Usp1",24,5.13348770210617e-288,6.10374523961458e-286,-1.1016239032026,-1.03528685775983,-1.1525226861514,-1.1016239032026,-0.910175607789178
"Crip1",24,8.22631377224472e-231,8.19622679131886e-229,-3.54665556817798,-0.367371542152006,-1.1960787651367,-0.0487074683539053,-3.54665556817798
"Sct",25,0,0,-2.9427224549555,-0.413853352062169,-2.9427224549555,0.00374877577910515,0.497058236767352
"Col4a2",25,1.47464580406601e-224,1.44912567805047e-222,-2.61245345500878,-0.341599563448695,-0.170816954688275,0.011982013273207,-2.61245345500878
"Tipin",25,0,0,-1.4626811719763,-1.4626811719763,-1.34169112418626,-1.11862087094622,-0.692830866849764
"Ccna2",26,0,0,-1.49941877511228,-1.49941877511228,-1.4113753651303,-1.11522841695918,-1.11488796613247
"Ptgr1",26,4.03802093657049e-219,3.87956466856847e-217,2.32827831100468,-0.0868271772988694,1.411456855767,0.047488291807706,2.32827831100468
"Lgals3",26,0,0,1.74383226431138,1.0319899484785,1.74383226431138,0.18445161749895,3.72576314943232
"Hmmr",26,0,0,-1.66806026746624,-1.66806026746624,-1.44508862237962,-0.874721494374991,-1.11445546789621
"Nasp",27,0,0,-1.65174227704252,-1.48888801794702,-1.65174227704252,-0.906940145948138,-0.24117975995507
"Tagln",27,1.01291071193549e-216,9.68837841402848e-215,-4.90436274445698,-0.00698848635183383,-0.217859844121591,-0.0251740254813424,-4.90436274445698
"Hells",27,0,0,-1.51905889145118,-1.51905889145118,-1.31400943687378,-1.07775396949945,-0.584649153692411
"Tm4sf1",28,7.77619962521412e-204,7.24465766814854e-202,-2.89859512766782,-0.324657382698457,0.315132543269443,0.34020118344926,-2.89859512766782
"Tmpo",28,0,0,-1.24751527718043,-1.24751527718043,-1.29817711230775,-1.05054208690629,-0.342709382942403
"Cryab",28,0,0,2.27751935274744,0.0704274514870966,2.27751935274744,-0.0940602315089683,-1.89288490502327
"Hes6",29,9.22346230908774e-199,8.48282616896889e-197,1.69594197992556,-1.09008634560328,-0.913846511170372,0.144390299116142,1.69594197992556
"Ezh2",29,0,0,-1.27078876863574,-1.27078876863574,-1.28714525620131,-1.03820608432876,-0.728467131706048
"Ccnd2",29,0,0,2.20885421680075,0.981816392534307,2.20885421680075,0.105924435862848,0.861421350298869
"Gclm",30,0,0,1.81947734357677,0.769540793107045,1.81947734357677,0.0827054038376582,2.01535750714077
"Cks2",30,0,0,-1.53387149742809,-1.53387149742809,-1.21995480150655,-1.15172661721607,-0.626763175840292
"Sgo2a",31,8.70545692340638e-302,1.09561484472878e-299,-1.10058206789797,-1.10058206789797,-0.886978698739532,-0.976223796880012,-0.634137358988111
"Ampd3",31,0,0,1.45936514698037,1.00542780030026,1.45936514698037,-0.0370237949800305,1.30344319152768
"Col1a1",31,6.93732097229313e-190,6.0937993732538e-188,-3.25647754782609,0.0145794751073832,-0.0256474346184951,0.0116603193466119,-3.25647754782609
"Cenpe",32,0,0,-1.63782370760018,-1.63782370760018,-1.49039321165742,-1.12542311282721,-1.04247734665456
"Ctsb",32,0,0,1.82051379487405,0.709197800252503,1.82051379487405,0.125632697697234,1.3424104838592
"Aebp1",32,3.13572610227049e-184,2.73214418813614e-182,-2.53279597726765,0.321580081836436,0.327812098536399,0.0172690483619122,-2.53279597726765
"Aurkb",33,9.34227762526087e-194,8.37729819888494e-192,-0.93968495759494,-0.929199133045304,-0.864088895480004,-0.93968495759494,-0.585788085300519
"Akr1b3",34,1.35633047732611e-183,1.1769995242958e-181,2.07933601383,0.394468133919473,0.961820446058985,0.123914114915665,2.07933601383
"Lsm2",34,1.47754530946814e-317,1.95081322242245e-315,-1.13488226397203,-1.13488226397203,-1.18875235794941,-1.00925323492243,-0.580825675213591
"Neat1",34,0,0,2.1858575296082,1.79973434862373,2.1858575296082,0.511058376772964,1.66035005231107
"Tubb5",35,0,0,-1.16522658893123,-1.02718062624583,-1.16522658893123,-0.908390334285428,-1.08012787079208
"Tyms",36,0,0,-1.38725792191392,-1.38725792191392,-1.49260117109357,-0.914994917974274,-0.973287812167439
"Gpnmb",36,0,0,1.2803456285828,0.66345041876526,1.2803456285828,0.0877974200832954,1.25845090512193
"Gdf15",37,0,0,1.75379553271754,1.6281896099808,1.75379553271754,-0.0621425484783127,1.77447533864871
"Vat1",37,0,0,1.60315378208542,0.607430411036516,1.60315378208542,0.129675425872012,0.268166911775757
"Fam111a",37,0,0,-1.23156868750899,-1.23156868750899,-0.662223986979655,-0.999277389586936,-0.934122557286105
"Stmn1",38,5.34690771079483e-170,4.53034648992183e-168,-1.02688426702054,-0.956889428300461,-0.912578341867051,-1.02688426702054,-0.338521535901721
"Plk1",38,0,0,-1.46629139656318,-1.46629139656318,-1.16315110751371,-0.822825556188935,-0.680961305599053
"Csrp2",38,1.17935041100961e-175,1.01523200781354e-173,-2.54577390006379,-0.101693090041189,-0.377778711561035,-0.22413277384719,-2.54577390006379
"Dnmt1",39,0,0,-1.18305722939215,-1.18305722939215,-1.17172787411794,-0.997056501099222,-0.523433522901493
"Evi2a",39,4.82256417369703e-175,4.13491647737594e-173,1.14444850242023,0.30783958817988,0.591809136591505,0.296344684884855,1.14444850242023
"Gadd45a",40,0,0,1.46695539217161,1.21384956823265,1.46695539217161,-0.176623942815749,1.54138886893301
"Hist1h1e",40,3.16082689176135e-260,3.40120777687983e-258,-1.40671624258939,-1.11994400738887,-1.40671624258939,-1.03483169552549,-0.746596525802953
"Bgn",41,1.26287870930608e-169,1.06582010599906e-167,-3.7257650151201,0.0282385955462331,-0.246273225368076,0.0480675366894665,-3.7257650151201
"Cdc20",41,0,0,-1.61584075970764,-1.61584075970764,-1.6201839067451,-0.762775008458002,-0.93444675061944
"Clspn",41,0,0,-1.21702174085268,-1.21702174085268,-1.0298786535421,-0.923121481817351,-0.709925722123224
"Dut",42,0,0,-1.4680928297694,-1.28654103622149,-1.4680928297694,-0.973077638166977,-0.430949933506477
"Nnmt",42,0,0,1.38163768927932,0.949891586191404,1.38163768927932,0.0135703960549871,0.480388606027077
"Lmnb1",42,0,0,-1.38362279533915,-1.38362279533915,-1.52788141393165,-0.858120091218495,-0.84224693649793
"Prune2",42,5.81862391087982e-164,4.83484962108272e-162,1.28119845395311,0.666726660784562,0.617290602246329,0.123151543646304,1.28119845395311
"Mcm6",43,0,0,-1.36628981979217,-1.36628981979217,-1.17797790827704,-0.77213292926611,-0.75382304455819
"Esd",43,0,0,1.23506156411061,0.363071453165642,1.23506156411061,0.215864321688686,1.3621824170092
"Ccnb1",43,0,0,-1.39256342909114,-1.39256342909114,-1.41655332678314,-1.03278506543573,-0.780626301619006
"Dbf4",44,1.59590504076292e-128,1.141045594095e-126,-0.956972538278914,-0.799798733308997,-0.773919886543057,-0.956972538278914,-0.477085330407854
"Cyb5a",44,0,0,1.77568445115804,0.14395887335599,1.77568445115804,0.239949264335339,0.378276467722216
"Sars",45,0,0,1.36607025948739,1.36607025948739,1.16081730117069,-0.0125899741338764,1.13812644458063
"Lig1",45,0,0,-1.34219644227938,-1.15970001313453,-1.34219644227938,-0.905925752272309,-0.648484090798205
