"","Top","p.value","FDR","summary.AUC","AUC.1","AUC.2","AUC.3","AUC.4"
"Chrna1",1,0,0,0.00389946445341252,0.00135944681515832,0.000469756082752441,0.00389946445341252,0.00410118301751375
"Myod1",1,0,0,0.00115224916339837,0.00115224916339837,0.00246628486008858,0.0140339856341532,0.00687775362054545
"Eno3",2,3.4858402931353e-315,1.87546922338433e-311,0.00194209464629853,0.0104444060745089,0.00194209464629853,0.0739577146628087,0.0767729653576222
"Des",3,1.3067387752765e-314,5.62446503631233e-311,0.0110770166826998,0.0110770166826998,0.0105733065489494,0.0149228406812356,0.0202023870532621
"Sparc",3,5.37272610472821e-316,3.85421463049405e-312,0.99043963964855,0.989844355097309,0.992051570058297,0.986298129394147,0.99043963964855
"Igfbp7",4,4.58960536861991e-314,1.41104138767789e-310,0.9870415492779,0.989722338702384,0.988654147514402,0.9870415492779,0.988897272142246
"Peg3",4,1.67304460976457e-314,6.00093217410752e-311,0.0103315984641063,0.0103315984641063,0.00922213626747257,0.0342389400746212,0.0251980814060952
"Col4a1",5,8.57176087575696e-308,2.30591082258954e-304,0.987103613096338,0.969182967037485,0.971331008716789,0.984016218685753,0.987103613096338
"Tm4sf1",7,1.42529750017382e-288,2.55615229177005e-285,0.971086018361282,0.947685059569325,0.966652813878191,0.956408792101322,0.971086018361282
"Crlf1",7,6.24402200526782e-290,1.22161452341241e-286,0.991017059866029,0.977311199361963,0.991017059866029,0.970523744257468,0.977475407120112
"Ankrd1",7,3.28296486689168e-294,7.06526869003719e-291,0.0229150736291655,0.0229150736291655,0.0499744578308208,0.0317821518312648,0.0384632146895205
"Hes6",8,8.94643612599772e-296,2.13929168741786e-292,0.01843730215502,0.01843730215502,0.0271945590992407,0.129523338155791,0.121054367372776
"Lgals3",8,1.06865231256627e-283,1.64274760133849e-280,0.0340290362699561,0.073782426021394,0.137781945245545,0.0340290362699561,0.0358895627774484
"Ppp1r14b",9,1.00963626941305e-283,1.64274760133849e-280,0.014635715280184,0.0591116811787244,0.014635715280184,0.181066778344628,0.235969401159588
"Tagln",11,2.90237151522675e-272,4.16412915861277e-269,0.969857229878931,0.970060761533592,0.961393639371788,0.969857229878931,0.969159758982668
"Cryab",11,6.84563254903968e-265,7.75393989936191e-262,0.976127493109372,0.826712217261538,0.976127493109372,0.809558110611944,0.804800255680642
"Crip1",11,7.32142598062467e-272,9.84777553306437e-269,0.964108733724206,0.952593506162486,0.904438265937947,0.964108733724206,0.965989714665102
"Cst6",12,7.24217893417692e-268,9.16817252014234e-265,0.0332529209113408,0.0332529209113408,0.183462910990774,0.0530238077108556,0.0560968952976646
"Capg",13,1.2354409598936e-262,1.26609166180336e-259,0.975926505548617,0.852805637091669,0.975926505548617,0.711626056498896,0.806777824278905
"Col4a2",13,2.11535157201407e-267,2.52913784340636e-264,0.966166669654553,0.946023531733307,0.95561838743074,0.962891317038504,0.966166669654553
"Col1a2",14,6.28589169295674e-263,6.7639337562061e-260,0.966632655651159,0.962957664257583,0.955083729114828,0.966632655651159,0.967977946926485
"Aebp1",14,1.19102804473006e-261,1.16509611593801e-258,0.966121046183699,0.966121046183699,0.966055608652096,0.943971293687657,0.948885508112729
"Sct",15,9.75614128177466e-257,8.74841318854508e-254,0.0313825850559468,0.281323269447391,0.0313825850559468,0.41501510190614,0.374282675472895
"Akr1b3",16,2.16495947933558e-257,2.02574317194708e-254,0.0375157998933983,0.0703342295453985,0.173408560604554,0.0375157998933983,0.0431655810336397
"Popdc3",16,2.15431510810103e-252,1.78319290159398e-249,0.036413342871003,0.036413342871003,0.142757695886978,0.0466996624279804,0.0436143821597225
"Purb",16,4.79811489197712e-254,4.1304092236094e-251,0.028855585203547,0.111726235991548,0.028855585203547,0.269790350008883,0.331419540652666
"Csrp2",18,1.26634679350591e-238,1.0093721978904e-235,0.949405949389578,0.947628655764124,0.921334829574063,0.949405949389578,0.938630618745916
"Col1a1",19,7.43667743102724e-238,5.71588339261176e-235,0.956814259245159,0.958276641753616,0.955716264185587,0.956814259245159,0.95805471293728
"Akap12",20,1.65053852010455e-229,1.18404131637234e-226,0.94840712694145,0.94840712694145,0.935246675592468,0.934181324399096,0.940612360081922
"Chchd10",20,6.72782333564211e-231,4.99274089677056e-228,0.056286986683712,0.0972230581386744,0.281617332246046,0.0618076600928958,0.056286986683712
"Oaf",22,1.09905242394468e-217,7.16748703506489e-215,0.950003035749616,0.905705170896952,0.950003035749616,0.890579456331379,0.909683873388628
"Sqstm1",22,5.29087103234903e-222,3.55827610897442e-219,0.0553124206020735,0.412321353691325,0.566943251371583,0.0658672808954542,0.0553124206020735
"Gstm1",23,1.46354244308216e-215,8.99911340502055e-213,0.0631347242315795,0.104673622587833,0.391538423692246,0.0631347242315795,0.0851481136443579
"Itgb1",23,3.96860199476649e-227,2.75510592030218e-224,0.951831808128397,0.951831808128397,0.941519162384341,0.924495545572223,0.939780594358582
"Sox11",24,1.4057280595923e-199,7.37870087085041e-197,0.0583007862591504,0.0655338217277982,0.0583007862591504,0.283478133962791,0.146597395098919
"Hbegf",24,7.35824709534675e-216,4.65755399232221e-213,0.93554464736657,0.932313953775191,0.922860555458435,0.916250920074114,0.93554464736657
"Errfi1",26,2.19688001672443e-202,1.27781229297101e-199,0.0687292699571627,0.0687292699571627,0.110043829943587,0.175365745323485,0.23009016822624
"Gsta4",26,4.87291183918075e-213,2.91305376919467e-210,0.0765392522652859,0.100663854698536,0.650048467312828,0.0765392522652859,0.0863971531419479
"Tuba4a",27,1.33513183286366e-200,7.36753132693795e-198,0.0681126102793057,0.0681126102793057,0.12723978130041,0.219897840046702,0.165828461533231
"Cth",27,1.71362370252319e-197,8.78068945285763e-195,0.0757047444955407,0.451625103804379,0.575982980959569,0.116334805451915,0.0757047444955407
"Cyba",27,3.22884202544058e-194,1.6159978890583e-191,0.941209829966617,0.881788477508366,0.941209829966617,0.876353460747735,0.890956162762736
"Asb5",28,2.65987125851714e-184,1.27206865232329e-181,0.0656755642045342,0.0854157519548112,0.0656755642045342,0.0859332724180817,0.0903634176391206
"Cspg4",28,1.37035420961936e-200,7.37284823630453e-198,0.941034014947831,0.941034014947831,0.923234266704212,0.933145511307394,0.93005919723944
"Ctsl",28,1.42675827763334e-201,8.08033286656512e-199,0.0720713723698571,0.133096536017036,0.38772175365834,0.0720713723698571,0.100888453138301
"Dynap",29,2.83822047041204e-183,1.32785527703775e-180,0.0683234706364501,0.255211267605634,0.0683234706364501,0.434609000228432,0.418371667914367
"Slc7a11",31,4.14447371934639e-183,1.89772806200117e-180,0.0836264552809242,0.430828543943169,0.609598935603376,0.107857686743318,0.0836264552809242
"Gclm",31,1.75314640895977e-187,8.57487815164181e-185,0.0801092667326582,0.203404619192094,0.449516269000914,0.0801092667326582,0.0862758346557306
