"","Top","p.value","FDR","summary.AUC","AUC.cap50_r16h","AUC.cap50_r4h","AUC.cap50_r8h","AUC.control"
"Lamp2",233,5.78112530137618e-39,4.2901930210661e-37,0.266451507877857,0.352231292303773,0.541931517052362,0.522087984150825,0.266451507877857
"Dhx15",233,3.05186592534566e-18,1.83461470892079e-16,0.721862987723489,0.711968609560919,0.479935361734711,0.509050534289203,0.721862987723489
"1110008P14Rik",234,7.64398346681852e-39,5.65313292747084e-37,0.269192537385318,0.442017665159273,0.513479484501483,0.521026161566723,0.269192537385318
"Tcerg1",235,1.16780416998691e-11,6.47740039749698e-10,0.713018359982977,0.713018359982977,0.506573435990423,0.524015775916797,0.678177897909825
"Leprotl1",236,1.17665634834215e-11,6.50972269220342e-10,0.292534724105962,0.292534724105962,0.54601867118884,0.486119100360105,0.295107971383027
"Npm1",236,1.78614425016236e-36,1.31193209582744e-34,0.767317198041988,0.661304247185241,0.557779896894033,0.550094810426802,0.767317198041988
"Lmna",237,2.7568278574702e-36,2.01117601086834e-34,0.779589730598261,0.700276241650763,0.530014776399308,0.50259772066259,0.779589730598261
"Pdia6",237,1.27118638407052e-11,7.01466722348248e-10,0.726914211174164,0.726914211174164,0.544405846255506,0.633608018664381,0.621643378617302
"Eif3c",239,1.01293752709562e-35,7.33987492276935e-34,0.228070119603738,0.251033394537295,0.491222448226493,0.439785661064101,0.228070119603738
"Scd2",240,1.97851913112404e-35,1.4288493362725e-33,0.720411568958066,0.639210460854179,0.444955433314908,0.520159211249012,0.720411568958066
"Maged1",241,3.599374426828e-34,2.58207123465884e-32,0.732768784848001,0.583006014705829,0.520965654136217,0.516795480458484,0.732768784848001
"Lamtor2",243,6.73324431996406e-34,4.81415784086203e-32,0.256913931392337,0.349123754571711,0.511468777222945,0.494923369553131,0.256913931392337
"Smc3",243,3.0571204421606e-10,1.66142144029642e-08,0.71821418653987,0.71821418653987,0.499871965709985,0.54369275889979,0.683298521136727
"AC160336.1",244,3.52640378651834e-10,1.9116306269436e-08,0.730081526249186,0.730081526249186,0.395926547046208,0.500821818069009,0.690037330683724
"Deptor",244,6.77822039159148e-34,4.83026758435236e-32,0.734374452992873,0.688562313710692,0.497954609156148,0.486070650937844,0.734374452992873
"Tmsb4x",245,2.99898941665644e-33,2.12306747486393e-31,0.270369192813209,0.454145312592303,0.529336163345239,0.557480380553626,0.270369192813209
"Rbmxl1",245,5.29001611136756e-10,2.86046323449098e-08,0.709944799893586,0.709944799893586,0.46617666017883,0.552529826062369,0.688855583116758
"Hax1",246,7.85799656599203e-10,4.22779860241786e-08,0.29780833153499,0.29780833153499,0.476384667619747,0.448327079293156,0.31640173221841
"Nrcam",246,3.75254775965544e-33,2.63916929201128e-31,0.242754071748664,0.407928665838022,0.455883992477659,0.492923370861312,0.242754071748664
"Anxa4",247,4.54584522404298e-33,3.18668192399444e-31,0.274865153792148,0.401542235355154,0.524621286261811,0.514333553668411,0.274865153792148
"Ctsd",248,6.03729525731945e-31,4.19124616879909e-29,0.274712257012141,0.486096915247985,0.56758764711808,0.56733187209502,0.274712257012141
"Spg21",249,6.20736584020338e-31,4.29545724266935e-29,0.273845028597665,0.332849789885151,0.511138643963937,0.49153055509302,0.273845028597665
"H3f3b",250,2.33510849678706e-08,1.22870097700133e-06,0.756394045814963,0.756394045814963,0.535124169251623,0.545012293164884,0.671375914012442
"Eef2",252,6.10502198500345e-08,3.1889849062927e-06,0.240187433617009,0.240187433617009,0.557678769117064,0.441453031345328,0.336988322239896
"Gspt1",252,2.03714454759328e-29,1.39622254168009e-27,0.757276056740857,0.705502449163137,0.495723064910201,0.547482559609609,0.757276056740857
"Gnai1",253,1.15372881592092e-28,7.85740438209936e-27,0.745603600948581,0.597895495942977,0.510385235501148,0.514531322621573,0.745603600948581
"Psip1",254,1.84106228620275e-07,9.45620559937215e-06,0.710017838764733,0.710017838764733,0.493034292624901,0.503754876945943,0.695219643053781
"Sec11c",254,2.16144050322346e-28,1.46739309368682e-26,0.718543284349077,0.620179484737388,0.514786185867374,0.555096897910106,0.718543284349077
"Gnb4",255,2.22726194408063e-28,1.50732403454589e-26,0.725078434854673,0.637829553998733,0.514301712047593,0.515213095229418,0.725078434854673
"Camk2d",256,3.32259680386788e-28,2.23455018175127e-26,0.278940588952562,0.36434027313122,0.499129205023454,0.46540715922676,0.278940588952562
"Melk",256,9.15644798905926e-07,4.64754521633359e-05,0.710673661519988,0.710673661519988,0.498816035133486,0.516345723116738,0.681236841329159
"Asf1b",258,1.38775441667165e-06,7.01076591577245e-05,0.700254239569909,0.700254239569909,0.483384223440453,0.539692995119924,0.647239519582139
"Tuba1c",259,1.43629763768535e-06,7.23900736782823e-05,0.713426252440824,0.713426252440824,0.449468655086688,0.524521481361876,0.490743101159374
"Junb",260,9.2488439289672e-28,6.18150217997837e-26,0.708172453564466,0.644576075158305,0.5133951896061,0.53028502369957,0.708172453564466
"Anxa1",261,2.34165664367808e-06,0.000116925272920176,0.708577074193428,0.708577074193428,0.517222151758997,0.536998188729795,0.516240290192519
"Atp6v1f",263,8.40240581782034e-23,5.33416447213307e-21,0.26929331930449,0.290730854874275,0.551159381030151,0.524148392778018,0.26929331930449
"Krtcap2",265,2.07622967080875e-26,1.37063002286734e-24,0.239325868681796,0.284684622775831,0.526004949128161,0.490626928983145,0.239325868681796
"Tubb5",265,2.31469752351326e-15,1.34634068658186e-13,0.747559141482326,0.739132418770126,0.514243514643041,0.522207565921583,0.747559141482326
