"","d0_mature_skeletal_muscle","d0_MuSCs_and_progenitors","d5_mature_skeletal_muscle","d5_MuSCs_and_progenitors","d7_mature_skeletal_muscle","d7_MuSCs_and_progenitors"
"79","Atp5k","Pdlim4","Gnb2","Cdkn1c","Eif4g2","Mif"
"80","Coq10a","Rpl10-ps3","Cd81","Npc2","Ankrd9","Col3a1"
"81","Cystm1","Socs3","Csnk1a1","Ppp1ca","Uqcc3","Gm42418"
"82","Apobec2","Bag3","Olfml2b","Snrpe","Cox8a","Snrpe"
"83","Ndufs2","Ccnl1","Laptm4a","Rpl10-ps3","Ppp1r2","Snrpd2"
"84","Smpx","Eif3k","Snrpf","Gnb2","Thoc7","Nedd4"
"85","Ndufb7","Gas1","Crip1","Zbtb20","Btbd1","Snrpb"
"86","Fhl1","Cfl1","Ppp1ca","Erh","Glrx3","Ube2s"
"87","Ndufa1","Ifitm2","Nme1","Mt1","Ufc1","Cd82"
"88","Atp5e","Rpl9-ps6","H2afz","Atpif1","Lsm4","H2-D1"
"89","Sh3bgr","Ifitm3","Eif4g2","Laptm4a","Hfe2","Btg1"
"90","Pink1","Ncl","Pcbp1","Cdh15","Phb2","Rsrp1"
"91","Usmg5","Glul","Cct5","Abracl","Gadd45gip1","Rpl9"
"92","Sar1b","Fus","Psma2","Ncl","Rpl10-ps3","Atpif1"
"93","Ndufb6","Srsf5","Ctsd","S100a16","Hibadh","Anxa5"
"94","Idh3a","Pde4b","Vcp","Cox6a1","Vapb","Dnaja1"
"95","Rpl3l","Zfp36l1","Polr1d","C1qtnf3","Ran","Srsf2"
"96","Fabp3","mt-Nd5","Ifitm3","Lgals3","Mrpl55","Arf5"
"97","Mybpc2","Cox6a1","Arf5","Pdlim4","Dynll2","Srrm2"
"98","Ckmt2","Vcam1","Rbm39","Tbca","B230118H07Rik","Set"
"99","Slc25a11","Akr1b3","Rpl10-ps3","Col3a1","Spcs1","Mtch1"
"100","Cox14","Lmna","Prmt1","Psap","Napa","Gm15013"
"101","Atp5j","S100a10","Ncl","Rbm39","Mrps18a","S100a11"
"102","Ldha","Myod1","Cct4","Ppic","Mrpl52","Hnrnpf"
"103","Pdlim7","Srsf2","Lyz2","Emp3","Rab18","Rps18"
"104","Tmem38a","Klf4","Snrpb","Clta","Mrpl34","Gm9493"
"105","Vdac3","Anxa2","Dynlrb1","Snrpf","Coa3","Akr1a1"
"106","Chchd3","Rps12-ps3","Psmd4","Mgp","Eif3m","Calr"
"107","Timm8b","Itm2a","Eif3i","Nedd4","Polr2k","Capns1"
"108","Ndufb9","H2afz","Tspo","Ifitm2","Naa50","Gnb2"
"109","Asb2","Tuba1a","Hmgn1","Cct4","Itgb1bp2","Son"
"110","Sod2","Gm8797","Phb2","Eif3i","Smim20","Cd9"
"111","Pdcd5","S100a6","Celf2","Cd9","Rad23a","Rps19"
"112","Cox7c","Mat2a","Tomm22","Polr1d","H3f3b","Rps4x"
"113","Etfb","Gm10076","C1qbp","Ptov1","Neb","Rpl10-ps3"
"114","Bin1","Serping1","Cct7","Eif4g2","Gstm5","Ppp1ca"
"115","Ndufa10","Arf4","Psmd8","Capn6","Camta1","Rps10"
"116","Sdhc","Sparc","Btg1","Hnrnpf","Arf5","Acta2"
"117","Idh3b","Son","Snrpd2","Anxa1","Dcn","Rpl12"
"118","Uqcr10","Hspa1b","Lamp1","Cdk4","Immt","Tubb5"
"119","Carnmt1","Rpl13a-ps1","Lgals3","Mif","Hspb2","Mrpl52"
"120","Cox6c","Wdr89","Eif4ebp1","Clic1","Mrps28","Gnai2"
"121","Ndufb5","Sqstm1","Polr2i","Sec61b","Rpl15","Eif3i"
"122","Uqcrb","Ctsl","Prkar1a","Rps12-ps3","Rpl29","Tbca"
"123","Ndufb3","Srrm2","Iffo1","Rhoa","Ube2d1","Rps16"
"124","2310040G24Rik","Gm2000","Cct2","H2-D1","Ssr4","Sfr1"
"125","Tmem256","Wsb1","Hnrnpf","Cct5","Tcp1","Eif4g2"
"126","Mrpl30","Anxa5","Spcs1","Spcs1","Metap2","Clta"
"127","Mrps36","Gem","C1qtnf3","Chrna1","Ap4s1","Ccnd3"
"128","Mef2c","Aldh2","Jam3","Cstb","Trdn","Ptov1"
"129","Bag1","Mbnl2","Tcp1","Set","Fxr1","Cct5"
