"","d0_mature_skeletal_muscle","d0_MuSCs_and_progenitors","d5_mature_skeletal_muscle","d5_MuSCs_and_progenitors","d7_mature_skeletal_muscle","d7_MuSCs_and_progenitors"
"340","Adssl1","Cd9","Smtn","Cd44","Cib2","Kdm6b"
"341","Gapdh","Cd81","Emc2","Fn1","Map1lc3a","Rpl39"
"342","Slc25a4","Laptm4a","Dmpk","Arpc5","Pfn2","Nfkbia"
"343","Bola3","Gm15013","Ube2g2","Capg","Mybpc1","Rpl37a"
"344","Ndufb2","Rpl15","Trim35","Bok","Ube2b","Wsb1"
"345","Atp5g1","Klf9","Micu1","Pofut2","Pkm","Rpl36"
"346","Uqcc2","Ube2s","D10Jhu81e","Mmp14","Ndufb10","Pmp22"
"347","Ptp4a3","Fxyd6","Ubac1","Actn1","Ndufa6","Tpm3"
"348","Ndufv3","Pabpc1","Mospd1","Clic4","Mllt3","Pax7"
"349","2010107E04Rik","Eef1b2","Plpp1","Sytl2","Cd24a","Rpl41"
"350","Tcea3","Rbm3","Akt2","Cd47","Carnmt1","Fgfr1"
"351","Tuba4a","Zfp36","Fbxl22","Hs2st1","Mgst3","Ahnak"
"352","Ndufs5","Rsrp1","Phb","Iqsec3","Aldoart1","Dpm3"
"353","Ndufs6","Pdlim4","Tnnc2","Sdc1","Got1","Rpl36a"
"354","Mdh1","Rpl10-ps3","Sssca1","Nfib","Trim54","Rps21"
"355","Cyc1","Socs3","Ndufab1","Carhsp1","Park7","Klf4"
"356","Scn1b","Bag3","Pmaip1","Gsn","Uqcr11","Dcn"
"357","Ndufa11","Ccnl1","Rbfox2","Map4k4","1500011K16Rik","Rps29"
"358","Minos1","Eif3k","Ccng1","Atrx","Ndufa2","Atrx"
"359","Atp5g3","Gas1","1110008P14Rik","Fkbp7","Ndufa13","Hmgb1"
"360","Cisd1","Cfl1","Uqcrq","Col18a1","Ndufb11","Ramp2"
"361","Eef1a2","Ifitm2","Pts","Atp6v1a","Atp5l","Gnas"
"362","Pfkm","Rpl9-ps6","Msi2","App","Gng5","Snrpg"
"363","Acyp2","Ifitm3","Mtfr1l","Srsf9","Cox5b","Ccnl1"
"364","Ndufa8","Ncl","Chrng","Creb3l1","Fth1","Zfp36l2"
"365","Uqcrq","Glul","Mrps23","Tcf3","Pink1","Glul"
"366","Mrps21","Fus","Srp68","Ckap4","Asb2","Tppp3"
"367","Tma7","Srsf5","Cd164","Ptgfrn","Ppp1r27","Eif1a"
"368","Cfl2","Pde4b","Ninj1","Eif1a","Atp5h","Rpl17"
"369","Ndufa4","Zfp36l1","Ybx3","Cers2","Anapc5","Txndc5"
"370","Ndufs3","mt-Nd5","Tob1","Copa","Dph3","Rpl31"
"371","Tmod4","Cox6a1","Uqcr11","Tspan6","Atp6v1g1","Rab34"
"372","Atp5k","Vcam1","Pls3","Klf6","Pdlim5","Thra"
"373","Coq10a","Akr1b3","Synpo2l","Polr1c","Gpx4","Psip1"
"374","Cystm1","Lmna","Tomm70a","Slc6a6","Ndufab1","Rhoj"
"375","Apobec2","S100a10","Orai1","Fosb","Acot13","Rpl23a"
"376","Ndufs2","Myod1","Rras2","Cks1b","Cryab","Neat1"
"377","Smpx","Srsf2","Map2k1","Phip","Pkia","Rplp2"
"378","Ndufb7","Klf4","Mrps10","Axl","Cdc34","Dnajb1"
"379","Fhl1","Anxa2","Sod2","Ftl1","Cox17","Rpl35a"
"380","Ndufa1","Rps12-ps3","Syne1","Serping1","Ubac1","Sec62"
"381","Atp5e","Itm2a","Brd3","Prdx4","Klhl41","Rpl21"
"382","Sh3bgr","H2afz","Get4","Cks2","S100a1","Rpl34"
"383","Pink1","Tuba1a","Zfand5","Kmt2e","Atp5f1","Pnrc1"
"384","Usmg5","Gm8797","Chchd4","Armcx2","Emc6","Ppp1r15a"
"385","Sar1b","S100a6","Klhl22","Notch3","Timm17a","Cyb5a"
"386","Ndufb6","Mat2a","Srsf3","Tusc3","Prdx3","Rpl6"
"387","Idh3a","Gm10076","Pdlim4","Brd4","Aco2","Rps7"
"388","Rpl3l","Serping1","mt-Co1","Mxd4","Tmem126a","Fkbp2"
"389","Fabp3","Arf4","Anp32b","Calu","Smim10l1","Ltbp4"
"390","Mybpc2","Sparc","Timp2","Coro1b","Pdha1","Col6a1"
"391","Ckmt2","Son","Mt1","Wsb1","Arpc5l","Fxyd6"
"392","Slc25a11","Hspa1b","Hnrnpc","Adss","Rpl5","Rpl7a"
"393","Cox14","Rpl13a-ps1","Dag1","Flna","Myh4","Notch3"
"394","Atp5j","Wdr89","Morf4l2","Nfia","Aamdc","Nop58"
"395","Ldha","Sqstm1","Rpl9","Arl6ip1","Capzb","Ankrd11"
"396","Pdlim7","Ctsl","Calr","Ctsl","Pfn1","Rplp1"
"397","Tmem38a","Srrm2","Ranbp1","Dad1","Eef1b2","Rps15"
"398","Vdac3","Gm2000","mt-Nd5","Rpl9-ps6","Hcfc1r1","Rpl11"
"399","Chchd3","Wsb1","mt-Co2","Tmbim6","Ppia","mt-Nd3"
"400","Timm8b","Anxa5","Hspd1","Ywhaq","Mif","Rhoc"
"401","Ndufb9","Gem","Atpif1","mt-Co1","Rtn2","Dek"
"402","Asb2","Aldh2","Hnrnpdl","Tuba1b","Casq1","Dusp1"
"403","Sod2","Mbnl2","Arpc3","Srsf2","Itm2b","Igfbp7"
"404","Pdcd5","Cd82","Cdk4","Ranbp1","Lsm6","Ywhaq"
"405","Cox7c","Hnrnpf","Pgls","Srsf3","Lamp1","Fkbp7"
"406","Etfb","Eif5","Mt2","Prkar1a","Pomp","Tra2b"
"407","Bin1","Nedd4","Clta","Tmem59","Gmpr","Sertad1"
"408","Ndufa10","Gm9493","Hnrnpab","Jund","Scp2","Gem"
"409","Sdhc","Csrnp1","Gdi2","Pdlim7","Msrb1","Hspg2"
"410","Idh3b","H2-K1","Tmbim6","Msn","Gabarapl2","Cdh15"
"411","Uqcr10","Ppp1r14b","Reep5","Nudt21","Eif3k","Loxl1"
"412","Carnmt1","Nop58","Srrm2","Ckb","Ppp1ca","Serpinf1"
"413","Cox6c","Gm10036","Ube2l3","Actn3","Snrpb","Ubc"
"414","Ndufb5","Hmgn1","Ube2d2a","S100a4","H19","Acta1"
"415","Uqcrb","Dusp1","Cct3","Actr3","Atcayos","Mylpf"
"416","Ndufb3","Gadd45b","Wdr89","Fabp5","Psmd8","Myl1"
"417","2310040G24Rik","Atf4","Zbtb20","Slc29a1","Eif3i","Igf2"
"418","Tmem256","Arf5","Idh2","Zyx","Tecr","mt-Nd2"
"419","Mrpl30","mt-Nd4l","Srsf5","Socs2","Lamtor1","mt-Nd1"
"420","Mrps36","Tuba1b","Brk1","S100a13","2410015M20Rik","Mat2a"
"421","Mef2c","Tmbim6","Tspan3","Eif4e2","Hras","Romo1"
"422","Bag1","Fgfr1","Commd3","Akr1b8","Eif3h","Uqcr11"
"423","Gpi1","Hspd1","Suclg1","1810058I24Rik","Zfp706","mt-Nd4"
"424","Atp5j2","Akr1a1","Acadl","Gm9844","H2afz","Gm10073"
"425","Zcrb1","Dag1","Popdc3","Tpm1","Nenf","mt-Cytb"
"426","Smdt1","Rps19","Ndufs4","Iqgap1","Use1","Rpl23"
"427","Atp5c1","Tmbim1","Aco2","Hacd1","Pkig","Hspb1"
"428","Coq9","Srsf3","Psmc1","Mrps16","Sumo1","Atp5e"
"429","Cox6b1","Eif4g2","Psmd6","Rala","Calm3","Rps25"
"430","Ccng1","Cdkn1a","Spp1","Vmp1","Dnajc15","Rps8"
"431","Mrpl12","Cyr61","Ola1","Ndufs4","Dynlrb1","Rps2"
"432","Phlda3","Eno1","Zyx","Pold4","Mtfr1l","Rps14"
"433","Higd1a","Ywhaq","Psmc2","Ech1","Hacd1","Rpl13"
"434","Ndufs4","Nfib","Lamtor1","Id2","Atp6v1f","Rpl18a"
"435","Ldb3","Use1","Ghitm","Acadl","Fam213b","Rpl26"
"436","Fkbp3","Prkar1a","Emc6","Tax1bp3","Psmb4","Rps24"
"437","Mrpl18","Capns1","Slc25a11","Lgmn","Actc1","Eif4a2"
"438","Dnajc19","Meg3","Eif4e2","Itga7","Serpinb6a","Rpl28"
"439","Vdac2","Coq10b","Pla2g16","Rpn2","Aimp2","Cux1"
"440","Txn2","Top1","Lsm14a","1110008F13Rik","Mustn1","Rps17"
"441","Anapc5","U2af1","Rnf11","Serp1","Skp1a","Rps15a"
"442","Trim54","Mafk","Stk11","Ssu72","Psma6","Eif1"
"443","Mrpl51","Cd200","Chchd3","Chchd3","Psmd4","Aldh2"
"444","Anapc13","Sf3b1","Map7d1","Psme1","Txn1","Rps5"
"445","Vamp5","Gnb2","Prkaca","Btf3l4","Grpel1","Atp5h"
"446","Mgst3","Psap","Psmd12","Sept11","Polr1d","Rpl13a"
"447","Psma7","Sat1","Mrps12","Lrrc17","Snrpd2","Zfand5"
"448","Ubl5","Txn1","Psmc4","Lman2","Mrps7","Rps23"
"449","Ndufs8","Rhoa","Psmc5","Arpc1a","Psmd6","Tomm7"
"450","Aes","Gm10260","Mrpl51","9530068E07Rik","Laptm4a","Rplp0"
"451","Drap1","Ubc","1810058I24Rik","Psmd6","Mrps33","Rpl32"
"452","Ndufb4","Gsn","Josd2","Gde1","Samm50","Ndufb4"
"453","Ddit4l","Pnrc1","Grpel1","Lamtor1","Cwc15","Usmg5"
"454","Etfa","Rpl23a","Cisd1","Mydgf","Npm1","Rps27a"
"455","Pdlim3","Fxyd1","Pdcl3","Lamtor2","Gm42418","Kcnq1ot1"
"456","D8Ertd738e","Ndrg2","Btf3l4","Suclg1","Atp6v1e1","Gm2000"
"457","Jsrp1","Rps27","Cdv3","Eci2","Glo1","Oaz1"
"458","1500011K16Rik","Htra3","Snrnp27","Sdf4","Smim11","Rps6"
"459","Fitm1","Tnnc2","1110008F13Rik","Emc6","Ppp1r14c","Rpl30"
"460","Suclg1","Fgfr4","Acat1","Cdv3","Polr2m","Ndufa6"
"461","Ndufa13","Zfp36l2","Eno3","Mrpl51","Klhl31","Jsrp1"
"462","Rwdd1","Atf3","Mrpl21","Dazap1","Slirp","U2af1"
"463","Uqcrc2","Ppp1r10","Nes","Aco2","Fh1","Atp5j2"
"464","Ndufv1","Rpl35","Psmd1","Dctn3","Aurkaip1","Atp5l"
"465","Pigp","Pax7","Trappc2l","Jam3","Capns1","Srsf5"
"466","Aldoart1","Itih5","Srp19","Gpx7","Jtb","Snhg6"
"467","Tsc22d3","Hsph1","Ilkap","Cnih4","Churc1","Atp5k"
"468","Cox5b","Rpl38","Hint2","Ola1","Pla2g16","Rps13"
"469","Ndrg2","Rps28","Pin1","Gpc1","Shisa4","Uqcr10"
"470","Fxyd1","mt-Nd3","Traf4","Lsm8","Eif4g2","Tra2a"
"471","Ube2b","Rpl6","Sypl","Pdcd6","Ankrd9","Ndufa2"
"472","Gm10260","Hspb1","Samm50","Sdcbp","Uqcc3","Cox7c"
"473","Got1","Fabp4","Dnajc7","Ube2e3","Cox8a","Tmsb4x"
"474","Mlf1","Pim1","Mrpl38","Ift20","Ppp1r2","mt-Co1"
"475","Pfn2","Rpl37","Psmd3","Srp19","Thoc7","Dad1"
"476","Ndufa6","Rpl36","Chtop","Cdc26","Btbd1","Raly"
"477","Cd24a","Rps26","Abracl","Rbbp4","Glrx3","Atf4"
"478","Nmrk2","Rarres2","Derl1","Tm9sf3","Ufc1","Arpc2"
"479","Uqcr11","Sertad1","Vamp5","Cops5","Lsm4","mt-Co2"
"480","Pgm2","mt-Nd4","Ssu72","Srp72","Hfe2","Hspd1"
"481","Map1lc3a","Snrpg","Mff","Psmc4","Phb2","Prkar1a"
"482","Mybpc1","mt-Nd1","Tomm40","Lrrc59","Gadd45gip1","Sub1"
"483","Ndufb10","Rps29","Fam96b","Slc25a11","Rpl10-ps3","Ctsz"
"484","Gm10053","Rpl37a","Dlgap4","Bud31","Hibadh","Malat1"
"485","Pdlim5","Pvalb","Gm9844","Wdr1","Vapb","Eef1a1"
"486","Hspb7","Tob1","Mrpl32","Csrp2","Ran","Rpl3"
"487","Gng5","Hspa8","Polr2g","Fam92a","Mrpl55","Ptma"
"488","Ndufa2","mt-Cytb","Pdha1","Rbm17","Dynll2","Ppia"
"489","Mllt3","Ubb","Pold4","Ppp4c","B230118H07Rik","Naca"
"490","Atp5h","Ckm","Snx5","Cops4","Spcs1","Cd63"
"491","Trdn","mt-Co3","Mrpl28","Krcc1","Napa","Actb"
"492","Atp6v1g1","Eif4a2","Actr3","Cnih1","Mrps18a","Rpl5"
"493","Ndufb11","Ahnak","Dnajc15","Hexa","Mrpl52","Cox8a"
"494","Cib2","Eif1","Zfp106","Mff","Rab18","Actg1"
"495","Crat","mt-Nd2","Lman2","Caprin1","Mrpl34","Eef1b2"
"496","Gsn","Rpl41","Ccdc12","Dtymk","Coa3","Tmsb10"
"497","Art1","Lrrc58","Cops5","Mrpl32","Eif3m","Gpx3"
"498","Pkm","Gnas","Des","Sdf2","Polr2k","Xist"
"499","Eif1","Neat1","Atp6v1e1","Smarce1","Naa50","Junb"
"500","Tob1","Rps21","Akirin2","Ube2r2","Itgb1bp2","Npm1"
"501","Ppp1r27","Hmgb1","Idh3a","Mrpl28","Smim20","Sparc"
"502","Ubc","Hnrnpu","Immp1l","Vps29","Rad23a","Crip1"
"503","Fabp4","Sec62","March5","Snx5","H3f3b","H3f3b"
"504","S100a1","Myl12b","Eef1a1","Ppp2r1a","Neb","Vim"
"505","Acadm","mt-Atp6","Myog","Plec","Gstm5","Itm2a"
"506","Atp5l","Actn4","Cdkn1c","Med30","Camta1","Itm2b"
"507","Gyg","Rabac1","Rpl3","Mrpl13","Arf5","Crip2"
"508","Acot13","Ftl1","Malat1","Timm17a","Dcn","Pfn1"
"509","Spop","Id1","Actc1","Elavl1","Immt","Eif4a1"
"510","Cox17","Rpl39","Acta2","Ube2j2","Hspb2","Fos"
"511","Park7","Tmem59","Ppia","Igbp1","Mrps28","Apoe"
"512","Eif4a2","Ptms","Eef1b2","Pin1","Rpl15","Hsp90aa1"
"513","Mylk2","mt-Co2","Tnnt2","Papola","Rpl29","Zbtb20"
"514","Abra","Rpl17","Tmsb10","Sugt1","Ube2d1","Dynll1"
