"","Top","p.value","FDR","summary.AUC","AUC.1","AUC.2","AUC.4","AUC.5"
"Chrna1",1,0,0,0.996100535546588,0.481965271824182,0.397286853435207,0.549850749704569,0.996100535546588
"Pclaf",1,0,0,0.0229315506565966,0.0229315506565966,0.0197634207403172,0.119361664032086,0.149838447676337
"Top2a",1,0,0,0.0582825066340069,0.0582825066340069,0.0723358628515987,0.0728315479570486,0.195563466077819
"Myod1",2,4.34084939591068e-315,6.53282656093948e-313,0.985966014365847,0.349537674355311,0.416208126510564,0.505337188006773,0.985966014365847
"Hmgb2",2,0,0,0.03903319044703,0.03903319044703,0.0342482912757608,0.0751348496242524,0.21594862813777
"Gsta4",2,0,0,0.974078891516585,0.699784064775124,0.974078891516585,0.600218273761107,0.923460747734714
"Des",3,3.33399824741786e-314,4.94834319181379e-312,0.985077159318764,0.496520691297544,0.478177988859724,0.627881541050865,0.985077159318764
"Cdk1",3,0,0,0.0517655439885691,0.0517655439885691,0.0631258608591699,0.103709912163579,0.211350161171603
"Smc4",4,0,0,0.0919749880928081,0.0919749880928081,0.0999815050633679,0.105630611273961,0.189631082007158
"Igfbp7",4,4.58960536861991e-314,6.76526692722122e-312,0.0129584507220996,0.51851049874124,0.486392751024368,0.489840313694194,0.0129584507220996
"Blvrb",4,0,0,0.961318836248343,0.589950588555488,0.961318836248343,0.577042682770863,0.845567654001371
"Ube2c",5,0,0,0.08146638089406,0.08146638089406,0.0638335412389442,0.158971426305908,0.239298078631437
"Sparc",5,5.55673217934613e-311,8.08016440754774e-309,0.0137018706058529,0.506851071647275,0.565248338920797,0.552976232497941,0.0137018706058529
"Serpinb6a",5,0,0,0.964881970252172,0.781246730625298,0.964881970252172,0.649911485750242,0.784609888575852
"Prc1",6,0,0,0.118849519380797,0.117827270871606,0.144940292107383,0.118849519380797,0.226312216046093
"Col4a1",6,1.7143521751513e-307,2.45963821076197e-305,0.0159837813142466,0.338328393549704,0.369801298543794,0.485179982811277,0.0159837813142466
"Sqstm1",6,0,0,0.960667138785658,0.90942226304688,0.960667138785658,0.530312696634387,0.934132719104546
"Dek",6,0,0,0.0762944138259509,0.0762944138259509,0.0712663617384374,0.173940003171729,0.260373994263814
"Fabp5",7,0,0,0.0395505124007034,0.213097679798598,0.0395505124007034,0.373811957416985,0.333162516815148
"Smc2",7,0,0,0.0826654283187045,0.0826654283187045,0.110654469537497,0.123583234856275,0.220034391735831
"Ankrd1",7,3.17100442696132e-284,4.2125423625083e-282,0.968217848168735,0.520534367558005,0.627240746034634,0.625209628242709,0.968217848168735
"Tubb4b",8,0,0,0.0822590596720419,0.0822590596720419,0.126527369907395,0.289737309248658,0.228775603441712
"Lgals3",8,0,0,0.940455356601436,0.835209253589168,0.940455356601436,0.574563759419267,0.965970963730044
"Fth1",8,0,0,0.957931014319499,0.69081819418929,0.957931014319499,0.590476066237972,0.913977639026371
"Crlf1",9,3.14719541586743e-279,4.05573608053198e-277,0.0294762557425315,0.51323468735116,0.687640119718981,0.510040605800171,0.0294762557425315
"Birc5",9,0,0,0.090839572701912,0.090839572701912,0.0878792328282959,0.161782383605232,0.212623163024442
"Peg3",10,2.23299022461525e-272,2.79396410604345e-270,0.965761059925379,0.396009934000136,0.356086111905195,0.522161443545788,0.965761059925379
"Atad2",10,0,0,0.112631394162074,0.112631394162074,0.16544693209283,0.148431158141367,0.297074164318891
"Fbxo5",11,0,0,0.133046934748588,0.133046934748588,0.165424365671319,0.136620433606,0.293303764054925
"Tagln",11,2.90237151522675e-272,3.61051661151435e-270,0.030142770121069,0.491460937606314,0.417283106802845,0.483189185940034,0.030142770121069
"Capg",12,0,0,0.938307150220467,0.683173953868136,0.938307150220467,0.615885372703694,0.288373943501104
"Hist1h1b",12,0,0,0.106636347553923,0.106636347553923,0.0911248776388853,0.141386019838651,0.273355668925607
"Rrm2",12,0,0,0.0844059059672042,0.0844059059672042,0.0622359598742171,0.270001905595032,0.448790197720754
"Crip1",12,7.32142598062467e-272,9.05542577752963e-270,0.0358912662757938,0.380566550996802,0.202294411670435,0.46344064774884,0.0358912662757938
"Slc7a11",13,0,0,0.941538003413117,0.856354453289787,0.941538003413117,0.502971449326519,0.892142313256682
"Cdca8",13,0,0,0.118216520378309,0.118216520378309,0.123312845967931,0.173346224875561,0.247796136957791
"Mki67",13,0,0,0.0942024903041437,0.0942024903041437,0.0977450037682892,0.166654593635057,0.207912129749486
