"","Top","p.value","FDR","summary.AUC","AUC.2","AUC.3","AUC.4","AUC.5"
"Lrrc36",12129,1,1,0.499086317065573,0.499086317065573,0.500281690140845,0.500105198788921,0.500281690140845
"Zdhhc1",12130,1,1,0.506098712217517,0.506098712217517,0.491721902429067,0.487998853220511,0.50164689244633
"Hsd11b2",12131,1,1,0.501184961933385,0.501184961933385,0.501131890862081,0.500548664383051,0.501784037558686
"Gm38250",12133,1,1,0.50003836126943,0.50003836126943,0.499970388514663,0.50018779342723,0.499312136684673
"Agrp",12134,1,1,0.501959174853865,0.501959174853865,0.500178485405185,0.497006557523752,0.498625753352573
"Ripor1",12135,1,1,0.51396642055962,0.51396642055962,0.485864870381711,0.469794391717998,0.424779194724682
"Gm5914",12136,1,1,0.501736892765239,0.501736892765239,0.507959501939171,0.50218125081824,0.489355631747285
"Carmil2",12138,1,1,0.498961635924333,0.498961635924333,0.49918308498333,0.498678933229924,0.50150234741784
"Acd",12139,1,1,0.506629624328958,0.506629624328958,0.477083758590188,0.427576003142043,0.491475461055886
"Pard6a",12140,1,1,0.494577955880331,0.494577955880331,0.434093311560182,0.386125293945104,0.496598669659522
"Enkd1",12141,1,1,0.555785676401505,0.555785676401505,0.605147798870518,0.475177510527336,0.579104445705171
"4933405L10Rik",12142,1,1,0.50060174155112,0.50060174155112,0.500316323059128,0.500133453977187,0.499874694753459
"Gfod2",12143,1,1,0.541550811143009,0.541550811143009,0.530668190787235,0.489982864595503,0.542389515141051
"Ranbp10",12144,1,1,0.492637021571549,0.492637021571549,0.511586337347758,0.503320274630487,0.502640125634132
"Tsnaxip1",12145,1,1,0.500093896713615,0.500093896713615,0.499804028032932,0.49974089743781,0.500093896713615
"Cenpt",12146,1,1,0.485262285007114,0.485262285007114,0.533785520854596,0.469704538562118,0.45853448772025
"Thap11",12147,1,1,0.489988438300655,0.489988438300655,0.530947254541743,0.475715485997524,0.499010713434137
"Nutf2",12148,1,1,0.501733581404747,0.501733581404747,0.515553065251412,0.50791148585832,0.504858127163448
"Edc4",12149,1,1,0.492946521528053,0.492946521528053,0.54335824998299,0.521525813310265,0.516721179382189
