"","Top","p.value","FDR","summary.logFC","logFC.2","logFC.3","logFC.4","logFC.5"
"9230102K24Rik",11946,1,1,0.00350841354660189,0.00350841354660189,0.00350841354660189,0.00350841354660189,0.00350841354660189
"E2f7",11947,1,1,0.117712261102406,0.117712261102406,0.0726824660622781,0.255616272217591,0.0216581064620865
"Zdhhc17",11948,1,1,-0.0220681416650912,-0.0220681416650912,0.00747430803337312,-0.050612422569258,-0.0105554141800129
"Osbpl8",11949,1,1,-0.0874666228570296,-0.0874666228570296,0.0736517076806532,-0.139496476097632,0.119332208796693
"Bbs10",11950,1,1,0.011391029108409,0.011391029108409,0.000496810649021476,0.0142717897137088,-0.00609273216641392
"Gm28592",11953,1,1,0.00313632363305792,0.00313632363305792,0.00334510089194387,0.00385546564739187,0.00295225232085532
"Gm30262",11954,1,1,-0.000295535411397555,-0.000295535411397555,-0.000917772853971123,-0.000688262052648446,-0.000422985365826665
"Gm30624",11955,1,1,-0.00721599928773981,-0.00721599928773981,-0.0257938200805244,-0.0106934618224276,-0.0105876592307792
"Gm20758",11956,1,1,-0.000453021287272281,-0.000453021287272281,-0.0125238652657361,-0.00149167538698116,-0.000400477220753448
"Glipr1",11958,1,1,0.091223915433467,0.091223915433467,0.0470116759298229,0.0735533634447693,0.0788992689414355
"Glipr1l1",11959,1,1,0,0,0,-0.000172194695847885,0
"Caps2",11960,1,1,-0.000132155286365755,-0.000132155286365755,-0.000162551914400531,-0.000124995358563578,0
"Kcnc2",11961,1,1,-0.00567042320407863,-0.00567042320407863,-0.00128771555232605,-0.0092037745132689,-0.00132315099913889
"Trhde",11963,1,1,-0.000399839065985699,-0.000399839065985699,-0.000333600720914306,-0.00070250508446875,-0.000348272243813603
"4930473D10Rik",11964,1,1,0,0,0,0,-0.000193588283043599
"Tph2",11965,1,1,0.00185241543111258,0.00185241543111258,-0.000736050909883851,0.000182682395550578,0.00182216212516895
"Tbc1d15",11966,1,1,0.00554671968804443,0.00554671968804443,0.0139275265712901,0.242726798054481,-0.108880663086583
"Tmem19",11968,1,1,0.0622094676507577,0.0622094676507577,0.133826742312609,0.0101950459129385,0.150671192619595
"Thap2",11969,1,1,-0.00149859719123135,-0.00149859719123135,0.153382713437989,0.0336730925291761,0.0415138932832773
"Lgr5",11971,1,1,0.00598964282810116,0.00598964282810116,0.00132597691775593,0.00644609777424882,-0.0167864913369808
"A930009A15Rik",11972,1,1,0,0,-0.000130019484204807,0,0
"Tspan8",11973,1,1,0.00222022084983855,0.00222022084983855,0.00240395242083233,0.00213750972801969,0.00182000048447853
"Ptprr",11974,1,1,-0.0022269835748924,-0.0022269835748924,-0.00044469576976996,-0.00357352822057155,-0.000117325108245069
"Ptprb",11975,1,1,0.0504028847445949,0.0504028847445949,0.0506482046467574,0.0500490573293681,0.0502811027696068
"Kcnmb4",11976,1,1,0.0813415829928815,0.0813415829928815,0.0781908200964213,0.0762166057708769,0.0774570175562477
"Kcnmb4os2",11977,1,1,0.00218864847185468,0.00218864847185468,0.00115463905296265,0.000910064174474665,-0.000389570715354998
"Cnot2",11978,1,1,-0.0328434185553022,-0.0328434185553022,-0.080423793376171,-2.95740522523458e-05,-0.157855223672433
"Gm26579",11979,1,1,0.00246333031067396,0.00246333031067396,0.00246333031067396,0.00246333031067396,0.00246333031067396
"Myrfl",11980,1,1,0,0,-0.000171407407563453,-0.000337146749637904,0
"Rab3ip",11981,1,1,0.227798115560434,0.227798115560434,0.227170219746937,0.297392135782634,0.155735082852876
"D630029K05Rik",11982,1,1,0.00100629121205178,0.00100629121205178,0.00100629121205178,0.000476252083679503,0.00100629121205178
"Best3",11983,1,1,-0.000862163315580371,-0.000862163315580371,-0.00142906490080869,-0.00119301368310988,-0.0015403444037771
"Frs2",11984,1,1,0.115640701845422,0.115640701845422,0.0836370931245906,0.114901257029679,0.0924459557818405
"4930423D24Rik",11985,1,1,0,0,-0.000191386278079047,0,0
"Yeats4",11986,1,1,-0.207008576005913,-0.207008576005913,-0.202818459466738,-0.0618425623760301,-0.203656090899976
"Lyz2",11987,1,1,0.0277882202788729,0.0277882202788729,0.0276067504321464,0.0277202332787844,0.0276554319518097
"Lyz1",11988,1,1,0,0,0,-0.000166036515935522,0
"Gm48903",11989,1,1,-0.0062546578470881,-0.0062546578470881,-0.000718682471938899,-0.00696042949281189,-0.000295532196571212
"Gm40770",11990,1,1,-0.00163051916292321,-0.00163051916292321,0,-0.000449235107708467,-0.000154509116004785
"Cpm",11991,1,1,-0.00470566128365026,-0.00470566128365026,0.00381073486207162,0.00158748808113818,0.00257823836832829
