"","Top","p.value","FDR","summary.AUC","AUC.1","AUC.3","AUC.4","AUC.5"
"Chrna1",1,0,0,0.994804199992879,0.994804199992879,0.429177211518368,0.451880209904622,0.347447035562891
"Cth",1,0,0,0.941133241612635,0.9209075777472,0.941133241612635,0.528134927660244,0.974009153316409
"Hmgb2",1,0,0,0.957249689731607,0.633661281066941,0.285769339683192,0.957249689731607,0.243089735568834
"Gsta4",1,0,0,0.984537258219701,0.914646412287922,0.646559882643168,0.377953596534067,0.984537258219701
"Myod1",2,1.93673733169769e-320,4.08585866257315e-318,0.986423560716014,0.986423560716014,0.302533979408622,0.42029015288509,0.375437640890015
"Birc5",2,0,0,0.93846898028634,0.560918772003678,0.323195933420604,0.93846898028634,0.388596399121929
"Atf4",2,0,0,0.936439574068366,0.853139392054486,0.936439574068366,0.596041164983299,0.797622921353886
"Smc2",3,0,0,0.940000224810351,0.591509512500079,0.385569444706537,0.940000224810351,0.495560016275155
"Blvrb",3,0,0,0.970763533188884,0.821058789219167,0.548792639233395,0.415188413154055,0.970763533188884
"Sqstm1",3,0,0,0.971222274540429,0.938054869658643,0.930644768903212,0.44911447804757,0.971222274540429
"Sparc",3,5.70955600106582e-318,1.19296410516433e-315,0.01386205513564,0.01386205513564,0.447105454224802,0.426603986730569,0.50181625754558
"Slc7a11",4,0,0,0.969060662140686,0.915210052002505,0.900037470479657,0.491799891890308,0.969060662140686
"Smc4",4,0,0,0.932936952037314,0.567409267880966,0.442297747356419,0.932936952037314,0.475352154398138
"Igfbp7",4,2.24400389115428e-315,4.64357766611906e-313,0.0143461098649778,0.0143461098649778,0.522203960204819,0.507608299877739,0.485464083459754
"Psph",5,0,0,0.94168809981366,0.905111659828641,0.908163966299341,0.53107900237195,0.94168809981366
"Col4a1",5,2.13612049462586e-311,4.2175641435636e-309,0.0166451734847961,0.0166451734847961,0.325942705665087,0.506329226831035,0.366686737170464
"Top2a",5,0,0,0.920751076831547,0.616656666184968,0.413048757460606,0.920751076831547,0.460077721704327
"Des",6,4.72962017123391e-299,9.08804961652852e-297,0.974880465446503,0.974880465446503,0.354412844252569,0.324297926806968,0.329282249799568
"Cdca8",6,0,0,0.918679409298758,0.578403514724269,0.383852025881219,0.918679409298758,0.432212260799152
"Eif4ebp1",6,0,0,0.913676366881862,0.877374590817987,0.913676366881862,0.525721289961796,0.925947656818812
"Tpm1",6,0,0,0.0507412778986384,0.142840519019764,0.139336397135481,0.393151039737839,0.0507412778986384
"Cdk1",7,0,0,0.909660449556471,0.57438538924388,0.305960255373535,0.909660449556471,0.379922468792281
"Crlf1",7,1.6384292901376e-294,3.03971006491804e-292,0.0243143910596741,0.0243143910596741,0.504863983935249,0.475394557220959,0.682253390748464
"Hmox1",7,0,0,0.891168452273203,0.653846677431583,0.891168452273203,0.407332834435004,0.75573449476107
